"Year","Achieved SQA advanced higher points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2020","7 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","7 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","7 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2012","8 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","8 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","8 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","8 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2018","8 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","8 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","8 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","9 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","9 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","9 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","9 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","9 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","9 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","9 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","9 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","9 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","9 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","10 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","10 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","10 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","10 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","10 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","10 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2011","11 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","11 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","11 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","11 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","11 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","11 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","11 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","11 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","11 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","11 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","12 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","12 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2012","12 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","12 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","12 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","12 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","12 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","12 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","12 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","12 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","12 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","12 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","12 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","3 point(s)","18","All","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2023","3 point(s)","18","All","Female","Main scheme applicant","Main scheme application","10","10"," ","0"
"2010","4 point(s)","18","All","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2011","4 point(s)","18","All","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2012","4 point(s)","18","All","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2013","4 point(s)","18","All","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
