"Year","Achieved BTEC Extended diploma points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2016","9 points (D*D*D)","All","Northern Ireland","Male","Main scheme applicant","Main scheme application","25","25","0.852","0"
"2017","9 points (D*D*D)","All","Northern Ireland","Male","Main scheme applicant","Main scheme application","25","20","0.6920000000000001","0"
"2018","9 points (D*D*D)","All","Northern Ireland","Male","Main scheme applicant","Main scheme application","35","30","0.806","0"
"2019","9 points (D*D*D)","All","Northern Ireland","Male","Main scheme applicant","Main scheme application","30","20","0.6880000000000001","0"
"2020","9 points (D*D*D)","All","Northern Ireland","Male","Main scheme applicant","Main scheme application","35","25","0.788","0"
"2021","9 points (D*D*D)","All","Northern Ireland","Male","Main scheme applicant","Main scheme application","20","15","0.722","0"
"2022","9 points (D*D*D)","All","Northern Ireland","Male","Main scheme applicant","Main scheme application","30","25","0.844","0"
"2023","9 points (D*D*D)","All","Northern Ireland","Male","Main scheme applicant","Main scheme application","15","10","0.786","0"
"2011","9 points (D*D*D)","All","England","Male","Main scheme applicant","Main scheme application","5","5"," ","0"
"2012","9 points (D*D*D)","All","England","Male","Main scheme applicant","Main scheme application","705","575","0.8200000000000001","0"
"2013","9 points (D*D*D)","All","England","Male","Main scheme applicant","Main scheme application","800","655","0.8190000000000001","0"
"2014","9 points (D*D*D)","All","England","Male","Main scheme applicant","Main scheme application","1015","865","0.853","0"
"2015","9 points (D*D*D)","All","England","Male","Main scheme applicant","Main scheme application","1105","935","0.846","0"
"2016","9 points (D*D*D)","All","England","Male","Main scheme applicant","Main scheme application","1285","1090","0.85","0"
"2017","9 points (D*D*D)","All","England","Male","Main scheme applicant","Main scheme application","1260","1045","0.8300000000000001","0"
"2018","9 points (D*D*D)","All","England","Male","Main scheme applicant","Main scheme application","1225","1010","0.8270000000000001","0"
"2019","9 points (D*D*D)","All","England","Male","Main scheme applicant","Main scheme application","1075","890","0.8250000000000001","0"
"2020","9 points (D*D*D)","All","England","Male","Main scheme applicant","Main scheme application","1275","1060","0.834","0"
"2021","9 points (D*D*D)","All","England","Male","Main scheme applicant","Main scheme application","1385","1120","0.81","0"
"2022","9 points (D*D*D)","All","England","Male","Main scheme applicant","Main scheme application","1485","1140","0.769","0"
"2023","9 points (D*D*D)","All","England","Male","Main scheme applicant","Main scheme application","1100","870","0.792","0"
"2012","9 points (D*D*D)","All","Wales","Male","Main scheme applicant","Main scheme application","35","30","0.8290000000000001","0"
"2013","9 points (D*D*D)","All","Wales","Male","Main scheme applicant","Main scheme application","30","30","0.935","0"
"2014","9 points (D*D*D)","All","Wales","Male","Main scheme applicant","Main scheme application","35","30","0.853","0"
"2015","9 points (D*D*D)","All","Wales","Male","Main scheme applicant","Main scheme application","45","35","0.8140000000000001","0"
"2016","9 points (D*D*D)","All","Wales","Male","Main scheme applicant","Main scheme application","40","35","0.846","0"
"2017","9 points (D*D*D)","All","Wales","Male","Main scheme applicant","Main scheme application","40","35","0.881","0"
"2018","9 points (D*D*D)","All","Wales","Male","Main scheme applicant","Main scheme application","40","35","0.854","0"
"2019","9 points (D*D*D)","All","Wales","Male","Main scheme applicant","Main scheme application","40","35","0.921","0"
"2020","9 points (D*D*D)","All","Wales","Male","Main scheme applicant","Main scheme application","25","20","0.875","0"
"2021","9 points (D*D*D)","All","Wales","Male","Main scheme applicant","Main scheme application","35","35","0.9430000000000001","0"
"2022","9 points (D*D*D)","All","Wales","Male","Main scheme applicant","Main scheme application","40","30","0.8","0"
"2023","9 points (D*D*D)","All","Wales","Male","Main scheme applicant","Main scheme application","35","30","0.848","0"
"2012","10 points (D*D*D*)","All","Northern Ireland","Male","Main scheme applicant","Main scheme application","35","35","0.917","0"
"2013","10 points (D*D*D*)","All","Northern Ireland","Male","Main scheme applicant","Main scheme application","40","30","0.737","0"
"2014","10 points (D*D*D*)","All","Northern Ireland","Male","Main scheme applicant","Main scheme application","40","35","0.9","0"
"2015","10 points (D*D*D*)","All","Northern Ireland","Male","Main scheme applicant","Main scheme application","55","50","0.891","0"
"2016","10 points (D*D*D*)","All","Northern Ireland","Male","Main scheme applicant","Main scheme application","55","45","0.8180000000000001","0"
"2017","10 points (D*D*D*)","All","Northern Ireland","Male","Main scheme applicant","Main scheme application","55","50","0.927","0"
"2018","10 points (D*D*D*)","All","Northern Ireland","Male","Main scheme applicant","Main scheme application","75","60","0.787","0"
"2019","10 points (D*D*D*)","All","Northern Ireland","Male","Main scheme applicant","Main scheme application","40","30","0.738","0"
"2020","10 points (D*D*D*)","All","Northern Ireland","Male","Main scheme applicant","Main scheme application","45","40","0.93","0"
"2021","10 points (D*D*D*)","All","Northern Ireland","Male","Main scheme applicant","Main scheme application","70","55","0.761","0"
"2022","10 points (D*D*D*)","All","Northern Ireland","Male","Main scheme applicant","Main scheme application","35","25","0.758","0"
"2023","10 points (D*D*D*)","All","Northern Ireland","Male","Main scheme applicant","Main scheme application","20","15","0.65","0"
"2011","10 points (D*D*D*)","All","England","Male","Main scheme applicant","Main scheme application","20","20","0.905","0"
"2012","10 points (D*D*D*)","All","England","Male","Main scheme applicant","Main scheme application","1760","1480","0.839","0"
"2013","10 points (D*D*D*)","All","England","Male","Main scheme applicant","Main scheme application","2050","1770","0.863","0"
"2014","10 points (D*D*D*)","All","England","Male","Main scheme applicant","Main scheme application","2605","2255","0.864","0"
"2015","10 points (D*D*D*)","All","England","Male","Main scheme applicant","Main scheme application","3010","2525","0.838","0"
"2016","10 points (D*D*D*)","All","England","Male","Main scheme applicant","Main scheme application","2985","2555","0.855","0"
"2017","10 points (D*D*D*)","All","England","Male","Main scheme applicant","Main scheme application","3330","2775","0.833","0"
"2018","10 points (D*D*D*)","All","England","Male","Main scheme applicant","Main scheme application","2795","2350","0.84","0"
"2019","10 points (D*D*D*)","All","England","Male","Main scheme applicant","Main scheme application","2325","1945","0.837","0"
"2020","10 points (D*D*D*)","All","England","Male","Main scheme applicant","Main scheme application","2755","2315","0.841","0"
"2021","10 points (D*D*D*)","All","England","Male","Main scheme applicant","Main scheme application","3150","2590","0.8230000000000001","0"
"2022","10 points (D*D*D*)","All","England","Male","Main scheme applicant","Main scheme application","1505","1190","0.789","0"
"2023","10 points (D*D*D*)","All","England","Male","Main scheme applicant","Main scheme application","1000","780","0.78","0"
"2012","10 points (D*D*D*)","All","Wales","Male","Main scheme applicant","Main scheme application","50","40","0.78","0"
"2013","10 points (D*D*D*)","All","Wales","Male","Main scheme applicant","Main scheme application","70","65","0.875","0"
"2014","10 points (D*D*D*)","All","Wales","Male","Main scheme applicant","Main scheme application","75","65","0.877","0"
"2015","10 points (D*D*D*)","All","Wales","Male","Main scheme applicant","Main scheme application","75","70","0.921","0"
"2016","10 points (D*D*D*)","All","Wales","Male","Main scheme applicant","Main scheme application","75","65","0.8310000000000001","0"
"2017","10 points (D*D*D*)","All","Wales","Male","Main scheme applicant","Main scheme application","75","70","0.9460000000000001","0"
"2018","10 points (D*D*D*)","All","Wales","Male","Main scheme applicant","Main scheme application","105","90","0.849","0"
"2019","10 points (D*D*D*)","All","Wales","Male","Main scheme applicant","Main scheme application","80","70","0.9","0"
"2020","10 points (D*D*D*)","All","Wales","Male","Main scheme applicant","Main scheme application","75","65","0.855","0"
"2021","10 points (D*D*D*)","All","Wales","Male","Main scheme applicant","Main scheme application","75","60","0.753","0"
"2022","10 points (D*D*D*)","All","Wales","Male","Main scheme applicant","Main scheme application","40","35","0.854","0"
"2023","10 points (D*D*D*)","All","Wales","Male","Main scheme applicant","Main scheme application","20","15","0.636","0"
"2010","All","All","England","Female","Not main scheme applicant","Not main scheme application","90","85","0.9550000000000001","25"
"2011","All","All","England","Female","Not main scheme applicant","Not main scheme application","105","100","0.962","30"
"2017","All","All","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.9380000000000001","0"
"2018","All","All","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2019","All","All","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","All","All","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2021","All","All","England","Female","Not main scheme applicant","Not main scheme application","30","25","0.893","0"
"2023","All","All","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","All","All","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","All","All","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","All","All","England","Male","Not main scheme applicant","Not main scheme application","115","110","0.965","25"
"2011","All","All","England","Male","Not main scheme applicant","Not main scheme application","105","100","0.933","25"
"2015","All","All","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","All","All","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","All","All","England","Male","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2018","All","All","England","Male","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2019","All","All","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","All","All","England","Male","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2021","All","All","England","Male","Not main scheme applicant","Not main scheme application","15","15","0.875","0"
"2022","All","All","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","All","All","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","All","All","Wales","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","All","All","Wales","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","All","All","Northern Ireland","Female","Main scheme applicant","Not main scheme application","15","10","0.588","0"
"2011","All","All","Northern Ireland","Female","Main scheme applicant","Not main scheme application","25","15","0.593","0"
"2012","All","All","Northern Ireland","Female","Main scheme applicant","Not main scheme application","25","15","0.625","0"
"2013","All","All","Northern Ireland","Female","Main scheme applicant","Not main scheme application","20","10","0.6","0"
"2014","All","All","Northern Ireland","Female","Main scheme applicant","Not main scheme application","20","15","0.778","0"
"2015","All","All","Northern Ireland","Female","Main scheme applicant","Not main scheme application","20","10","0.5710000000000001","0"
"2016","All","All","Northern Ireland","Female","Main scheme applicant","Not main scheme application","25","10","0.48","0"
"2017","All","All","Northern Ireland","Female","Main scheme applicant","Not main scheme application","25","15","0.739","0"
"2018","All","All","Northern Ireland","Female","Main scheme applicant","Not main scheme application","25","15","0.625","0"
"2019","All","All","Northern Ireland","Female","Main scheme applicant","Not main scheme application","25","15","0.739","0"
"2020","All","All","Northern Ireland","Female","Main scheme applicant","Not main scheme application","15","15","0.8130000000000001","0"
"2021","All","All","Northern Ireland","Female","Main scheme applicant","Not main scheme application","30","20","0.656","0"
"2022","All","All","Northern Ireland","Female","Main scheme applicant","Not main scheme application","40","35","0.805","0"
"2023","All","All","Northern Ireland","Female","Main scheme applicant","Not main scheme application","25","20","0.87","0"
"2010","All","All","England","Female","Main scheme applicant","Not main scheme application","865","595","0.686","0"
"2011","All","All","England","Female","Main scheme applicant","Not main scheme application","1165","805","0.6910000000000001","0"
"2012","All","All","England","Female","Main scheme applicant","Not main scheme application","1225","875","0.713","0"
"2013","All","All","England","Female","Main scheme applicant","Not main scheme application","1280","960","0.752","0"
"2014","All","All","England","Female","Main scheme applicant","Not main scheme application","1440","1100","0.765","0"
"2015","All","All","England","Female","Main scheme applicant","Not main scheme application","1665","1305","0.783","0"
"2016","All","All","England","Female","Main scheme applicant","Not main scheme application","1480","1160","0.784","0"
"2017","All","All","England","Female","Main scheme applicant","Not main scheme application","1180","1000","0.849","0"
"2018","All","All","England","Female","Main scheme applicant","Not main scheme application","1090","970","0.889","0"
"2019","All","All","England","Female","Main scheme applicant","Not main scheme application","1040","910","0.874","0"
"2020","All","All","England","Female","Main scheme applicant","Not main scheme application","1085","990","0.91","0"
"2021","All","All","England","Female","Main scheme applicant","Not main scheme application","1445","1260","0.869","0"
"2022","All","All","England","Female","Main scheme applicant","Not main scheme application","1370","1175","0.858","0"
"2023","All","All","England","Female","Main scheme applicant","Not main scheme application","1235","1110","0.896","0"
"2011","All","All","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","All","All","Wales","Female","Main scheme applicant","Not main scheme application","35","35","0.917","0"
"2011","All","All","Wales","Female","Main scheme applicant","Not main scheme application","45","30","0.6890000000000001","0"
"2012","All","All","Wales","Female","Main scheme applicant","Not main scheme application","25","20","0.778","0"
"2013","All","All","Wales","Female","Main scheme applicant","Not main scheme application","45","30","0.674","0"
"2014","All","All","Wales","Female","Main scheme applicant","Not main scheme application","45","35","0.783","0"
"2015","All","All","Wales","Female","Main scheme applicant","Not main scheme application","55","40","0.722","0"
"2016","All","All","Wales","Female","Main scheme applicant","Not main scheme application","60","45","0.783","0"
"2017","All","All","Wales","Female","Main scheme applicant","Not main scheme application","60","55","0.885","0"
"2018","All","All","Wales","Female","Main scheme applicant","Not main scheme application","40","35","0.833","0"
"2019","All","All","Wales","Female","Main scheme applicant","Not main scheme application","20","20","1","0"
"2020","All","All","Wales","Female","Main scheme applicant","Not main scheme application","50","40","0.784","0"
"2021","All","All","Wales","Female","Main scheme applicant","Not main scheme application","55","40","0.774","0"
"2022","All","All","Wales","Female","Main scheme applicant","Not main scheme application","50","45","0.8270000000000001","0"
"2023","All","All","Wales","Female","Main scheme applicant","Not main scheme application","15","15","0.875","0"
"2010","All","All","Northern Ireland","Male","Main scheme applicant","Not main scheme application","20","20","0.864","0"
"2011","All","All","Northern Ireland","Male","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2012","All","All","Northern Ireland","Male","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2013","All","All","Northern Ireland","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2014","All","All","Northern Ireland","Male","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2015","All","All","Northern Ireland","Male","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2016","All","All","Northern Ireland","Male","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2017","All","All","Northern Ireland","Male","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2018","All","All","Northern Ireland","Male","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2019","All","All","Northern Ireland","Male","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2020","All","All","Northern Ireland","Male","Main scheme applicant","Not main scheme application","25","15","0.68","0"
"2021","All","All","Northern Ireland","Male","Main scheme applicant","Not main scheme application","20","15","0.778","0"
"2022","All","All","Northern Ireland","Male","Main scheme applicant","Not main scheme application","15","15","0.929","0"
"2023","All","All","Northern Ireland","Male","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2010","All","All","England","Male","Main scheme applicant","Not main scheme application","630","510","0.8140000000000001","0"
"2011","All","All","England","Male","Main scheme applicant","Not main scheme application","700","570","0.812","0"
"2012","All","All","England","Male","Main scheme applicant","Not main scheme application","775","700","0.901","0"
"2013","All","All","England","Male","Main scheme applicant","Not main scheme application","735","675","0.914","0"
"2014","All","All","England","Male","Main scheme applicant","Not main scheme application","790","705","0.891","0"
"2015","All","All","England","Male","Main scheme applicant","Not main scheme application","845","780","0.924","0"
"2016","All","All","England","Male","Main scheme applicant","Not main scheme application","910","835","0.917","0"
"2017","All","All","England","Male","Main scheme applicant","Not main scheme application","820","760","0.925","0"
"2018","All","All","England","Male","Main scheme applicant","Not main scheme application","765","720","0.9430000000000001","0"
"2019","All","All","England","Male","Main scheme applicant","Not main scheme application","805","765","0.9480000000000001","0"
"2020","All","All","England","Male","Main scheme applicant","Not main scheme application","905","845","0.931","0"
"2021","All","All","England","Male","Main scheme applicant","Not main scheme application","1070","1005","0.9420000000000001","0"
"2022","All","All","England","Male","Main scheme applicant","Not main scheme application","1125","1025","0.911","0"
"2023","All","All","England","Male","Main scheme applicant","Not main scheme application","1050","975","0.93","0"
"2010","All","All","Wales","Male","Main scheme applicant","Not main scheme application","25","20","0.8","0"
"2011","All","All","Wales","Male","Main scheme applicant","Not main scheme application","25","20","0.917","0"
"2012","All","All","Wales","Male","Main scheme applicant","Not main scheme application","25","25","0.889","0"
"2013","All","All","Wales","Male","Main scheme applicant","Not main scheme application","20","15","0.9440000000000001","0"
"2014","All","All","Wales","Male","Main scheme applicant","Not main scheme application","20","20","0.9520000000000001","0"
"2015","All","All","Wales","Male","Main scheme applicant","Not main scheme application","25","25","1","0"
"2016","All","All","Wales","Male","Main scheme applicant","Not main scheme application","35","35","0.972","0"
"2017","All","All","Wales","Male","Main scheme applicant","Not main scheme application","25","25","0.923","0"
"2018","All","All","Wales","Male","Main scheme applicant","Not main scheme application","30","25","0.9","0"
"2019","All","All","Wales","Male","Main scheme applicant","Not main scheme application","20","20","0.9470000000000001","0"
"2020","All","All","Wales","Male","Main scheme applicant","Not main scheme application","15","10","0.8","0"
"2021","All","All","Wales","Male","Main scheme applicant","Not main scheme application","25","20","0.741","0"
"2022","All","All","Wales","Male","Main scheme applicant","Not main scheme application","35","30","0.909","0"
"2023","All","All","Wales","Male","Main scheme applicant","Not main scheme application","30","25","0.931","0"
"2010","All","All","Northern Ireland","Female","Main scheme applicant","Main scheme application","335","195","0.581","0"
"2011","All","All","Northern Ireland","Female","Main scheme applicant","Main scheme application","300","160","0.528","0"
"2012","All","All","Northern Ireland","Female","Main scheme applicant","Main scheme application","260","140","0.529","0"
"2013","All","All","Northern Ireland","Female","Main scheme applicant","Main scheme application","215","105","0.495","0"
"2014","All","All","Northern Ireland","Female","Main scheme applicant","Main scheme application","220","130","0.601","0"
"2015","All","All","Northern Ireland","Female","Main scheme applicant","Main scheme application","240","135","0.558","0"
"2016","All","All","Northern Ireland","Female","Main scheme applicant","Main scheme application","245","150","0.612","0"
"2017","All","All","Northern Ireland","Female","Main scheme applicant","Main scheme application","240","140","0.597","0"
"2018","All","All","Northern Ireland","Female","Main scheme applicant","Main scheme application","230","145","0.629","0"
"2019","All","All","Northern Ireland","Female","Main scheme applicant","Main scheme application","235","140","0.582","0"
"2020","All","All","Northern Ireland","Female","Main scheme applicant","Main scheme application","290","210","0.72","0"
"2021","All","All","Northern Ireland","Female","Main scheme applicant","Main scheme application","295","170","0.5730000000000001","0"
"2022","All","All","Northern Ireland","Female","Main scheme applicant","Main scheme application","250","135","0.536","0"
"2023","All","All","Northern Ireland","Female","Main scheme applicant","Main scheme application","190","115","0.594","0"
"2010","All","All","England","Female","Main scheme applicant","Main scheme application","12335","8355","0.678","0"
"2011","All","All","England","Female","Main scheme applicant","Main scheme application","12160","8210","0.675","0"
"2012","All","All","England","Female","Main scheme applicant","Main scheme application","11795","7870","0.667","0"
"2013","All","All","England","Female","Main scheme applicant","Main scheme application","12650","8670","0.685","0"
"2014","All","All","England","Female","Main scheme applicant","Main scheme application","13885","9725","0.7010000000000001","0"
"2015","All","All","England","Female","Main scheme applicant","Main scheme application","14365","10075","0.7010000000000001","0"
"2016","All","All","England","Female","Main scheme applicant","Main scheme application","13275","9430","0.71","0"
"2017","All","All","England","Female","Main scheme applicant","Main scheme application","12255","9125","0.745","0"
"2018","All","All","England","Female","Main scheme applicant","Main scheme application","11805","8830","0.748","0"
"2019","All","All","England","Female","Main scheme applicant","Main scheme application","11170","8420","0.754","0"
"2020","All","All","England","Female","Main scheme applicant","Main scheme application","12105","9475","0.783","0"
"2021","All","All","England","Female","Main scheme applicant","Main scheme application","13600","10065","0.74","0"
"2022","All","All","England","Female","Main scheme applicant","Main scheme application","12480","8925","0.715","0"
"2023","All","All","England","Female","Main scheme applicant","Main scheme application","10795","7685","0.712","0"
"2010","All","All","Scotland","Female","Main scheme applicant","Main scheme application","35","30","0.811","0"
"2011","All","All","Scotland","Female","Main scheme applicant","Main scheme application","15","10"," ","0"
"2014","All","All","Scotland","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2010","All","All","Wales","Female","Main scheme applicant","Main scheme application","585","415","0.713","0"
"2011","All","All","Wales","Female","Main scheme applicant","Main scheme application","580","395","0.685","0"
"2012","All","All","Wales","Female","Main scheme applicant","Main scheme application","530","375","0.705","0"
"2013","All","All","Wales","Female","Main scheme applicant","Main scheme application","500","350","0.7010000000000001","0"
"2014","All","All","Wales","Female","Main scheme applicant","Main scheme application","625","445","0.712","0"
"2015","All","All","Wales","Female","Main scheme applicant","Main scheme application","610","455","0.747","0"
"2016","All","All","Wales","Female","Main scheme applicant","Main scheme application","575","410","0.707","0"
"2017","All","All","Wales","Female","Main scheme applicant","Main scheme application","580","415","0.718","0"
"2018","All","All","Wales","Female","Main scheme applicant","Main scheme application","645","490","0.757","0"
"2019","All","All","Wales","Female","Main scheme applicant","Main scheme application","480","405","0.84","0"
"2020","All","All","Wales","Female","Main scheme applicant","Main scheme application","575","440","0.765","0"
"2021","All","All","Wales","Female","Main scheme applicant","Main scheme application","640","470","0.734","0"
"2022","All","All","Wales","Female","Main scheme applicant","Main scheme application","455","305","0.673","0"
"2023","All","All","Wales","Female","Main scheme applicant","Main scheme application","260","200","0.765","0"
"2010","All","All","Northern Ireland","Male","Main scheme applicant","Main scheme application","370","235","0.641","0"
"2011","All","All","Northern Ireland","Male","Main scheme applicant","Main scheme application","315","195","0.609","0"
"2012","All","All","Northern Ireland","Male","Main scheme applicant","Main scheme application","250","165","0.652","0"
"2013","All","All","Northern Ireland","Male","Main scheme applicant","Main scheme application","280","180","0.643","0"
"2014","All","All","Northern Ireland","Male","Main scheme applicant","Main scheme application","270","175","0.652","0"
"2015","All","All","Northern Ireland","Male","Main scheme applicant","Main scheme application","370","255","0.686","0"
"2016","All","All","Northern Ireland","Male","Main scheme applicant","Main scheme application","345","230","0.668","0"
"2017","All","All","Northern Ireland","Male","Main scheme applicant","Main scheme application","280","190","0.675","0"
"2018","All","All","Northern Ireland","Male","Main scheme applicant","Main scheme application","300","195","0.645","0"
"2019","All","All","Northern Ireland","Male","Main scheme applicant","Main scheme application","265","165","0.623","0"
"2020","All","All","Northern Ireland","Male","Main scheme applicant","Main scheme application","290","200","0.682","0"
"2021","All","All","Northern Ireland","Male","Main scheme applicant","Main scheme application","305","195","0.643","0"
"2022","All","All","Northern Ireland","Male","Main scheme applicant","Main scheme application","300","185","0.612","0"
"2023","All","All","Northern Ireland","Male","Main scheme applicant","Main scheme application","250","150","0.605","0"
"2010","All","All","England","Male","Main scheme applicant","Main scheme application","10320","7640","0.74","0"
"2011","All","All","England","Male","Main scheme applicant","Main scheme application","10420","7925","0.76","0"
"2012","All","All","England","Male","Main scheme applicant","Main scheme application","9890","7395","0.747","0"
"2013","All","All","England","Male","Main scheme applicant","Main scheme application","10795","8440","0.782","0"
"2014","All","All","England","Male","Main scheme applicant","Main scheme application","12510","9825","0.785","0"
"2015","All","All","England","Male","Main scheme applicant","Main scheme application","12750","10065","0.789","0"
"2016","All","All","England","Male","Main scheme applicant","Main scheme application","12560","10010","0.797","0"
"2017","All","All","England","Male","Main scheme applicant","Main scheme application","11910","9460","0.794","0"
"2018","All","All","England","Male","Main scheme applicant","Main scheme application","10920","8745","0.801","0"
"2019","All","All","England","Male","Main scheme applicant","Main scheme application","10240","8110","0.792","0"
"2020","All","All","England","Male","Main scheme applicant","Main scheme application","11030","8900","0.807","0"
"2021","All","All","England","Male","Main scheme applicant","Main scheme application","12515","9730","0.778","0"
"2022","All","All","England","Male","Main scheme applicant","Main scheme application","11565","8500","0.735","0"
"2023","All","All","England","Male","Main scheme applicant","Main scheme application","10875","7950","0.731","0"
"2010","All","All","Scotland","Male","Main scheme applicant","Main scheme application","25","20","0.783","0"
"2011","All","All","Scotland","Male","Main scheme applicant","Main scheme application","5","5"," ","0"
"2012","All","All","Scotland","Male","Main scheme applicant","Main scheme application","5","5"," ","0"
"2015","All","All","Scotland","Male","Main scheme applicant","Main scheme application","5","5"," ","0"
"2017","All","All","Scotland","Male","Main scheme applicant","Main scheme application","5","5"," ","0"
"2022","All","All","Scotland","Male","Main scheme applicant","Main scheme application","5","0"," ","0"
"2010","All","All","Wales","Male","Main scheme applicant","Main scheme application","520","395","0.754","0"
"2011","All","All","Wales","Male","Main scheme applicant","Main scheme application","475","345","0.725","0"
"2012","All","All","Wales","Male","Main scheme applicant","Main scheme application","445","330","0.744","0"
"2013","All","All","Wales","Male","Main scheme applicant","Main scheme application","445","370","0.834","0"
"2014","All","All","Wales","Male","Main scheme applicant","Main scheme application","500","405","0.81","0"
"2015","All","All","Wales","Male","Main scheme applicant","Main scheme application","565","450","0.796","0"
"2016","All","All","Wales","Male","Main scheme applicant","Main scheme application","545","430","0.788","0"
"2017","All","All","Wales","Male","Main scheme applicant","Main scheme application","495","395","0.796","0"
"2018","All","All","Wales","Male","Main scheme applicant","Main scheme application","600","485","0.81","0"
"2019","All","All","Wales","Male","Main scheme applicant","Main scheme application","450","370","0.8200000000000001","0"
"2020","All","All","Wales","Male","Main scheme applicant","Main scheme application","445","375","0.847","0"
"2021","All","All","Wales","Male","Main scheme applicant","Main scheme application","475","370","0.775","0"
"2022","All","All","Wales","Male","Main scheme applicant","Main scheme application","430","305","0.7010000000000001","0"
"2023","All","All","Wales","Male","Main scheme applicant","Main scheme application","410","300","0.723","0"
"2010","1 point (PPP)","18","All","Female","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2011","1 point (PPP)","18","All","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2017","1 point (PPP)","18","All","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","2 points (MPP)","18","All","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2011","2 points (MPP)","18","All","Female","Not main scheme applicant","Not main scheme application","15","15","1","5"
"2010","3 points (MMP)","18","All","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2011","3 points (MMP)","18","All","Female","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2020","3 points (MMP)","18","All","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","4 points (MMM)","18","All","Female","Not main scheme applicant","Not main scheme application","15","15","1","5"
"2011","4 points (MMM)","18","All","Female","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2017","4 points (MMM)","18","All","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","4 points (MMM)","18","All","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2010","5 points (DMM)","18","All","Female","Not main scheme applicant","Not main scheme application","15","15","0.933","5"
"2011","5 points (DMM)","18","All","Female","Not main scheme applicant","Not main scheme application","15","10","0.846","5"
"2018","5 points (DMM)","18","All","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","5 points (DMM)","18","All","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","6 points (DDM)","18","All","Female","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2011","6 points (DDM)","18","All","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2021","6 points (DDM)","18","All","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","7 points (DDD)","18","All","Female","Not main scheme applicant","Not main scheme application","20","20","0.909","5"
"2011","7 points (DDD)","18","All","Female","Not main scheme applicant","Not main scheme application","40","35","0.974","5"
"2017","7 points (DDD)","18","All","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","8 points (D*DD)","18","All","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","9 points (D*D*D)","18","All","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","10 points (D*D*D*)","18","All","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","1 point (PPP)","18","All","Male","Not main scheme applicant","Not main scheme application","25","25","0.96","10"
"2011","1 point (PPP)","18","All","Male","Not main scheme applicant","Not main scheme application","15","15","1","5"
"2020","1 point (PPP)","18","All","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
