"Year","Achieved BTEC Extended diploma points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2021","3 points (MMP)","All","Wales","Male","Main scheme applicant","All","30","25","0.8","0"
"2022","3 points (MMP)","All","Wales","Male","Main scheme applicant","All","45","30","0.727","0"
"2023","3 points (MMP)","All","Wales","Male","Main scheme applicant","All","50","40","0.8200000000000001","0"
"2010","4 points (MMM)","All","Northern Ireland","Male","Main scheme applicant","All","40","25","0.641","0"
"2011","4 points (MMM)","All","Northern Ireland","Male","Main scheme applicant","All","25","10","0.423","0"
"2012","4 points (MMM)","All","Northern Ireland","Male","Main scheme applicant","All","25","10","0.423","0"
"2013","4 points (MMM)","All","Northern Ireland","Male","Main scheme applicant","All","30","20","0.656","0"
"2014","4 points (MMM)","All","Northern Ireland","Male","Main scheme applicant","All","40","20","0.513","0"
"2015","4 points (MMM)","All","Northern Ireland","Male","Main scheme applicant","All","30","15","0.5","0"
"2016","4 points (MMM)","All","Northern Ireland","Male","Main scheme applicant","All","35","20","0.541","0"
"2017","4 points (MMM)","All","Northern Ireland","Male","Main scheme applicant","All","25","15","0.538","0"
"2018","4 points (MMM)","All","Northern Ireland","Male","Main scheme applicant","All","15","5"," ","0"
"2019","4 points (MMM)","All","Northern Ireland","Male","Main scheme applicant","All","20","10","0.524","0"
"2020","4 points (MMM)","All","Northern Ireland","Male","Main scheme applicant","All","30","10","0.41400000000000003","0"
"2021","4 points (MMM)","All","Northern Ireland","Male","Main scheme applicant","All","30","15","0.536","0"
"2022","4 points (MMM)","All","Northern Ireland","Male","Main scheme applicant","All","30","15","0.552","0"
"2023","4 points (MMM)","All","Northern Ireland","Male","Main scheme applicant","All","30","20","0.643","0"
"2010","4 points (MMM)","All","England","Male","Main scheme applicant","All","1410","1150","0.8160000000000001","0"
"2011","4 points (MMM)","All","England","Male","Main scheme applicant","All","1290","1025","0.795","0"
"2012","4 points (MMM)","All","England","Male","Main scheme applicant","All","1075","885","0.8250000000000001","0"
"2013","4 points (MMM)","All","England","Male","Main scheme applicant","All","1155","950","0.8230000000000001","0"
"2014","4 points (MMM)","All","England","Male","Main scheme applicant","All","1215","1000","0.8240000000000001","0"
"2015","4 points (MMM)","All","England","Male","Main scheme applicant","All","1055","870","0.8230000000000001","0"
"2016","4 points (MMM)","All","England","Male","Main scheme applicant","All","1030","860","0.838","0"
"2017","4 points (MMM)","All","England","Male","Main scheme applicant","All","845","690","0.8150000000000001","0"
"2018","4 points (MMM)","All","England","Male","Main scheme applicant","All","795","680","0.855","0"
