"Year","Acceptance route","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Accepted applicants"
"2019","Main scheme Clearing","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","5"
"2022","Main scheme Clearing","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","5"
"2020","Main scheme Clearing","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","5"
"2022","Main scheme Clearing","30 - 34","Scotland","Female","Main scheme applicant","Not main scheme application","5"
"2020","Main scheme Clearing","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","5"
"2021","Main scheme Clearing","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","5"
"2019","Main scheme Clearing","18","Wales","Female","Main scheme applicant","Not main scheme application","5"
"2020","Main scheme Clearing","18","Wales","Female","Main scheme applicant","Not main scheme application","5"
"2022","Main scheme Clearing","18","Wales","Female","Main scheme applicant","Not main scheme application","10"
"2023","Main scheme Clearing","18","Wales","Female","Main scheme applicant","Not main scheme application","10"
"2019","Extra","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","5"
"2019","Main scheme Clearing","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","5"
"2020","Main scheme Clearing","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","5"
"2021","Main scheme Clearing","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","5"
"2023","Main scheme Clearing","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","5"
"2019","Main scheme Clearing","25 - 29","Wales","Female","Main scheme applicant","Not main scheme application","5"
"2021","Main scheme Clearing","25 - 29","Wales","Female","Main scheme applicant","Not main scheme application","5"
"2022","Main scheme Clearing","25 - 29","Wales","Female","Main scheme applicant","Not main scheme application","5"
"2023","Main scheme Clearing","25 - 29","Wales","Female","Main scheme applicant","Not main scheme application","5"
"2019","Main scheme Clearing","30 - 34","Wales","Female","Main scheme applicant","Not main scheme application","5"
"2020","Main scheme Clearing","30 - 34","Wales","Female","Main scheme applicant","Not main scheme application","5"
"2021","Main scheme Clearing","30 - 34","Wales","Female","Main scheme applicant","Not main scheme application","5"
"2023","Main scheme Clearing","30 - 34","Wales","Female","Main scheme applicant","Not main scheme application","10"
"2020","Main scheme Clearing","35 and over","Wales","Female","Main scheme applicant","Not main scheme application","5"
"2019","Main scheme firm choice","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","20"
"2020","Main scheme firm choice","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","35"
"2021","Main scheme firm choice","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","30"
"2022","Main scheme firm choice","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","40"
"2023","Main scheme firm choice","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","30"
"2019","Main scheme firm choice","19","Northern Ireland","Female","Main scheme applicant","Main scheme application","10"
"2020","Main scheme firm choice","19","Northern Ireland","Female","Main scheme applicant","Main scheme application","10"
"2021","Main scheme firm choice","19","Northern Ireland","Female","Main scheme applicant","Main scheme application","5"
"2022","Main scheme firm choice","19","Northern Ireland","Female","Main scheme applicant","Main scheme application","15"
