"Year","UK region declared county of residence","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2008","Northern Ireland","25 - 29","Northern Ireland","Female","Main scheme applicant","All","300","175","0.5760000000000001","0"
"2009","Northern Ireland","25 - 29","Northern Ireland","Female","Main scheme applicant","All","315","170","0.53","0"
"2010","Northern Ireland","25 - 29","Northern Ireland","Female","Main scheme applicant","All","465","250","0.533","0"
"2011","Northern Ireland","25 - 29","Northern Ireland","Female","Main scheme applicant","All","485","235","0.483","0"
"2012","Northern Ireland","25 - 29","Northern Ireland","Female","Main scheme applicant","All","425","200","0.47300000000000003","0"
"2013","Northern Ireland","25 - 29","Northern Ireland","Female","Main scheme applicant","All","570","275","0.47900000000000004","0"
"2014","Northern Ireland","25 - 29","Northern Ireland","Female","Main scheme applicant","All","595","275","0.462","0"
"2015","Northern Ireland","25 - 29","Northern Ireland","Female","Main scheme applicant","All","580","295","0.513","0"
"2016","Northern Ireland","25 - 29","Northern Ireland","Female","Main scheme applicant","All","565","280","0.497","0"
"2017","Northern Ireland","25 - 29","Northern Ireland","Female","Main scheme applicant","All","490","250","0.511","0"
"2018","Northern Ireland","25 - 29","Northern Ireland","Female","Main scheme applicant","All","480","260","0.536","0"
"2019","Northern Ireland","25 - 29","Northern Ireland","Female","Main scheme applicant","All","435","255","0.581","0"
"2020","Northern Ireland","25 - 29","Northern Ireland","Female","Main scheme applicant","All","455","260","0.5710000000000001","0"
"2021","Northern Ireland","25 - 29","Northern Ireland","Female","Main scheme applicant","All","575","285","0.499","0"
"2022","Northern Ireland","25 - 29","Northern Ireland","Female","Main scheme applicant","All","420","225","0.538","0"
"2023","Northern Ireland","25 - 29","Northern Ireland","Female","Main scheme applicant","All","340","185","0.55","0"
"2006","South West","25 - 29","England","Female","Main scheme applicant","All","940","540","0.5740000000000001","0"
"2007","South West","25 - 29","England","Female","Main scheme applicant","All","850","520","0.611","0"
"2008","South West","25 - 29","England","Female","Main scheme applicant","All","1080","680","0.629","0"
"2009","South West","25 - 29","England","Female","Main scheme applicant","All","1400","855","0.612","0"
"2010","South West","25 - 29","England","Female","Main scheme applicant","All","1630","880","0.54","0"
"2011","South West","25 - 29","England","Female","Main scheme applicant","All","1595","860","0.538","0"
"2012","South West","25 - 29","England","Female","Main scheme applicant","All","1430","825","0.5760000000000001","0"
"2013","South West","25 - 29","England","Female","Main scheme applicant","All","1460","845","0.581","0"
"2014","South West","25 - 29","England","Female","Main scheme applicant","All","1515","895","0.59","0"
"2015","South West","25 - 29","England","Female","Main scheme applicant","All","1535","945","0.617","0"
"2016","South West","25 - 29","England","Female","Main scheme applicant","All","1575","970","0.617","0"
"2017","South West","25 - 29","England","Female","Main scheme applicant","All","1270","840","0.66","0"
"2018","South West","25 - 29","England","Female","Main scheme applicant","All","1090","735","0.673","0"
"2019","South West","25 - 29","England","Female","Main scheme applicant","All","1150","780","0.677","0"
"2020","South West","25 - 29","England","Female","Main scheme applicant","All","1175","790","0.671","0"
"2021","South West","25 - 29","England","Female","Main scheme applicant","All","1365","820","0.602","0"
"2022","South West","25 - 29","England","Female","Main scheme applicant","All","1020","580","0.5660000000000001","0"
"2023","South West","25 - 29","England","Female","Main scheme applicant","All","775","465","0.604","0"
"2006","North East","25 - 29","England","Female","Main scheme applicant","All","430","260","0.61","0"
"2007","North East","25 - 29","England","Female","Main scheme applicant","All","500","315","0.633","0"
"2008","North East","25 - 29","England","Female","Main scheme applicant","All","620","420","0.674","0"
"2009","North East","25 - 29","England","Female","Main scheme applicant","All","680","415","0.611","0"
"2010","North East","25 - 29","England","Female","Main scheme applicant","All","855","475","0.555","0"
"2011","North East","25 - 29","England","Female","Main scheme applicant","All","860","450","0.523","0"
"2012","North East","25 - 29","England","Female","Main scheme applicant","All","815","455","0.56","0"
"2013","North East","25 - 29","England","Female","Main scheme applicant","All","840","465","0.553","0"
"2014","North East","25 - 29","England","Female","Main scheme applicant","All","905","525","0.579","0"
"2015","North East","25 - 29","England","Female","Main scheme applicant","All","900","540","0.6","0"
"2016","North East","25 - 29","England","Female","Main scheme applicant","All","905","580","0.642","0"
"2017","North East","25 - 29","England","Female","Main scheme applicant","All","755","545","0.721","0"
"2018","North East","25 - 29","England","Female","Main scheme applicant","All","680","505","0.742","0"
"2019","North East","25 - 29","England","Female","Main scheme applicant","All","720","510","0.708","0"
"2020","North East","25 - 29","England","Female","Main scheme applicant","All","720","530","0.739","0"
"2021","North East","25 - 29","England","Female","Main scheme applicant","All","800","555","0.6940000000000001","0"
"2022","North East","25 - 29","England","Female","Main scheme applicant","All","625","420","0.668","0"
"2023","North East","25 - 29","England","Female","Main scheme applicant","All","465","305","0.653","0"
"2006","Yorkshire and The Humber","25 - 29","England","Female","Main scheme applicant","All","795","525","0.66","0"
"2007","Yorkshire and The Humber","25 - 29","England","Female","Main scheme applicant","All","800","510","0.637","0"
"2008","Yorkshire and The Humber","25 - 29","England","Female","Main scheme applicant","All","1100","745","0.68","0"
"2009","Yorkshire and The Humber","25 - 29","England","Female","Main scheme applicant","All","1375","830","0.604","0"
"2010","Yorkshire and The Humber","25 - 29","England","Female","Main scheme applicant","All","1615","895","0.555","0"
"2011","Yorkshire and The Humber","25 - 29","England","Female","Main scheme applicant","All","1675","855","0.509","0"
"2012","Yorkshire and The Humber","25 - 29","England","Female","Main scheme applicant","All","1495","840","0.5630000000000001","0"
"2013","Yorkshire and The Humber","25 - 29","England","Female","Main scheme applicant","All","1495","880","0.589","0"
"2014","Yorkshire and The Humber","25 - 29","England","Female","Main scheme applicant","All","1530","950","0.622","0"
"2015","Yorkshire and The Humber","25 - 29","England","Female","Main scheme applicant","All","1585","975","0.615","0"
"2016","Yorkshire and The Humber","25 - 29","England","Female","Main scheme applicant","All","1475","905","0.615","0"
"2017","Yorkshire and The Humber","25 - 29","England","Female","Main scheme applicant","All","1255","895","0.713","0"
"2018","Yorkshire and The Humber","25 - 29","England","Female","Main scheme applicant","All","1175","815","0.6920000000000001","0"
"2019","Yorkshire and The Humber","25 - 29","England","Female","Main scheme applicant","All","1185","835","0.706","0"
"2020","Yorkshire and The Humber","25 - 29","England","Female","Main scheme applicant","All","1235","905","0.734","0"
"2021","Yorkshire and The Humber","25 - 29","England","Female","Main scheme applicant","All","1440","930","0.648","0"
"2022","Yorkshire and The Humber","25 - 29","England","Female","Main scheme applicant","All","1085","695","0.642","0"
"2023","Yorkshire and The Humber","25 - 29","England","Female","Main scheme applicant","All","915","585","0.638","0"
"2006","South East","25 - 29","England","Female","Main scheme applicant","All","1150","685","0.595","0"
"2007","South East","25 - 29","England","Female","Main scheme applicant","All","1165","715","0.615","0"
"2008","South East","25 - 29","England","Female","Main scheme applicant","All","1565","980","0.626","0"
"2009","South East","25 - 29","England","Female","Main scheme applicant","All","1790","1060","0.592","0"
"2010","South East","25 - 29","England","Female","Main scheme applicant","All","2260","1160","0.514","0"
"2011","South East","25 - 29","England","Female","Main scheme applicant","All","2205","1130","0.512","0"
"2012","South East","25 - 29","England","Female","Main scheme applicant","All","1910","940","0.493","0"
"2013","South East","25 - 29","England","Female","Main scheme applicant","All","2025","1065","0.526","0"
"2014","South East","25 - 29","England","Female","Main scheme applicant","All","1990","1100","0.553","0"
"2015","South East","25 - 29","England","Female","Main scheme applicant","All","1950","1105","0.5660000000000001","0"
"2016","South East","25 - 29","England","Female","Main scheme applicant","All","2010","1190","0.593","0"
"2017","South East","25 - 29","England","Female","Main scheme applicant","All","1530","970","0.635","0"
"2018","South East","25 - 29","England","Female","Main scheme applicant","All","1440","935","0.648","0"
"2019","South East","25 - 29","England","Female","Main scheme applicant","All","1380","905","0.657","0"
"2020","South East","25 - 29","England","Female","Main scheme applicant","All","1470","1030","0.7000000000000001","0"
"2021","South East","25 - 29","England","Female","Main scheme applicant","All","1670","1010","0.603","0"
"2022","South East","25 - 29","England","Female","Main scheme applicant","All","1355","830","0.611","0"
"2023","South East","25 - 29","England","Female","Main scheme applicant","All","1025","610","0.598","0"
"2006","East Midlands","25 - 29","England","Female","Main scheme applicant","All","545","345","0.632","0"
"2007","East Midlands","25 - 29","England","Female","Main scheme applicant","All","600","370","0.62","0"
"2008","East Midlands","25 - 29","England","Female","Main scheme applicant","All","930","620","0.666","0"
"2009","East Midlands","25 - 29","England","Female","Main scheme applicant","All","1025","640","0.623","0"
"2010","East Midlands","25 - 29","England","Female","Main scheme applicant","All","1305","675","0.517","0"
"2011","East Midlands","25 - 29","England","Female","Main scheme applicant","All","1235","595","0.483","0"
"2012","East Midlands","25 - 29","England","Female","Main scheme applicant","All","1155","580","0.502","0"
"2013","East Midlands","25 - 29","England","Female","Main scheme applicant","All","1175","635","0.54","0"
"2014","East Midlands","25 - 29","England","Female","Main scheme applicant","All","1205","705","0.588","0"
"2015","East Midlands","25 - 29","England","Female","Main scheme applicant","All","1060","675","0.637","0"
"2016","East Midlands","25 - 29","England","Female","Main scheme applicant","All","1135","740","0.651","0"
"2017","East Midlands","25 - 29","England","Female","Main scheme applicant","All","905","610","0.674","0"
"2018","East Midlands","25 - 29","England","Female","Main scheme applicant","All","780","560","0.714","0"
"2019","East Midlands","25 - 29","England","Female","Main scheme applicant","All","730","500","0.684","0"
"2020","East Midlands","25 - 29","England","Female","Main scheme applicant","All","805","580","0.721","0"
"2021","East Midlands","25 - 29","England","Female","Main scheme applicant","All","950","615","0.646","0"
"2022","East Midlands","25 - 29","England","Female","Main scheme applicant","All","725","485","0.668","0"
"2023","East Midlands","25 - 29","England","Female","Main scheme applicant","All","700","415","0.594","0"
"2006","East of England","25 - 29","England","Female","Main scheme applicant","All","655","365","0.56","0"
"2007","East of England","25 - 29","England","Female","Main scheme applicant","All","675","415","0.614","0"
"2008","East of England","25 - 29","England","Female","Main scheme applicant","All","930","595","0.639","0"
"2009","East of England","25 - 29","England","Female","Main scheme applicant","All","1090","670","0.617","0"
"2010","East of England","25 - 29","England","Female","Main scheme applicant","All","1445","690","0.47600000000000003","0"
"2011","East of England","25 - 29","England","Female","Main scheme applicant","All","1375","675","0.49","0"
"2012","East of England","25 - 29","England","Female","Main scheme applicant","All","1235","605","0.488","0"
"2013","East of England","25 - 29","England","Female","Main scheme applicant","All","1185","620","0.522","0"
"2014","East of England","25 - 29","England","Female","Main scheme applicant","All","1255","695","0.556","0"
"2015","East of England","25 - 29","England","Female","Main scheme applicant","All","1275","740","0.581","0"
"2016","East of England","25 - 29","England","Female","Main scheme applicant","All","1210","695","0.5720000000000001","0"
"2017","East of England","25 - 29","England","Female","Main scheme applicant","All","975","600","0.616","0"
"2018","East of England","25 - 29","England","Female","Main scheme applicant","All","915","585","0.64","0"
"2019","East of England","25 - 29","England","Female","Main scheme applicant","All","935","630","0.673","0"
"2020","East of England","25 - 29","England","Female","Main scheme applicant","All","885","610","0.687","0"
"2021","East of England","25 - 29","England","Female","Main scheme applicant","All","1050","655","0.625","0"
"2022","East of England","25 - 29","England","Female","Main scheme applicant","All","845","500","0.591","0"
"2023","East of England","25 - 29","England","Female","Main scheme applicant","All","660","365","0.549","0"
"2006","West Midlands","25 - 29","England","Female","Main scheme applicant","All","840","535","0.638","0"
"2007","West Midlands","25 - 29","England","Female","Main scheme applicant","All","880","555","0.629","0"
"2008","West Midlands","25 - 29","England","Female","Main scheme applicant","All","1265","830","0.657","0"
"2009","West Midlands","25 - 29","England","Female","Main scheme applicant","All","1625","1010","0.621","0"
"2010","West Midlands","25 - 29","England","Female","Main scheme applicant","All","1875","965","0.514","0"
"2011","West Midlands","25 - 29","England","Female","Main scheme applicant","All","1775","940","0.531","0"
"2012","West Midlands","25 - 29","England","Female","Main scheme applicant","All","1660","895","0.539","0"
"2013","West Midlands","25 - 29","England","Female","Main scheme applicant","All","1690","930","0.549","0"
"2014","West Midlands","25 - 29","England","Female","Main scheme applicant","All","1910","1095","0.5740000000000001","0"
"2015","West Midlands","25 - 29","England","Female","Main scheme applicant","All","1830","1085","0.594","0"
"2016","West Midlands","25 - 29","England","Female","Main scheme applicant","All","1820","1060","0.582","0"
"2017","West Midlands","25 - 29","England","Female","Main scheme applicant","All","1490","955","0.64","0"
"2018","West Midlands","25 - 29","England","Female","Main scheme applicant","All","1350","920","0.682","0"
"2019","West Midlands","25 - 29","England","Female","Main scheme applicant","All","1295","900","0.6960000000000001","0"
"2020","West Midlands","25 - 29","England","Female","Main scheme applicant","All","1375","1015","0.736","0"
"2021","West Midlands","25 - 29","England","Female","Main scheme applicant","All","1505","970","0.645","0"
"2022","West Midlands","25 - 29","England","Female","Main scheme applicant","All","1250","775","0.618","0"
"2023","West Midlands","25 - 29","England","Female","Main scheme applicant","All","1045","650","0.621","0"
"2006","North West","25 - 29","England","Female","Main scheme applicant","All","1215","760","0.623","0"
"2007","North West","25 - 29","England","Female","Main scheme applicant","All","1310","840","0.639","0"
"2008","North West","25 - 29","England","Female","Main scheme applicant","All","1820","1190","0.653","0"
"2009","North West","25 - 29","England","Female","Main scheme applicant","All","2190","1385","0.633","0"
"2010","North West","25 - 29","England","Female","Main scheme applicant","All","2700","1435","0.532","0"
"2011","North West","25 - 29","England","Female","Main scheme applicant","All","2555","1415","0.553","0"
"2012","North West","25 - 29","England","Female","Main scheme applicant","All","2160","1215","0.561","0"
"2013","North West","25 - 29","England","Female","Main scheme applicant","All","2365","1290","0.546","0"
"2014","North West","25 - 29","England","Female","Main scheme applicant","All","2525","1465","0.581","0"
"2015","North West","25 - 29","England","Female","Main scheme applicant","All","2375","1415","0.595","0"
"2016","North West","25 - 29","England","Female","Main scheme applicant","All","2390","1420","0.595","0"
"2017","North West","25 - 29","England","Female","Main scheme applicant","All","1875","1230","0.656","0"
"2018","North West","25 - 29","England","Female","Main scheme applicant","All","1770","1210","0.683","0"
"2019","North West","25 - 29","England","Female","Main scheme applicant","All","1655","1130","0.681","0"
"2020","North West","25 - 29","England","Female","Main scheme applicant","All","1870","1395","0.744","0"
"2021","North West","25 - 29","England","Female","Main scheme applicant","All","2135","1355","0.634","0"
"2022","North West","25 - 29","England","Female","Main scheme applicant","All","1725","1120","0.651","0"
"2023","North West","25 - 29","England","Female","Main scheme applicant","All","1430","875","0.611","0"
"2006","Scotland","25 - 29","Scotland","Female","Main scheme applicant","All","995","635","0.64","0"
"2007","Scotland","25 - 29","Scotland","Female","Main scheme applicant","All","1080","700","0.647","0"
"2008","Scotland","25 - 29","Scotland","Female","Main scheme applicant","All","1110","720","0.65","0"
"2009","Scotland","25 - 29","Scotland","Female","Main scheme applicant","All","1240","815","0.658","0"
"2010","Scotland","25 - 29","Scotland","Female","Main scheme applicant","All","1970","1060","0.54","0"
"2011","Scotland","25 - 29","Scotland","Female","Main scheme applicant","All","1965","1035","0.525","0"
"2012","Scotland","25 - 29","Scotland","Female","Main scheme applicant","All","1905","1020","0.535","0"
"2013","Scotland","25 - 29","Scotland","Female","Main scheme applicant","All","1885","1020","0.54","0"
"2014","Scotland","25 - 29","Scotland","Female","Main scheme applicant","All","2090","1160","0.555","0"
"2015","Scotland","25 - 29","Scotland","Female","Main scheme applicant","All","2995","1670","0.557","0"
"2016","Scotland","25 - 29","Scotland","Female","Main scheme applicant","All","3175","1755","0.553","0"
"2017","Scotland","25 - 29","Scotland","Female","Main scheme applicant","All","3125","1895","0.606","0"
"2018","Scotland","25 - 29","Scotland","Female","Main scheme applicant","All","3020","1850","0.612","0"
"2019","Scotland","25 - 29","Scotland","Female","Main scheme applicant","All","2995","1835","0.613","0"
"2020","Scotland","25 - 29","Scotland","Female","Main scheme applicant","All","3245","2110","0.65","0"
"2021","Scotland","25 - 29","Scotland","Female","Main scheme applicant","All","3875","2300","0.594","0"
"2022","Scotland","25 - 29","Scotland","Female","Main scheme applicant","All","2880","1815","0.631","0"
"2023","Scotland","25 - 29","Scotland","Female","Main scheme applicant","All","2195","1420","0.645","0"
"2006","London","25 - 29","England","Female","Main scheme applicant","All","2215","1205","0.543","0"
"2007","London","25 - 29","England","Female","Main scheme applicant","All","2375","1290","0.542","0"
"2008","London","25 - 29","England","Female","Main scheme applicant","All","2825","1590","0.5630000000000001","0"
"2009","London","25 - 29","England","Female","Main scheme applicant","All","3365","1840","0.547","0"
"2010","London","25 - 29","England","Female","Main scheme applicant","All","4050","2025","0.5","0"
"2011","London","25 - 29","England","Female","Main scheme applicant","All","4100","1925","0.46900000000000003","0"
"2012","London","25 - 29","England","Female","Main scheme applicant","All","3565","1690","0.47400000000000003","0"
"2013","London","25 - 29","England","Female","Main scheme applicant","All","3460","1690","0.488","0"
"2014","London","25 - 29","England","Female","Main scheme applicant","All","3665","1840","0.502","0"
"2015","London","25 - 29","England","Female","Main scheme applicant","All","3465","1740","0.502","0"
"2016","London","25 - 29","England","Female","Main scheme applicant","All","3490","1820","0.522","0"
"2017","London","25 - 29","England","Female","Main scheme applicant","All","2795","1580","0.5650000000000001","0"
"2018","London","25 - 29","England","Female","Main scheme applicant","All","2450","1485","0.606","0"
"2019","London","25 - 29","England","Female","Main scheme applicant","All","2290","1400","0.612","0"
"2020","London","25 - 29","England","Female","Main scheme applicant","All","2475","1570","0.634","0"
"2021","London","25 - 29","England","Female","Main scheme applicant","All","2810","1645","0.586","0"
"2022","London","25 - 29","England","Female","Main scheme applicant","All","2125","1155","0.543","0"
"2023","London","25 - 29","England","Female","Main scheme applicant","All","1810","985","0.545","0"
"2006","Wales","25 - 29","Wales","Female","Main scheme applicant","All","625","345","0.55","0"
"2007","Wales","25 - 29","Wales","Female","Main scheme applicant","All","660","395","0.596","0"
"2008","Wales","25 - 29","Wales","Female","Main scheme applicant","All","650","410","0.628","0"
"2009","Wales","25 - 29","Wales","Female","Main scheme applicant","All","815","505","0.621","0"
"2010","Wales","25 - 29","Wales","Female","Main scheme applicant","All","935","475","0.51","0"
"2011","Wales","25 - 29","Wales","Female","Main scheme applicant","All","1015","510","0.5","0"
"2012","Wales","25 - 29","Wales","Female","Main scheme applicant","All","930","495","0.531","0"
"2013","Wales","25 - 29","Wales","Female","Main scheme applicant","All","970","530","0.547","0"
"2014","Wales","25 - 29","Wales","Female","Main scheme applicant","All","1015","610","0.603","0"
"2015","Wales","25 - 29","Wales","Female","Main scheme applicant","All","950","600","0.632","0"
"2016","Wales","25 - 29","Wales","Female","Main scheme applicant","All","965","585","0.61","0"
"2017","Wales","25 - 29","Wales","Female","Main scheme applicant","All","955","600","0.626","0"
"2018","Wales","25 - 29","Wales","Female","Main scheme applicant","All","930","625","0.674","0"
"2019","Wales","25 - 29","Wales","Female","Main scheme applicant","All","915","610","0.665","0"
"2020","Wales","25 - 29","Wales","Female","Main scheme applicant","All","920","650","0.706","0"
"2021","Wales","25 - 29","Wales","Female","Main scheme applicant","All","1085","665","0.611","0"
"2022","Wales","25 - 29","Wales","Female","Main scheme applicant","All","960","615","0.639","0"
"2023","Wales","25 - 29","Wales","Female","Main scheme applicant","All","735","465","0.63","0"
"2006","Unknown","25 - 29","England","Female","Main scheme applicant","All","5","0"," ","0"
"2007","Unknown","25 - 29","England","Female","Main scheme applicant","All","35","20","0.559","0"
"2008","Unknown","25 - 29","England","Female","Main scheme applicant","All","20","10","0.55","0"
"2009","Unknown","25 - 29","England","Female","Main scheme applicant","All","15","5"," ","0"
"2006","Northern Ireland","30 - 34","Northern Ireland","Female","Main scheme applicant","All","195","105","0.543","0"
"2007","Northern Ireland","30 - 34","Northern Ireland","Female","Main scheme applicant","All","155","95","0.604","0"
"2008","Northern Ireland","30 - 34","Northern Ireland","Female","Main scheme applicant","All","145","100","0.685","0"
"2009","Northern Ireland","30 - 34","Northern Ireland","Female","Main scheme applicant","All","155","95","0.596","0"
"2010","Northern Ireland","30 - 34","Northern Ireland","Female","Main scheme applicant","All","175","95","0.549","0"
"2011","Northern Ireland","30 - 34","Northern Ireland","Female","Main scheme applicant","All","180","95","0.542","0"
"2012","Northern Ireland","30 - 34","Northern Ireland","Female","Main scheme applicant","All","180","105","0.592","0"
"2013","Northern Ireland","30 - 34","Northern Ireland","Female","Main scheme applicant","All","260","105","0.40800000000000003","0"
"2014","Northern Ireland","30 - 34","Northern Ireland","Female","Main scheme applicant","All","265","135","0.502","0"
"2015","Northern Ireland","30 - 34","Northern Ireland","Female","Main scheme applicant","All","280","130","0.457","0"
"2016","Northern Ireland","30 - 34","Northern Ireland","Female","Main scheme applicant","All","285","150","0.519","0"
"2017","Northern Ireland","30 - 34","Northern Ireland","Female","Main scheme applicant","All","285","150","0.532","0"
"2018","Northern Ireland","30 - 34","Northern Ireland","Female","Main scheme applicant","All","250","140","0.558","0"
"2019","Northern Ireland","30 - 34","Northern Ireland","Female","Main scheme applicant","All","285","150","0.526","0"
"2020","Northern Ireland","30 - 34","Northern Ireland","Female","Main scheme applicant","All","265","145","0.545","0"
"2021","Northern Ireland","30 - 34","Northern Ireland","Female","Main scheme applicant","All","300","150","0.498","0"
"2022","Northern Ireland","30 - 34","Northern Ireland","Female","Main scheme applicant","All","275","145","0.527","0"
"2023","Northern Ireland","30 - 34","Northern Ireland","Female","Main scheme applicant","All","220","130","0.584","0"
"2006","South West","30 - 34","England","Female","Main scheme applicant","All","605","350","0.579","0"
"2007","South West","30 - 34","England","Female","Main scheme applicant","All","500","315","0.634","0"
"2008","South West","30 - 34","England","Female","Main scheme applicant","All","625","420","0.674","0"
"2009","South West","30 - 34","England","Female","Main scheme applicant","All","805","490","0.609","0"
"2010","South West","30 - 34","England","Female","Main scheme applicant","All","930","525","0.5650000000000001","0"
"2011","South West","30 - 34","England","Female","Main scheme applicant","All","905","495","0.545","0"
"2012","South West","30 - 34","England","Female","Main scheme applicant","All","815","440","0.539","0"
"2013","South West","30 - 34","England","Female","Main scheme applicant","All","845","505","0.596","0"
"2014","South West","30 - 34","England","Female","Main scheme applicant","All","915","540","0.591","0"
"2015","South West","30 - 34","England","Female","Main scheme applicant","All","825","515","0.625","0"
"2016","South West","30 - 34","England","Female","Main scheme applicant","All","850","495","0.579","0"
"2017","South West","30 - 34","England","Female","Main scheme applicant","All","710","455","0.641","0"
"2018","South West","30 - 34","England","Female","Main scheme applicant","All","700","475","0.681","0"
"2019","South West","30 - 34","England","Female","Main scheme applicant","All","655","425","0.652","0"
"2020","South West","30 - 34","England","Female","Main scheme applicant","All","775","530","0.682","0"
"2021","South West","30 - 34","England","Female","Main scheme applicant","All","855","520","0.609","0"
"2022","South West","30 - 34","England","Female","Main scheme applicant","All","735","445","0.607","0"
"2023","South West","30 - 34","England","Female","Main scheme applicant","All","550","350","0.634","0"
"2006","North East","30 - 34","England","Female","Main scheme applicant","All","300","185","0.616","0"
"2007","North East","30 - 34","England","Female","Main scheme applicant","All","250","145","0.586","0"
"2008","North East","30 - 34","England","Female","Main scheme applicant","All","335","200","0.591","0"
"2009","North East","30 - 34","England","Female","Main scheme applicant","All","405","255","0.631","0"
"2010","North East","30 - 34","England","Female","Main scheme applicant","All","490","270","0.553","0"
"2011","North East","30 - 34","England","Female","Main scheme applicant","All","540","285","0.533","0"
"2012","North East","30 - 34","England","Female","Main scheme applicant","All","445","250","0.5640000000000001","0"
"2013","North East","30 - 34","England","Female","Main scheme applicant","All","505","310","0.609","0"
"2014","North East","30 - 34","England","Female","Main scheme applicant","All","490","300","0.615","0"
"2015","North East","30 - 34","England","Female","Main scheme applicant","All","525","350","0.669","0"
"2016","North East","30 - 34","England","Female","Main scheme applicant","All","485","290","0.593","0"
"2017","North East","30 - 34","England","Female","Main scheme applicant","All","465","345","0.736","0"
"2018","North East","30 - 34","England","Female","Main scheme applicant","All","410","315","0.769","0"
"2019","North East","30 - 34","England","Female","Main scheme applicant","All","415","310","0.746","0"
"2020","North East","30 - 34","England","Female","Main scheme applicant","All","460","330","0.723","0"
"2021","North East","30 - 34","England","Female","Main scheme applicant","All","560","405","0.721","0"
"2022","North East","30 - 34","England","Female","Main scheme applicant","All","485","320","0.665","0"
"2023","North East","30 - 34","England","Female","Main scheme applicant","All","365","240","0.651","0"
"2006","Yorkshire and The Humber","30 - 34","England","Female","Main scheme applicant","All","525","320","0.613","0"
"2007","Yorkshire and The Humber","30 - 34","England","Female","Main scheme applicant","All","495","325","0.653","0"
"2008","Yorkshire and The Humber","30 - 34","England","Female","Main scheme applicant","All","665","460","0.6880000000000001","0"
"2009","Yorkshire and The Humber","30 - 34","England","Female","Main scheme applicant","All","850","535","0.631","0"
"2010","Yorkshire and The Humber","30 - 34","England","Female","Main scheme applicant","All","950","495","0.521","0"
"2011","Yorkshire and The Humber","30 - 34","England","Female","Main scheme applicant","All","950","525","0.554","0"
"2012","Yorkshire and The Humber","30 - 34","England","Female","Main scheme applicant","All","905","525","0.578","0"
"2013","Yorkshire and The Humber","30 - 34","England","Female","Main scheme applicant","All","915","520","0.5680000000000001","0"
"2014","Yorkshire and The Humber","30 - 34","England","Female","Main scheme applicant","All","895","560","0.627","0"
"2015","Yorkshire and The Humber","30 - 34","England","Female","Main scheme applicant","All","910","530","0.585","0"
"2016","Yorkshire and The Humber","30 - 34","England","Female","Main scheme applicant","All","855","525","0.613","0"
"2017","Yorkshire and The Humber","30 - 34","England","Female","Main scheme applicant","All","740","520","0.706","0"
"2018","Yorkshire and The Humber","30 - 34","England","Female","Main scheme applicant","All","720","495","0.687","0"
"2019","Yorkshire and The Humber","30 - 34","England","Female","Main scheme applicant","All","715","500","0.6950000000000001","0"
"2020","Yorkshire and The Humber","30 - 34","England","Female","Main scheme applicant","All","825","605","0.733","0"
"2021","Yorkshire and The Humber","30 - 34","England","Female","Main scheme applicant","All","905","590","0.652","0"
"2022","Yorkshire and The Humber","30 - 34","England","Female","Main scheme applicant","All","790","510","0.645","0"
"2023","Yorkshire and The Humber","30 - 34","England","Female","Main scheme applicant","All","665","420","0.632","0"
"2006","South East","30 - 34","England","Female","Main scheme applicant","All","720","410","0.5730000000000001","0"
"2007","South East","30 - 34","England","Female","Main scheme applicant","All","680","390","0.5740000000000001","0"
"2008","South East","30 - 34","England","Female","Main scheme applicant","All","840","500","0.595","0"
"2009","South East","30 - 34","England","Female","Main scheme applicant","All","1100","645","0.587","0"
"2010","South East","30 - 34","England","Female","Main scheme applicant","All","1410","745","0.528","0"
"2011","South East","30 - 34","England","Female","Main scheme applicant","All","1405","690","0.49","0"
"2012","South East","30 - 34","England","Female","Main scheme applicant","All","1220","620","0.507","0"
"2013","South East","30 - 34","England","Female","Main scheme applicant","All","1225","660","0.539","0"
"2014","South East","30 - 34","England","Female","Main scheme applicant","All","1275","685","0.535","0"
"2015","South East","30 - 34","England","Female","Main scheme applicant","All","1220","680","0.556","0"
"2016","South East","30 - 34","England","Female","Main scheme applicant","All","1190","645","0.542","0"
"2017","South East","30 - 34","England","Female","Main scheme applicant","All","980","630","0.643","0"
"2018","South East","30 - 34","England","Female","Main scheme applicant","All","850","545","0.642","0"
"2019","South East","30 - 34","England","Female","Main scheme applicant","All","805","520","0.643","0"
"2020","South East","30 - 34","England","Female","Main scheme applicant","All","960","645","0.673","0"
"2021","South East","30 - 34","England","Female","Main scheme applicant","All","1105","680","0.617","0"
"2022","South East","30 - 34","England","Female","Main scheme applicant","All","980","600","0.61","0"
"2023","South East","30 - 34","England","Female","Main scheme applicant","All","715","410","0.5750000000000001","0"
"2006","East Midlands","30 - 34","England","Female","Main scheme applicant","All","350","225","0.64","0"
"2007","East Midlands","30 - 34","England","Female","Main scheme applicant","All","335","215","0.645","0"
"2008","East Midlands","30 - 34","England","Female","Main scheme applicant","All","595","375","0.632","0"
"2009","East Midlands","30 - 34","England","Female","Main scheme applicant","All","655","405","0.613","0"
"2010","East Midlands","30 - 34","England","Female","Main scheme applicant","All","815","435","0.533","0"
"2011","East Midlands","30 - 34","England","Female","Main scheme applicant","All","810","385","0.47600000000000003","0"
