"Year","Refugee and asylum seeker status","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","No","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","80","60","0.744","20"
"2023","The UK government has granted me refugee status or  humanitarian protection in the UK","35 and over","England","Female","Not main scheme applicant","Not main scheme application","40","25","0.667","15"
"2023","I have limited or discretionary leave to remain in the UK","35 and over","England","Female","Not main scheme applicant","Not main scheme application","40","25","0.625","35"
"2023","I have limited or discretionary leave to remain in the UK","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","35 and over","England","Female","Not main scheme applicant","Not main scheme application","8100","7655","0.9450000000000001","20"
"2023","Not declared","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","275","265","0.964","0"
"2023","Not declared","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","135","130","0.97","0"
"2023","No","17 and under","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","No","17 and under","England","Male","Not main scheme applicant","Not main scheme application","20","15","0.8","5"
"2023","No","17 and under","Scotland","Male","Not main scheme applicant","Not main scheme application","30","30","0.9380000000000001","0"
"2023","Not declared","17 and under","England","Male","Not main scheme applicant","Not main scheme application","70","65","0.9570000000000001","0"
"2023","Not declared","17 and under","Scotland","Male","Not main scheme applicant","Not main scheme application","95","95","0.989","0"
"2023","Not declared","17 and under","Wales","Male","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","No","18","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","10","10","0.917","0"
"2023","No","18","England","Male","Not main scheme applicant","Not main scheme application","1060","950","0.899","140"
"2023","No","18","Scotland","Male","Not main scheme applicant","Not main scheme application","40","35","0.902","15"
"2023","No","18","Wales","Male","Not main scheme applicant","Not main scheme application","60","55","0.9","10"
"2023","The UK government has granted me refugee status or  humanitarian protection in the UK","18","England","Male","Not main scheme applicant","Not main scheme application","15","10","0.786","5"
"2023","I have limited or discretionary leave to remain in the UK","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","Not declared","18","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","18","England","Male","Not main scheme applicant","Not main scheme application","1190","1145","0.961","5"
"2023","Not declared","18","Scotland","Male","Not main scheme applicant","Not main scheme application","190","190","0.99","0"
"2023","Not declared","18","Wales","Male","Not main scheme applicant","Not main scheme application","55","55","0.981","0"
"2023","No","19","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","50","50","0.923","5"
"2023","No","19","England","Male","Not main scheme applicant","Not main scheme application","2265","2050","0.905","215"
"2023","No","19","Scotland","Male","Not main scheme applicant","Not main scheme application","75","70","0.883","25"
"2023","No","19","Wales","Male","Not main scheme applicant","Not main scheme application","90","85","0.902","5"
"2023","The UK government has granted me refugee status or  humanitarian protection in the UK","19","England","Male","Not main scheme applicant","Not main scheme application","30","25","0.9","5"
"2023","I have limited or discretionary leave to remain in the UK","19","England","Male","Not main scheme applicant","Not main scheme application","15","10","0.769","5"
"2023","Not declared","19","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","Not declared","19","England","Male","Not main scheme applicant","Not main scheme application","1850","1765","0.9540000000000001","10"
"2023","Not declared","19","Scotland","Male","Not main scheme applicant","Not main scheme application","145","145","0.986","0"
"2023","Not declared","19","Wales","Male","Not main scheme applicant","Not main scheme application","70","65","0.93","0"
"2023","No","20","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","45","45","0.935","5"
"2023","No","20","England","Male","Not main scheme applicant","Not main scheme application","1445","1280","0.886","185"
"2023","No","20","Scotland","Male","Not main scheme applicant","Not main scheme application","70","65","0.915","20"
"2023","No","20","Wales","Male","Not main scheme applicant","Not main scheme application","60","55","0.915","10"
"2023","The UK government has granted me refugee status or  humanitarian protection in the UK","20","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2023","I have limited or discretionary leave to remain in the UK","20","England","Male","Not main scheme applicant","Not main scheme application","15","15","0.867","0"
"2023","Not declared","20","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","20","England","Male","Not main scheme applicant","Not main scheme application","1505","1420","0.9430000000000001","10"
"2023","Not declared","20","Scotland","Male","Not main scheme applicant","Not main scheme application","100","95","0.96","0"
"2023","Not declared","20","Wales","Male","Not main scheme applicant","Not main scheme application","70","65","0.985","0"
"2023","No","21 - 24","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","45","35","0.86","5"
"2023","No","21 - 24","England","Male","Not main scheme applicant","Not main scheme application","2010","1730","0.862","290"
"2023","No","21 - 24","Scotland","Male","Not main scheme applicant","Not main scheme application","130","115","0.864","30"
"2023","No","21 - 24","Wales","Male","Not main scheme applicant","Not main scheme application","115","100","0.886","20"
"2023","The UK government has granted me refugee status or  humanitarian protection in the UK","21 - 24","England","Male","Not main scheme applicant","Not main scheme application","45","40","0.864","5"
"2023","The UK government has granted me refugee status or  humanitarian protection in the UK","21 - 24","Wales","Male","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","I have limited or discretionary leave to remain in the UK","21 - 24","England","Male","Not main scheme applicant","Not main scheme application","25","15","0.625","15"
"2023","Not declared","21 - 24","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","21 - 24","England","Male","Not main scheme applicant","Not main scheme application","4215","3950","0.9380000000000001","15"
"2023","Not declared","21 - 24","Scotland","Male","Not main scheme applicant","Not main scheme application","180","170","0.961","0"
"2023","Not declared","21 - 24","Wales","Male","Not main scheme applicant","Not main scheme application","90","85","0.977","0"
"2023","No","25 - 29","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","15","15","0.867","5"
"2023","No","25 - 29","England","Male","Not main scheme applicant","Not main scheme application","545","455","0.835","140"
"2023","No","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","60","60","0.9510000000000001","25"
"2023","No","25 - 29","Wales","Male","Not main scheme applicant","Not main scheme application","45","35","0.791","10"
"2023","The UK government has granted me refugee status or  humanitarian protection in the UK","25 - 29","England","Male","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","The UK government has granted me refugee status or  humanitarian protection in the UK","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","I have limited or discretionary leave to remain in the UK","25 - 29","England","Male","Not main scheme applicant","Not main scheme application","15","10"," ","0"
"2023","Not declared","25 - 29","England","Male","Not main scheme applicant","Not main scheme application","3645","3435","0.9420000000000001","5"
"2023","Not declared","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","90","90","0.9570000000000001","0"
"2023","Not declared","25 - 29","Wales","Male","Not main scheme applicant","Not main scheme application","45","45","0.9570000000000001","0"
"2023","No","30 - 34","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","No","30 - 34","England","Male","Not main scheme applicant","Not main scheme application","320","245","0.77","80"
"2023","No","30 - 34","Scotland","Male","Not main scheme applicant","Not main scheme application","30","25","0.719","10"
"2023","No","30 - 34","Wales","Male","Not main scheme applicant","Not main scheme application","15","15","0.8130000000000001","5"
"2023","The UK government has granted me refugee status or  humanitarian protection in the UK","30 - 34","England","Male","Not main scheme applicant","Not main scheme application","10","5"," ","5"
"2023","I have limited or discretionary leave to remain in the UK","30 - 34","England","Male","Not main scheme applicant","Not main scheme application","10","5"," ","5"
"2023","Not declared","30 - 34","England","Male","Not main scheme applicant","Not main scheme application","3305","3110","0.9410000000000001","0"
"2023","Not declared","30 - 34","Scotland","Male","Not main scheme applicant","Not main scheme application","65","60","0.937","0"
"2023","Not declared","30 - 34","Wales","Male","Not main scheme applicant","Not main scheme application","30","30","1","0"
"2023","No","35 and over","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","No","35 and over","England","Male","Not main scheme applicant","Not main scheme application","625","475","0.761","220"
"2023","No","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","70","55","0.783","30"
"2023","No","35 and over","Wales","Male","Not main scheme applicant","Not main scheme application","35","30","0.838","10"
"2023","The UK government has granted me refugee status or  humanitarian protection in the UK","35 and over","England","Male","Not main scheme applicant","Not main scheme application","30","20","0.724","15"
"2023","The UK government has granted me refugee status or  humanitarian protection in the UK","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","The UK government has granted me refugee status or  humanitarian protection in the UK","35 and over","Wales","Male","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2023","I have limited or discretionary leave to remain in the UK","35 and over","England","Male","Not main scheme applicant","Not main scheme application","25","10","0.458","15"
"2023","I have limited or discretionary leave to remain in the UK","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2023","Not declared","35 and over","England","Male","Not main scheme applicant","Not main scheme application","7495","7065","0.9420000000000001","15"
"2023","Not declared","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","90","90","0.978","0"
"2023","Not declared","35 and over","Wales","Male","Not main scheme applicant","Not main scheme application","50","50","0.962","0"
"2023","No","17 and under","England","Female","Main scheme applicant","Not main scheme application","60","40","0.712","0"
"2023","No","17 and under","Scotland","Female","Main scheme applicant","Not main scheme application","40","30","0.756","0"
"2023","The UK government has granted me refugee status or  humanitarian protection in the UK","17 and under","England","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","I have limited or discretionary leave to remain in the UK","17 and under","England","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","17 and under","England","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","No","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","690","565","0.8200000000000001","0"
"2023","No","18","England","Female","Main scheme applicant","Not main scheme application","21860","20115","0.92","0"
