"Year","POLAR4 Quintile","Age group","Domicile","Gender","Registered for Clearing Plus","Placed at provider of interest through Clearing Plus","Placed on course of interest through Clearing Plus"
"2022","All","19","Scotland","Male","25","15","10"
"2023","All","19","Scotland","Male","55","25","15"
"2020","All","19","Wales","Male","40","20","15"
"2021","All","19","Wales","Male","30","20","15"
"2022","All","19","Wales","Male","20","10","10"
"2023","All","19","Wales","Male","35","20","15"
"2020","All","20","Northern Ireland","Male","20","10","10"
"2021","All","20","Northern Ireland","Male","5","0","0"
"2023","All","20","Northern Ireland","Male","5","0","0"
"2020","All","20","England","Male","355","205","155"
"2021","All","20","England","Male","250","120","80"
"2022","All","20","England","Male","210","120","100"
"2023","All","20","England","Male","330","155","110"
"2020","All","20","Scotland","Male","10","0","0"
"2021","All","20","Scotland","Male","20","5","5"
"2022","All","20","Scotland","Male","15","5","5"
"2023","All","20","Scotland","Male","15","10","5"
"2020","All","20","Wales","Male","15","5","5"
"2021","All","20","Wales","Male","10","5","5"
"2022","All","20","Wales","Male","5","5","0"
"2023","All","20","Wales","Male","10","5","5"
"2020","All","21 - 24","Northern Ireland","Male","25","15","15"
"2021","All","21 - 24","Northern Ireland","Male","5","0","0"
"2022","All","21 - 24","Northern Ireland","Male","5","0","0"
"2020","All","21 - 24","England","Male","465","250","170"
"2021","All","21 - 24","England","Male","315","125","85"
"2022","All","21 - 24","England","Male","265","115","85"
"2023","All","21 - 24","England","Male","445","200","130"
"2020","All","21 - 24","Scotland","Male","45","20","15"
"2021","All","21 - 24","Scotland","Male","40","10","5"
"2022","All","21 - 24","Scotland","Male","15","10","10"
"2023","All","21 - 24","Scotland","Male","30","15","10"
"2020","All","21 - 24","Wales","Male","20","15","10"
"2021","All","21 - 24","Wales","Male","20","10","10"
"2022","All","21 - 24","Wales","Male","15","10","10"
"2023","All","21 - 24","Wales","Male","20","15","10"
"2020","All","25 - 29","Northern Ireland","Male","5","0","0"
"2021","All","25 - 29","Northern Ireland","Male","5","0","0"
"2023","All","25 - 29","Northern Ireland","Male","5","0","0"
"2020","All","25 - 29","England","Male","200","80","55"
"2021","All","25 - 29","England","Male","125","50","35"
"2022","All","25 - 29","England","Male","95","35","25"
"2023","All","25 - 29","England","Male","155","55","40"
"2020","All","25 - 29","Scotland","Male","30","10","5"
"2021","All","25 - 29","Scotland","Male","15","5","0"
"2022","All","25 - 29","Scotland","Male","15","10","10"
"2023","All","25 - 29","Scotland","Male","15","5","0"
"2020","All","25 - 29","Wales","Male","15","5","5"
"2021","All","25 - 29","Wales","Male","10","5","5"
"2022","All","25 - 29","Wales","Male","10","5","5"
"2023","All","25 - 29","Wales","Male","10","10","5"
"2022","All","30 - 34","Northern Ireland","Male","5","0","0"
"2020","All","30 - 34","England","Male","135","60","40"
"2021","All","30 - 34","England","Male","75","15","15"
"2022","All","30 - 34","England","Male","60","20","15"
"2023","All","30 - 34","England","Male","90","30","20"
"2020","All","30 - 34","Scotland","Male","20","0","0"
"2021","All","30 - 34","Scotland","Male","15","5","5"
"2022","All","30 - 34","Scotland","Male","10","0","0"
"2023","All","30 - 34","Scotland","Male","10","0","0"
"2020","All","30 - 34","Wales","Male","5","0","0"
"2022","All","30 - 34","Wales","Male","5","0","0"
"2023","All","30 - 34","Wales","Male","10","5","5"
"2020","All","35 and over","Northern Ireland","Male","5","5","5"
"2022","All","35 and over","Northern Ireland","Male","5","0","0"
"2020","All","35 and over","England","Male","290","105","70"
"2021","All","35 and over","England","Male","190","45","25"
"2022","All","35 and over","England","Male","235","50","35"
"2023","All","35 and over","England","Male","260","65","40"
"2020","All","35 and over","Scotland","Male","20","10","10"
"2021","All","35 and over","Scotland","Male","15","5","5"
"2022","All","35 and over","Scotland","Male","10","0","0"
"2023","All","35 and over","Scotland","Male","20","10","10"
"2020","All","35 and over","Wales","Male","10","5","5"
"2021","All","35 and over","Wales","Male","10","5","5"
"2022","All","35 and over","Wales","Male","10","5","5"
"2023","All","35 and over","Wales","Male","5","0","0"
"2020","Unknown","All","England","Female","5","0","0"
"2021","Unknown","All","England","Female","5","5","5"
"2022","Unknown","All","England","Female","5","0","0"
"2023","Unknown","All","England","Female","5","5","0"
"2022","Unknown","All","Scotland","Female","5","0","0"
"2020","Quintile 1","All","Northern Ireland","Female","35","15","10"
"2021","Quintile 1","All","Northern Ireland","Female","30","15","10"
"2022","Quintile 1","All","Northern Ireland","Female","20","10","5"
"2023","Quintile 1","All","Northern Ireland","Female","35","10","5"
"2020","Quintile 1","All","England","Female","1105","515","390"
"2021","Quintile 1","All","England","Female","875","375","285"
"2022","Quintile 1","All","England","Female","555","230","165"
"2023","Quintile 1","All","England","Female","1175","500","365"
"2020","Quintile 1","All","Scotland","Female","65","20","15"
"2021","Quintile 1","All","Scotland","Female","30","10","10"
"2022","Quintile 1","All","Scotland","Female","25","10","5"
"2023","Quintile 1","All","Scotland","Female","65","20","15"
"2020","Quintile 1","All","Wales","Female","80","40","25"
"2021","Quintile 1","All","Wales","Female","70","30","20"
"2022","Quintile 1","All","Wales","Female","45","20","15"
"2023","Quintile 1","All","Wales","Female","75","30","20"
"2020","Quintile 2","All","Northern Ireland","Female","35","15","10"
"2021","Quintile 2","All","Northern Ireland","Female","20","10","10"
"2022","Quintile 2","All","Northern Ireland","Female","5","5","5"
"2023","Quintile 2","All","Northern Ireland","Female","15","5","0"
"2020","Quintile 2","All","England","Female","1325","630","460"
"2021","Quintile 2","All","England","Female","950","410","305"
"2022","Quintile 2","All","England","Female","735","310","225"
"2023","Quintile 2","All","England","Female","1350","630","460"
"2020","Quintile 2","All","Scotland","Female","95","25","20"
"2021","Quintile 2","All","Scotland","Female","70","25","20"
"2022","Quintile 2","All","Scotland","Female","45","15","10"
"2023","Quintile 2","All","Scotland","Female","100","35","30"
"2020","Quintile 2","All","Wales","Female","100","45","35"
"2021","Quintile 2","All","Wales","Female","80","45","35"
"2022","Quintile 2","All","Wales","Female","45","25","20"
"2023","Quintile 2","All","Wales","Female","80","45","30"
"2020","Quintile 3","All","Northern Ireland","Female","45","15","15"
"2021","Quintile 3","All","Northern Ireland","Female","40","15","10"
"2022","Quintile 3","All","Northern Ireland","Female","15","10","5"
"2023","Quintile 3","All","Northern Ireland","Female","20","5","5"
"2020","Quintile 3","All","England","Female","1660","755","570"
"2021","Quintile 3","All","England","Female","1305","640","490"
"2022","Quintile 3","All","England","Female","850","380","285"
"2023","Quintile 3","All","England","Female","1620","725","500"
"2020","Quintile 3","All","Scotland","Female","120","45","30"
"2021","Quintile 3","All","Scotland","Female","85","30","20"
"2022","Quintile 3","All","Scotland","Female","60","20","20"
"2023","Quintile 3","All","Scotland","Female","125","40","30"
"2020","Quintile 3","All","Wales","Female","65","30","20"
"2021","Quintile 3","All","Wales","Female","60","30","25"
"2022","Quintile 3","All","Wales","Female","45","30","20"
"2023","Quintile 3","All","Wales","Female","80","40","30"
"2020","Quintile 4","All","Northern Ireland","Female","55","20","15"
"2021","Quintile 4","All","Northern Ireland","Female","50","25","20"
"2022","Quintile 4","All","Northern Ireland","Female","15","10","10"
"2023","Quintile 4","All","Northern Ireland","Female","30","5","5"
"2020","Quintile 4","All","England","Female","2095","905","665"
"2021","Quintile 4","All","England","Female","1505","700","530"
"2022","Quintile 4","All","England","Female","1040","440","335"
"2023","Quintile 4","All","England","Female","1935","830","585"
"2020","Quintile 4","All","Scotland","Female","175","65","45"
"2021","Quintile 4","All","Scotland","Female","95","35","30"
"2022","Quintile 4","All","Scotland","Female","55","20","15"
"2023","Quintile 4","All","Scotland","Female","135","55","40"
"2020","Quintile 4","All","Wales","Female","55","35","25"
"2021","Quintile 4","All","Wales","Female","40","25","15"
"2022","Quintile 4","All","Wales","Female","30","20","15"
"2023","Quintile 4","All","Wales","Female","65","35","25"
"2020","Quintile 5","All","Northern Ireland","Female","100","50","45"
"2021","Quintile 5","All","Northern Ireland","Female","45","20","20"
"2022","Quintile 5","All","Northern Ireland","Female","35","25","20"
"2023","Quintile 5","All","Northern Ireland","Female","30","5","5"
"2020","Quintile 5","All","England","Female","2365","975","685"
"2021","Quintile 5","All","England","Female","1600","765","580"
"2022","Quintile 5","All","England","Female","1090","510","385"
"2023","Quintile 5","All","England","Female","1950","860","625"
"2020","Quintile 5","All","Scotland","Female","185","70","50"
"2021","Quintile 5","All","Scotland","Female","110","45","35"
"2022","Quintile 5","All","Scotland","Female","85","30","20"
"2023","Quintile 5","All","Scotland","Female","170","70","65"
"2020","Quintile 5","All","Wales","Female","40","20","15"
"2021","Quintile 5","All","Wales","Female","45","20","15"
"2022","Quintile 5","All","Wales","Female","20","15","5"
"2023","Quintile 5","All","Wales","Female","50","25","20"
"2020","Unknown","All","England","Male","5","0","0"
"2021","Unknown","All","England","Male","5","5","0"
"2023","Unknown","All","England","Male","5","0","0"
"2020","Quintile 1","All","Northern Ireland","Male","20","10","5"
"2021","Quintile 1","All","Northern Ireland","Male","15","5","5"
"2022","Quintile 1","All","Northern Ireland","Male","15","10","5"
"2023","Quintile 1","All","Northern Ireland","Male","5","0","0"
"2020","Quintile 1","All","England","Male","650","300","220"
"2021","Quintile 1","All","England","Male","580","295","210"
"2022","Quintile 1","All","England","Male","480","245","170"
"2023","Quintile 1","All","England","Male","800","345","235"
"2020","Quintile 1","All","Scotland","Male","25","10","5"
"2021","Quintile 1","All","Scotland","Male","20","10","10"
"2022","Quintile 1","All","Scotland","Male","10","5","5"
"2023","Quintile 1","All","Scotland","Male","35","5","5"
"2020","Quintile 1","All","Wales","Male","35","20","15"
"2021","Quintile 1","All","Wales","Male","35","15","10"
"2022","Quintile 1","All","Wales","Male","25","15","10"
"2023","Quintile 1","All","Wales","Male","45","25","15"
"2020","Quintile 2","All","Northern Ireland","Male","15","10","10"
"2021","Quintile 2","All","Northern Ireland","Male","10","5","0"
"2022","Quintile 2","All","Northern Ireland","Male","10","5","5"
"2023","Quintile 2","All","Northern Ireland","Male","5","0","0"
"2020","Quintile 2","All","England","Male","965","470","325"
"2021","Quintile 2","All","England","Male","675","370","265"
"2022","Quintile 2","All","England","Male","575","295","225"
"2023","Quintile 2","All","England","Male","965","445","300"
"2020","Quintile 2","All","Scotland","Male","45","15","10"
"2021","Quintile 2","All","Scotland","Male","40","10","5"
"2022","Quintile 2","All","Scotland","Male","30","15","10"
"2023","Quintile 2","All","Scotland","Male","50","20","15"
"2020","Quintile 2","All","Wales","Male","45","20","15"
"2021","Quintile 2","All","Wales","Male","35","20","15"
"2022","Quintile 2","All","Wales","Male","45","30","25"
"2023","Quintile 2","All","Wales","Male","45","30","20"
"2020","Quintile 3","All","Northern Ireland","Male","40","20","15"
"2021","Quintile 3","All","Northern Ireland","Male","20","10","5"
"2022","Quintile 3","All","Northern Ireland","Male","15","10","10"
"2023","Quintile 3","All","Northern Ireland","Male","10","5","0"
"2020","Quintile 3","All","England","Male","1260","575","400"
"2021","Quintile 3","All","England","Male","845","430","295"
"2022","Quintile 3","All","England","Male","795","380","285"
"2023","Quintile 3","All","England","Male","1275","595","405"
"2020","Quintile 3","All","Scotland","Male","70","35","30"
"2021","Quintile 3","All","Scotland","Male","45","15","10"
"2022","Quintile 3","All","Scotland","Male","50","20","20"
"2023","Quintile 3","All","Scotland","Male","60","25","15"
"2020","Quintile 3","All","Wales","Male","50","30","20"
"2021","Quintile 3","All","Wales","Male","40","20","15"
"2022","Quintile 3","All","Wales","Male","25","15","10"
"2023","Quintile 3","All","Wales","Male","35","30","25"
"2020","Quintile 4","All","Northern Ireland","Male","45","20","15"
"2021","Quintile 4","All","Northern Ireland","Male","20","10","5"
"2022","Quintile 4","All","Northern Ireland","Male","20","10","10"
"2023","Quintile 4","All","Northern Ireland","Male","15","5","5"
"2020","Quintile 4","All","England","Male","1645","735","495"
"2021","Quintile 4","All","England","Male","1075","540","395"
"2022","Quintile 4","All","England","Male","980","520","390"
"2023","Quintile 4","All","England","Male","1600","755","515"
"2020","Quintile 4","All","Scotland","Male","65","25","20"
"2021","Quintile 4","All","Scotland","Male","55","30","20"
"2022","Quintile 4","All","Scotland","Male","40","20","15"
"2023","Quintile 4","All","Scotland","Male","65","35","25"
"2020","Quintile 4","All","Wales","Male","35","20","15"
"2021","Quintile 4","All","Wales","Male","25","15","10"
"2022","Quintile 4","All","Wales","Male","20","15","10"
"2023","Quintile 4","All","Wales","Male","40","25","15"
"2020","Quintile 5","All","Northern Ireland","Male","70","35","25"
"2021","Quintile 5","All","Northern Ireland","Male","45","30","20"
"2022","Quintile 5","All","Northern Ireland","Male","40","25","15"
"2023","Quintile 5","All","Northern Ireland","Male","15","5","5"
"2020","Quintile 5","All","England","Male","2465","1015","675"
"2021","Quintile 5","All","England","Male","1345","685","475"
"2022","Quintile 5","All","England","Male","1210","590","445"
"2023","Quintile 5","All","England","Male","1860","880","580"
"2020","Quintile 5","All","Scotland","Male","115","55","45"
"2021","Quintile 5","All","Scotland","Male","90","35","30"
"2022","Quintile 5","All","Scotland","Male","65","35","25"
"2023","Quintile 5","All","Scotland","Male","125","60","50"
"2020","Quintile 5","All","Wales","Male","45","20","15"
"2021","Quintile 5","All","Wales","Male","35","25","20"
"2022","Quintile 5","All","Wales","Male","20","15","10"
"2023","Quintile 5","All","Wales","Male","35","25","20"
"2020","All","All","Northern Ireland","Female","270","120","95"
"2021","All","All","Northern Ireland","Female","185","85","70"
"2022","All","All","Northern Ireland","Female","95","60","45"
"2023","All","All","Northern Ireland","Female","125","30","20"
"2020","All","All","England","Female","8560","3780","2770"
"2021","All","All","England","Female","6245","2895","2195"
"2022","All","All","England","Female","4275","1870","1400"
"2023","All","All","England","Female","8035","3545","2530"
"2020","All","All","Scotland","Female","645","225","160"
"2021","All","All","Scotland","Female","390","145","115"
"2022","All","All","Scotland","Female","270","95","75"
"2023","All","All","Scotland","Female","595","220","180"
"2020","All","All","Wales","Female","340","175","125"
"2021","All","All","Wales","Female","295","150","110"
"2022","All","All","Wales","Female","185","105","80"
"2023","All","All","Wales","Female","355","180","125"
"2020","All","All","Northern Ireland","Male","190","90","75"
"2021","All","All","Northern Ireland","Male","110","60","40"
"2022","All","All","Northern Ireland","Male","100","60","50"
"2023","All","All","Northern Ireland","Male","50","15","10"
"2020","All","All","England","Male","6990","3095","2120"
"2021","All","All","England","Male","4525","2320","1650"
"2022","All","All","England","Male","4045","2030","1510"
"2023","All","All","England","Male","6505","3020","2040"
"2020","All","All","Scotland","Male","325","140","115"
"2021","All","All","Scotland","Male","250","100","75"
"2022","All","All","Scotland","Male","195","95","75"
"2023","All","All","Scotland","Male","335","145","115"
"2020","All","All","Wales","Male","210","115","80"
"2021","All","All","Wales","Male","165","95","70"
"2022","All","All","Wales","Male","140","85","65"
"2023","All","All","Wales","Male","200","130","95"
"2020","Quintile 1","17 and under","All","Female","5","0","0"
"2022","Quintile 1","17 and under","All","Female","5","0","0"
"2023","Quintile 1","17 and under","All","Female","5","0","0"
"2020","Quintile 2","17 and under","All","Female","5","0","0"
"2021","Quintile 2","17 and under","All","Female","5","0","0"
"2022","Quintile 2","17 and under","All","Female","5","0","0"
"2023","Quintile 2","17 and under","All","Female","15","5","5"
"2020","Quintile 3","17 and under","All","Female","5","5","0"
"2021","Quintile 3","17 and under","All","Female","10","5","5"
"2022","Quintile 3","17 and under","All","Female","5","0","0"
"2023","Quintile 3","17 and under","All","Female","10","5","0"
"2020","Quintile 4","17 and under","All","Female","20","10","10"
"2021","Quintile 4","17 and under","All","Female","5","0","0"
"2022","Quintile 4","17 and under","All","Female","5","0","0"
"2023","Quintile 4","17 and under","All","Female","5","0","0"
"2020","Quintile 5","17 and under","All","Female","15","5","5"
"2021","Quintile 5","17 and under","All","Female","5","5","5"
"2022","Quintile 5","17 and under","All","Female","5","0","0"
"2023","Quintile 5","17 and under","All","Female","10","5","0"
"2021","Unknown","18","All","Female","5","5","0"
"2022","Unknown","18","All","Female","5","0","0"
"2023","Unknown","18","All","Female","5","5","0"
"2020","Quintile 1","18","All","Female","540","275","200"
"2021","Quintile 1","18","All","Female","465","250","190"
"2022","Quintile 1","18","All","Female","320","160","110"
"2023","Quintile 1","18","All","Female","725","325","240"
"2020","Quintile 2","18","All","Female","765","360","260"
"2021","Quintile 2","18","All","Female","595","285","215"
"2022","Quintile 2","18","All","Female","430","215","160"
"2023","Quintile 2","18","All","Female","870","445","320"
"2020","Quintile 3","18","All","Female","1015","475","355"
"2021","Quintile 3","18","All","Female","850","460","360"
"2022","Quintile 3","18","All","Female","570","285","230"
"2023","Quintile 3","18","All","Female","1070","510","360"
"2020","Quintile 4","18","All","Female","1325","590","435"
"2021","Quintile 4","18","All","Female","975","515","400"
"2022","Quintile 4","18","All","Female","665","330","260"
"2023","Quintile 4","18","All","Female","1350","615","435"
"2020","Quintile 5","18","All","Female","1760","735","510"
"2021","Quintile 5","18","All","Female","1155","610","475"
"2022","Quintile 5","18","All","Female","790","405","305"
"2023","Quintile 5","18","All","Female","1440","650","480"
"2020","Quintile 1","19","All","Female","170","95","75"
"2021","Quintile 1","19","All","Female","115","50","40"
"2022","Quintile 1","19","All","Female","80","35","30"
"2023","Quintile 1","19","All","Female","180","70","50"
"2020","Quintile 2","19","All","Female","205","105","75"
"2021","Quintile 2","19","All","Female","140","75","55"
"2022","Quintile 2","19","All","Female","80","30","25"
"2023","Quintile 2","19","All","Female","205","100","75"
"2020","Quintile 3","19","All","Female","265","130","85"
"2021","Quintile 3","19","All","Female","185","90","65"
"2022","Quintile 3","19","All","Female","115","55","40"
"2023","Quintile 3","19","All","Female","290","140","100"
"2020","Quintile 4","19","All","Female","335","165","120"
"2021","Quintile 4","19","All","Female","245","130","100"
"2022","Quintile 4","19","All","Female","130","70","55"
"2023","Quintile 4","19","All","Female","300","140","110"
"2020","Quintile 5","19","All","Female","385","170","130"
"2021","Quintile 5","19","All","Female","205","105","70"
"2022","Quintile 5","19","All","Female","145","75","55"
"2023","Quintile 5","19","All","Female","300","140","100"
"2020","Quintile 1","20","All","Female","85","45","40"
"2021","Quintile 1","20","All","Female","75","30","25"
"2022","Quintile 1","20","All","Female","25","10","10"
"2023","Quintile 1","20","All","Female","85","40","25"
"2020","Quintile 2","20","All","Female","85","40","35"
"2021","Quintile 2","20","All","Female","75","25","20"
"2022","Quintile 2","20","All","Female","50","25","15"
"2023","Quintile 2","20","All","Female","85","30","25"
"2020","Quintile 3","20","All","Female","115","60","50"
"2021","Quintile 3","20","All","Female","85","30","25"
"2022","Quintile 3","20","All","Female","40","20","10"
"2023","Quintile 3","20","All","Female","95","40","25"
"2020","Quintile 4","20","All","Female","140","70","55"
"2021","Quintile 4","20","All","Female","80","30","15"
"2022","Quintile 4","20","All","Female","45","15","10"
"2023","Quintile 4","20","All","Female","105","50","35"
"2020","Quintile 5","20","All","Female","110","50","40"
"2021","Quintile 5","20","All","Female","85","35","25"
"2022","Quintile 5","20","All","Female","55","20","15"
"2023","Quintile 5","20","All","Female","95","45","35"
"2020","Quintile 1","21 - 24","All","Female","145","60","45"
"2021","Quintile 1","21 - 24","All","Female","110","35","25"
"2022","Quintile 1","21 - 24","All","Female","50","20","10"
"2023","Quintile 1","21 - 24","All","Female","115","45","25"
"2020","Quintile 2","21 - 24","All","Female","145","60","45"
"2021","Quintile 2","21 - 24","All","Female","100","40","30"
"2022","Quintile 2","21 - 24","All","Female","65","25","20"
"2023","Quintile 2","21 - 24","All","Female","135","60","45"
"2020","Quintile 3","21 - 24","All","Female","160","55","40"
"2021","Quintile 3","21 - 24","All","Female","110","50","40"
"2022","Quintile 3","21 - 24","All","Female","70","30","20"
"2023","Quintile 3","21 - 24","All","Female","140","45","30"
"2020","Quintile 4","21 - 24","All","Female","205","85","60"
"2021","Quintile 4","21 - 24","All","Female","150","45","40"
"2022","Quintile 4","21 - 24","All","Female","80","25","15"
"2023","Quintile 4","21 - 24","All","Female","125","40","30"
"2020","Quintile 5","21 - 24","All","Female","145","60","40"
"2021","Quintile 5","21 - 24","All","Female","145","45","35"
"2022","Quintile 5","21 - 24","All","Female","65","25","20"
"2023","Quintile 5","21 - 24","All","Female","155","60","40"
"2020","Quintile 1","25 - 29","All","Female","95","40","30"
"2021","Quintile 1","25 - 29","All","Female","60","20","15"
"2022","Quintile 1","25 - 29","All","Female","45","15","10"
"2023","Quintile 1","25 - 29","All","Female","75","25","15"
"2020","Quintile 2","25 - 29","All","Female","105","40","25"
"2021","Quintile 2","25 - 29","All","Female","70","25","20"
"2022","Quintile 2","25 - 29","All","Female","60","15","15"
"2023","Quintile 2","25 - 29","All","Female","60","15","10"
"2020","Quintile 3","25 - 29","All","Female","105","40","25"
"2021","Quintile 3","25 - 29","All","Female","55","15","10"
"2022","Quintile 3","25 - 29","All","Female","35","15","10"
"2023","Quintile 3","25 - 29","All","Female","75","20","10"
"2020","Quintile 4","25 - 29","All","Female","110","30","25"
"2021","Quintile 4","25 - 29","All","Female","60","15","10"
"2022","Quintile 4","25 - 29","All","Female","50","15","15"
"2023","Quintile 4","25 - 29","All","Female","75","20","15"
"2020","Quintile 5","25 - 29","All","Female","85","35","25"
"2021","Quintile 5","25 - 29","All","Female","60","10","10"
"2022","Quintile 5","25 - 29","All","Female","40","10","5"
"2023","Quintile 5","25 - 29","All","Female","70","20","15"
"2020","Quintile 1","30 - 34","All","Female","80","25","20"
"2021","Quintile 1","30 - 34","All","Female","50","15","10"
"2022","Quintile 1","30 - 34","All","Female","40","10","5"
"2023","Quintile 1","30 - 34","All","Female","65","25","20"
"2020","Quintile 2","30 - 34","All","Female","80","30","25"
"2021","Quintile 2","30 - 34","All","Female","40","15","10"
"2022","Quintile 2","30 - 34","All","Female","40","10","10"
"2023","Quintile 2","30 - 34","All","Female","60","15","10"
"2020","Quintile 3","30 - 34","All","Female","75","25","20"
"2021","Quintile 3","30 - 34","All","Female","55","20","15"
"2022","Quintile 3","30 - 34","All","Female","40","10","5"
"2023","Quintile 3","30 - 34","All","Female","50","15","5"
"2020","Quintile 4","30 - 34","All","Female","75","25","20"
"2021","Quintile 4","30 - 34","All","Female","45","10","5"
"2022","Quintile 4","30 - 34","All","Female","40","10","5"
"2023","Quintile 4","30 - 34","All","Female","50","15","5"
"2020","Quintile 5","30 - 34","All","Female","55","15","10"
"2021","Quintile 5","30 - 34","All","Female","45","15","15"
"2022","Quintile 5","30 - 34","All","Female","35","15","10"
"2023","Quintile 5","30 - 34","All","Female","35","10","10"
"2020","Quintile 1","35 and over","All","Female","160","50","40"
"2021","Quintile 1","35 and over","All","Female","130","30","20"
"2022","Quintile 1","35 and over","All","Female","85","20","15"
"2023","Quintile 1","35 and over","All","Female","105","35","30"
"2020","Quintile 2","35 and over","All","Female","165","80","55"
"2021","Quintile 2","35 and over","All","Female","95","25","20"
"2022","Quintile 2","35 and over","All","Female","100","25","15"
"2023","Quintile 2","35 and over","All","Female","125","35","25"
"2020","Quintile 3","35 and over","All","Female","160","60","50"
"2021","Quintile 3","35 and over","All","Female","135","40","25"
"2022","Quintile 3","35 and over","All","Female","100","25","15"
"2023","Quintile 3","35 and over","All","Female","120","40","25"
"2020","Quintile 4","35 and over","All","Female","170","55","30"
"2021","Quintile 4","35 and over","All","Female","130","30","25"
"2022","Quintile 4","35 and over","All","Female","125","20","15"
"2023","Quintile 4","35 and over","All","Female","150","40","25"
"2020","Quintile 5","35 and over","All","Female","140","45","40"
"2021","Quintile 5","35 and over","All","Female","100","30","20"
"2022","Quintile 5","35 and over","All","Female","100","30","20"
"2023","Quintile 5","35 and over","All","Female","95","35","30"
"2022","Quintile 1","17 and under","All","Male","5","0","0"
"2020","Quintile 2","17 and under","All","Male","5","0","0"
"2022","Quintile 2","17 and under","All","Male","5","0","0"
"2023","Quintile 2","17 and under","All","Male","5","5","0"
"2020","Quintile 3","17 and under","All","Male","5","0","0"
"2021","Quintile 3","17 and under","All","Male","5","0","0"
"2022","Quintile 3","17 and under","All","Male","5","0","0"
"2023","Quintile 3","17 and under","All","Male","5","0","0"
"2020","Quintile 4","17 and under","All","Male","5","0","0"
"2021","Quintile 4","17 and under","All","Male","5","0","0"
"2022","Quintile 4","17 and under","All","Male","5","0","0"
"2023","Quintile 4","17 and under","All","Male","10","5","5"
"2020","Quintile 5","17 and under","All","Male","10","5","5"
"2021","Quintile 5","17 and under","All","Male","5","5","0"
"2022","Quintile 5","17 and under","All","Male","5","0","0"
"2023","Quintile 5","17 and under","All","Male","10","5","5"
"2020","Unknown","18","All","Male","5","0","0"
"2021","Unknown","18","All","Male","5","0","0"
"2023","Unknown","18","All","Male","5","0","0"
"2020","Quintile 1","18","All","Male","350","165","130"
"2021","Quintile 1","18","All","Male","340","195","145"
"2022","Quintile 1","18","All","Male","290","165","115"
"2023","Quintile 1","18","All","Male","510","240","175"
"2020","Quintile 2","18","All","Male","595","290","200"
"2021","Quintile 2","18","All","Male","440","260","185"
"2022","Quintile 2","18","All","Male","390","230","175"
"2023","Quintile 2","18","All","Male","610","275","190"
"2020","Quintile 3","18","All","Male","855","375","260"
"2021","Quintile 3","18","All","Male","560","315","235"
"2022","Quintile 3","18","All","Male","555","285","215"
"2023","Quintile 3","18","All","Male","840","420","295"
"2020","Quintile 4","18","All","Male","1150","480","335"
"2021","Quintile 4","18","All","Male","765","425","315"
"2022","Quintile 4","18","All","Male","705","395","295"
"2023","Quintile 4","18","All","Male","1135","580","405"
"2020","Quintile 5","18","All","Male","1910","775","510"
"2021","Quintile 5","18","All","Male","1060","560","400"
"2022","Quintile 5","18","All","Male","970","485","350"
"2023","Quintile 5","18","All","Male","1410","680","450"
"2020","Quintile 1","19","All","Male","120","60","45"
"2021","Quintile 1","19","All","Male","85","50","35"
"2022","Quintile 1","19","All","Male","70","45","30"
"2023","Quintile 1","19","All","Male","125","50","30"
"2020","Quintile 2","19","All","Male","145","70","50"
"2021","Quintile 2","19","All","Male","105","55","40"
"2022","Quintile 2","19","All","Male","85","45","35"
"2023","Quintile 2","19","All","Male","170","90","65"
"2020","Quintile 3","19","All","Male","215","105","75"
"2021","Quintile 3","19","All","Male","155","85","50"
"2022","Quintile 3","19","All","Male","115","65","50"
"2023","Quintile 3","19","All","Male","235","115","70"
"2020","Quintile 4","19","All","Male","280","140","85"
"2021","Quintile 4","19","All","Male","185","90","60"
"2022","Quintile 4","19","All","Male","140","75","55"
"2023","Quintile 4","19","All","Male","255","110","65"
"2020","Quintile 5","19","All","Male","380","165","115"
"2021","Quintile 5","19","All","Male","200","120","85"
"2022","Quintile 5","19","All","Male","160","90","65"
"2023","Quintile 5","19","All","Male","315","150","100"
"2020","Quintile 1","20","All","Male","45","30","25"
"2021","Quintile 1","20","All","Male","45","25","15"
"2022","Quintile 1","20","All","Male","35","20","15"
"2023","Quintile 1","20","All","Male","50","20","15"
"2020","Quintile 2","20","All","Male","75","45","35"
"2021","Quintile 2","20","All","Male","45","25","20"
"2022","Quintile 2","20","All","Male","35","15","10"
"2023","Quintile 2","20","All","Male","75","35","25"
"2020","Quintile 3","20","All","Male","90","50","40"
"2021","Quintile 3","20","All","Male","65","25","10"
"2022","Quintile 3","20","All","Male","40","25","20"
"2023","Quintile 3","20","All","Male","70","30","25"
"2020","Quintile 4","20","All","Male","85","55","40"
"2021","Quintile 4","20","All","Male","45","20","15"
"2022","Quintile 4","20","All","Male","60","35","30"
"2023","Quintile 4","20","All","Male","80","40","30"
"2020","Quintile 5","20","All","Male","105","50","35"
"2021","Quintile 5","20","All","Male","85","40","25"
"2022","Quintile 5","20","All","Male","60","35","30"
"2023","Quintile 5","20","All","Male","90","45","35"
"2020","Quintile 1","21 - 24","All","Male","85","45","30"
"2021","Quintile 1","21 - 24","All","Male","80","35","25"
"2022","Quintile 1","21 - 24","All","Male","50","25","15"
"2023","Quintile 1","21 - 24","All","Male","75","30","20"
"2020","Quintile 2","21 - 24","All","Male","100","50","35"
