"Year","POLAR4 Quintile","Age group","Domicile","Gender","Registered for Clearing Plus","Placed at provider of interest through Clearing Plus","Placed on course of interest through Clearing Plus"
"2020","Quintile 4","19","Northern Ireland","Female","5","0","0"
"2021","Quintile 4","19","Northern Ireland","Female","5","5","0"
"2023","Quintile 4","19","Northern Ireland","Female","5","0","0"
"2020","Quintile 4","19","England","Female","305","155","110"
"2021","Quintile 4","19","England","Female","220","120","90"
"2022","Quintile 4","19","England","Female","120","65","50"
"2023","Quintile 4","19","England","Female","265","125","95"
"2020","Quintile 4","19","Scotland","Female","25","10","5"
"2021","Quintile 4","19","Scotland","Female","15","5","5"
"2022","Quintile 4","19","Scotland","Female","5","5","5"
"2023","Quintile 4","19","Scotland","Female","15","10","5"
"2020","Quintile 4","19","Wales","Female","5","0","0"
"2021","Quintile 4","19","Wales","Female","5","5","5"
"2022","Quintile 4","19","Wales","Female","5","0","0"
"2023","Quintile 4","19","Wales","Female","10","10","10"
"2020","Quintile 5","19","Northern Ireland","Female","20","10","10"
"2021","Quintile 5","19","Northern Ireland","Female","5","5","5"
"2022","Quintile 5","19","Northern Ireland","Female","5","5","5"
"2020","Quintile 5","19","England","Female","325","145","105"
"2021","Quintile 5","19","England","Female","185","90","60"
"2022","Quintile 5","19","England","Female","130","65","45"
"2023","Quintile 5","19","England","Female","260","120","85"
"2020","Quintile 5","19","Scotland","Female","30","10","10"
"2021","Quintile 5","19","Scotland","Female","15","10","5"
"2022","Quintile 5","19","Scotland","Female","10","5","5"
"2023","Quintile 5","19","Scotland","Female","25","15","10"
"2020","Quintile 5","19","Wales","Female","10","5","5"
"2021","Quintile 5","19","Wales","Female","5","0","0"
"2023","Quintile 5","19","Wales","Female","15","10","5"
"2020","Quintile 1","20","Northern Ireland","Female","5","0","0"
"2021","Quintile 1","20","Northern Ireland","Female","5","5","5"
"2020","Quintile 1","20","England","Female","75","40","35"
"2021","Quintile 1","20","England","Female","65","25","20"
"2022","Quintile 1","20","England","Female","25","10","5"
"2023","Quintile 1","20","England","Female","70","35","25"
"2020","Quintile 1","20","Scotland","Female","5","0","0"
"2023","Quintile 1","20","Scotland","Female","5","5","0"
"2020","Quintile 1","20","Wales","Female","5","5","0"
"2021","Quintile 1","20","Wales","Female","5","5","0"
"2023","Quintile 1","20","Wales","Female","5","0","0"
"2020","Quintile 2","20","England","Female","70","35","30"
"2021","Quintile 2","20","England","Female","60","20","15"
"2022","Quintile 2","20","England","Female","45","20","10"
"2023","Quintile 2","20","England","Female","65","25","20"
"2020","Quintile 2","20","Scotland","Female","5","0","0"
"2021","Quintile 2","20","Scotland","Female","5","0","0"
"2023","Quintile 2","20","Scotland","Female","10","5","0"
"2020","Quintile 2","20","Wales","Female","5","0","0"
"2021","Quintile 2","20","Wales","Female","5","5","0"
"2022","Quintile 2","20","Wales","Female","5","5","5"
"2023","Quintile 2","20","Wales","Female","10","5","0"
"2020","Quintile 3","20","England","Female","105","55","45"
"2021","Quintile 3","20","England","Female","75","30","20"
"2022","Quintile 3","20","England","Female","35","15","5"
"2023","Quintile 3","20","England","Female","80","30","20"
"2020","Quintile 3","20","Scotland","Female","5","0","0"
"2021","Quintile 3","20","Scotland","Female","5","0","0"
"2022","Quintile 3","20","Scotland","Female","5","5","5"
"2023","Quintile 3","20","Scotland","Female","10","5","5"
"2020","Quintile 3","20","Wales","Female","5","0","0"
"2023","Quintile 3","20","Wales","Female","5","5","5"
"2020","Quintile 4","20","Northern Ireland","Female","5","0","0"
"2020","Quintile 4","20","England","Female","120","60","50"
"2021","Quintile 4","20","England","Female","80","30","15"
"2022","Quintile 4","20","England","Female","40","15","5"
"2023","Quintile 4","20","England","Female","90","40","30"
"2020","Quintile 4","20","Scotland","Female","5","5","5"
"2021","Quintile 4","20","Scotland","Female","5","0","0"
"2022","Quintile 4","20","Scotland","Female","5","0","0"
"2023","Quintile 4","20","Scotland","Female","10","5","5"
"2020","Quintile 4","20","Wales","Female","5","0","0"
"2022","Quintile 4","20","Wales","Female","5","0","0"
"2023","Quintile 4","20","Wales","Female","5","5","5"
"2020","Quintile 5","20","Northern Ireland","Female","5","5","0"
"2020","Quintile 5","20","England","Female","90","40","30"
"2021","Quintile 5","20","England","Female","75","30","25"
"2022","Quintile 5","20","England","Female","50","20","15"
"2023","Quintile 5","20","England","Female","80","40","30"
"2020","Quintile 5","20","Scotland","Female","10","5","5"
"2021","Quintile 5","20","Scotland","Female","5","0","0"
"2022","Quintile 5","20","Scotland","Female","5","0","0"
"2023","Quintile 5","20","Scotland","Female","10","5","5"
"2021","Quintile 5","20","Wales","Female","5","0","0"
"2020","Quintile 1","21 - 24","Northern Ireland","Female","5","5","0"
"2021","Quintile 1","21 - 24","Northern Ireland","Female","5","0","0"
"2023","Quintile 1","21 - 24","Northern Ireland","Female","5","0","0"
"2020","Quintile 1","21 - 24","England","Female","120","50","40"
"2021","Quintile 1","21 - 24","England","Female","90","25","20"
"2022","Quintile 1","21 - 24","England","Female","40","15","10"
"2023","Quintile 1","21 - 24","England","Female","95","35","20"
"2020","Quintile 1","21 - 24","Scotland","Female","10","5","0"
"2021","Quintile 1","21 - 24","Scotland","Female","5","0","0"
"2023","Quintile 1","21 - 24","Scotland","Female","5","5","0"
"2020","Quintile 1","21 - 24","Wales","Female","10","0","0"
"2021","Quintile 1","21 - 24","Wales","Female","10","5","5"
"2022","Quintile 1","21 - 24","Wales","Female","10","0","0"
"2023","Quintile 1","21 - 24","Wales","Female","10","5","0"
"2020","Quintile 2","21 - 24","Northern Ireland","Female","5","0","0"
"2020","Quintile 2","21 - 24","England","Female","115","50","40"
"2021","Quintile 2","21 - 24","England","Female","75","25","20"
"2022","Quintile 2","21 - 24","England","Female","55","20","15"
"2023","Quintile 2","21 - 24","England","Female","115","50","40"
"2020","Quintile 2","21 - 24","Scotland","Female","10","0","0"
"2021","Quintile 2","21 - 24","Scotland","Female","15","5","5"
"2022","Quintile 2","21 - 24","Scotland","Female","5","5","5"
"2023","Quintile 2","21 - 24","Scotland","Female","10","0","0"
