"Year","MEM quintile","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Accepted applicants","Population estimate","Entry rate"
"2020","Quintile 2","18","England","Female","Main scheme applicant","Not main scheme application","1240","40040","0.031"
"2020","Quintile 3","18","England","Female","Main scheme applicant","Not main scheme application","2520","47330","0.053"
"2020","Quintile 4","18","England","Female","Main scheme applicant","Not main scheme application","5720","74620","0.077"
"2020","Quintile 5","18","England","Female","Main scheme applicant","Not main scheme application","8280","78010","0.106"
"2021","Quintile 1","18","England","Female","Main scheme applicant","Not main scheme application","530","37060","0.014"
"2021","Quintile 2","18","England","Female","Main scheme applicant","Not main scheme application","1150","40780","0.028"
"2021","Quintile 3","18","England","Female","Main scheme applicant","Not main scheme application","1990","48670","0.041"
"2021","Quintile 4","18","England","Female","Main scheme applicant","Not main scheme application","4600","76990","0.06"
"2021","Quintile 5","18","England","Female","Main scheme applicant","Not main scheme application","5300","81310","0.065"
"2022","Quintile 1","18","England","Female","Main scheme applicant","Not main scheme application","820","40190","0.02"
"2022","Quintile 2","18","England","Female","Main scheme applicant","Not main scheme application","1550","41760","0.037"
"2022","Quintile 3","18","England","Female","Main scheme applicant","Not main scheme application","2810","49710","0.057"
"2022","Quintile 4","18","England","Female","Main scheme applicant","Not main scheme application","5770","78620","0.073"
"2022","Quintile 5","18","England","Female","Main scheme applicant","Not main scheme application","7180","83390","0.08600000000000001"
"2023","Quintile 1","18","England","Female","Main scheme applicant","Not main scheme application","820","44850","0.018000000000000002"
"2023","Quintile 2","18","England","Female","Main scheme applicant","Not main scheme application","1470","42390","0.035"
"2023","Quintile 3","18","England","Female","Main scheme applicant","Not main scheme application","2900","51160","0.057"
"2023","Quintile 4","18","England","Female","Main scheme applicant","Not main scheme application","5920","80310","0.074"
"2023","Quintile 5","18","England","Female","Main scheme applicant","Not main scheme application","7990","113710","0.07"
"2006","Quintile 1","18","England","Male","Main scheme applicant","Not main scheme application","390","83090","0.005"
"2006","Quintile 2","18","England","Male","Main scheme applicant","Not main scheme application","890","71120","0.013000000000000001"
"2006","Quintile 3","18","England","Male","Main scheme applicant","Not main scheme application","1150","64560","0.018000000000000002"
"2006","Quintile 4","18","England","Male","Main scheme applicant","Not main scheme application","1140","44530","0.026000000000000002"
"2006","Quintile 5","18","England","Male","Main scheme applicant","Not main scheme application","1960","45470","0.043000000000000003"
"2007","Quintile 1","18","England","Male","Main scheme applicant","Not main scheme application","450","81030","0.005"
"2007","Quintile 2","18","England","Male","Main scheme applicant","Not main scheme application","960","70630","0.014"
"2007","Quintile 3","18","England","Male","Main scheme applicant","Not main scheme application","1310","64320","0.02"
"2007","Quintile 4","18","England","Male","Main scheme applicant","Not main scheme application","1160","45000","0.026000000000000002"
"2007","Quintile 5","18","England","Male","Main scheme applicant","Not main scheme application","2060","45650","0.045"
"2008","Quintile 1","18","England","Male","Main scheme applicant","Not main scheme application","500","82640","0.006"
"2008","Quintile 2","18","England","Male","Main scheme applicant","Not main scheme application","1100","72790","0.015"
"2008","Quintile 3","18","England","Male","Main scheme applicant","Not main scheme application","1480","67120","0.022"
"2008","Quintile 4","18","England","Male","Main scheme applicant","Not main scheme application","1400","46480","0.03"
"2008","Quintile 5","18","England","Male","Main scheme applicant","Not main scheme application","2210","46540","0.047"
"2009","Quintile 1","18","England","Male","Main scheme applicant","Not main scheme application","620","82020","0.008"
"2009","Quintile 2","18","England","Male","Main scheme applicant","Not main scheme application","1260","72740","0.017"
"2009","Quintile 3","18","England","Male","Main scheme applicant","Not main scheme application","1620","66570","0.024"
"2009","Quintile 4","18","England","Male","Main scheme applicant","Not main scheme application","1560","46350","0.034"
"2009","Quintile 5","18","England","Male","Main scheme applicant","Not main scheme application","2610","46970","0.056"
"2010","Quintile 1","18","England","Male","Main scheme applicant","Not main scheme application","700","81890","0.009000000000000001"
"2010","Quintile 2","18","England","Male","Main scheme applicant","Not main scheme application","1430","72190","0.02"
"2010","Quintile 3","18","England","Male","Main scheme applicant","Not main scheme application","1890","67420","0.028"
"2010","Quintile 4","18","England","Male","Main scheme applicant","Not main scheme application","1760","47660","0.037"
"2010","Quintile 5","18","England","Male","Main scheme applicant","Not main scheme application","2510","47450","0.053"
"2011","Quintile 1","18","England","Male","Main scheme applicant","Not main scheme application","820","80150","0.01"
"2011","Quintile 2","18","England","Male","Main scheme applicant","Not main scheme application","1760","70750","0.025"
"2011","Quintile 3","18","England","Male","Main scheme applicant","Not main scheme application","2290","66320","0.034"
