"Year","Difference between predicted and achieved A level points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2022","-3 points","All","All","All","Not main scheme applicant","Not main scheme application","20","20","1","5"
"2023","-3 points","All","All","All","Not main scheme applicant","Not main scheme application","15","15","0.867","5"
"2010","-4 points","All","All","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","-4 points","All","All","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-4 points","All","All","All","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2013","-4 points","All","All","All","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2014","-4 points","All","All","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-4 points","All","All","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-4 points","All","All","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-4 points","All","All","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-4 points","All","All","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-4 points","All","All","All","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","-4 points","All","All","All","Not main scheme applicant","Not main scheme application","15","15","0.933","5"
"2021","-4 points","All","All","All","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","-4 points","All","All","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-4 points","All","All","All","Not main scheme applicant","Not main scheme application","10","10","0.909","5"
"2010","-5 points","All","All","All","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2011","-5 points","All","All","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-5 points","All","All","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-5 points","All","All","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-5 points","All","All","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-5 points","All","All","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-5 points","All","All","All","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2019","-5 points","All","All","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-5 points","All","All","All","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","-5 points","All","All","All","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","-5 points","All","All","All","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2011","-6 points","All","All","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-6 points","All","All","All","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2013","-6 points","All","All","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-6 points","All","All","All","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2017","-6 points","All","All","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-6 points","All","All","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-6 points","All","All","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-6 points","All","All","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","Less than -6 points","All","All","All","Not main scheme applicant","Not main scheme application","20","15","0.895","10"
"2011","Less than -6 points","All","All","All","Not main scheme applicant","Not main scheme application","30","25","0.931","20"
"2012","Less than -6 points","All","All","All","Not main scheme applicant","Not main scheme application","35","35","0.972","10"
"2013","Less than -6 points","All","All","All","Not main scheme applicant","Not main scheme application","45","45","0.9570000000000001","5"
"2014","Less than -6 points","All","All","All","Not main scheme applicant","Not main scheme application","25","25","0.885","5"
"2015","Less than -6 points","All","All","All","Not main scheme applicant","Not main scheme application","35","35","1","5"
"2016","Less than -6 points","All","All","All","Not main scheme applicant","Not main scheme application","45","40","0.9550000000000001","5"
"2017","Less than -6 points","All","All","All","Not main scheme applicant","Not main scheme application","30","25","0.857","0"
"2018","Less than -6 points","All","All","All","Not main scheme applicant","Not main scheme application","55","50","0.906","10"
"2019","Less than -6 points","All","All","All","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2020","Less than -6 points","All","All","All","Not main scheme applicant","Not main scheme application","15","10","0.846","0"
"2021","Less than -6 points","All","All","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","Less than -6 points","All","All","All","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Less than -6 points","All","All","All","Not main scheme applicant","Not main scheme application","30","30","0.875","5"
"2010","0 points","All","All","All","Main scheme applicant","Not main scheme application","1700","1490","0.875","0"
"2011","0 points","All","All","All","Main scheme applicant","Not main scheme application","1805","1595","0.883","0"
"2012","0 points","All","All","All","Main scheme applicant","Not main scheme application","1715","1550","0.904","0"
"2013","0 points","All","All","All","Main scheme applicant","Not main scheme application","1505","1375","0.912","0"
"2014","0 points","All","All","All","Main scheme applicant","Not main scheme application","1380","1265","0.915","0"
"2015","0 points","All","All","All","Main scheme applicant","Not main scheme application","1365","1270","0.93","0"
"2016","0 points","All","All","All","Main scheme applicant","Not main scheme application","1395","1290","0.925","0"
"2017","0 points","All","All","All","Main scheme applicant","Not main scheme application","1505","1425","0.9480000000000001","0"
"2018","0 points","All","All","All","Main scheme applicant","Not main scheme application","1350","1260","0.933","0"
"2019","0 points","All","All","All","Main scheme applicant","Not main scheme application","1300","1230","0.9460000000000001","0"
"2020","0 points","All","All","All","Main scheme applicant","Not main scheme application","5155","4980","0.966","0"
"2021","0 points","All","All","All","Main scheme applicant","Not main scheme application","2590","2380","0.918","0"
"2022","0 points","All","All","All","Main scheme applicant","Not main scheme application","2295","2030","0.883","0"
"2023","0 points","All","All","All","Main scheme applicant","Not main scheme application","1230","1120","0.907","0"
"2010","1 points","All","All","All","Main scheme applicant","Not main scheme application","660","575","0.871","0"
"2011","1 points","All","All","All","Main scheme applicant","Not main scheme application","755","655","0.87","0"
"2012","1 points","All","All","All","Main scheme applicant","Not main scheme application","825","745","0.908","0"
"2013","1 points","All","All","All","Main scheme applicant","Not main scheme application","725","675","0.928","0"
"2014","1 points","All","All","All","Main scheme applicant","Not main scheme application","660","610","0.926","0"
"2015","1 points","All","All","All","Main scheme applicant","Not main scheme application","605","575","0.9540000000000001","0"
"2016","1 points","All","All","All","Main scheme applicant","Not main scheme application","565","525","0.922","0"
"2017","1 points","All","All","All","Main scheme applicant","Not main scheme application","695","650","0.9380000000000001","0"
"2018","1 points","All","All","All","Main scheme applicant","Not main scheme application","600","565","0.937","0"
"2019","1 points","All","All","All","Main scheme applicant","Not main scheme application","540","510","0.9500000000000001","0"
"2020","1 points","All","All","All","Main scheme applicant","Not main scheme application","1980","1900","0.96","0"
"2021","1 points","All","All","All","Main scheme applicant","Not main scheme application","1550","1420","0.915","0"
"2022","1 points","All","All","All","Main scheme applicant","Not main scheme application","1230","1110","0.903","0"
"2023","1 points","All","All","All","Main scheme applicant","Not main scheme application","470","445","0.9450000000000001","0"
"2010","2 points","All","All","All","Main scheme applicant","Not main scheme application","245","210","0.849","0"
"2011","2 points","All","All","All","Main scheme applicant","Not main scheme application","280","245","0.871","0"
"2012","2 points","All","All","All","Main scheme applicant","Not main scheme application","335","315","0.9400000000000001","0"
"2013","2 points","All","All","All","Main scheme applicant","Not main scheme application","295","285","0.96","0"
"2014","2 points","All","All","All","Main scheme applicant","Not main scheme application","270","250","0.926","0"
"2015","2 points","All","All","All","Main scheme applicant","Not main scheme application","280","270","0.965","0"
"2016","2 points","All","All","All","Main scheme applicant","Not main scheme application","245","235","0.9470000000000001","0"
"2017","2 points","All","All","All","Main scheme applicant","Not main scheme application","340","325","0.9500000000000001","0"
"2018","2 points","All","All","All","Main scheme applicant","Not main scheme application","335","315","0.9490000000000001","0"
"2019","2 points","All","All","All","Main scheme applicant","Not main scheme application","280","265","0.936","0"
"2020","2 points","All","All","All","Main scheme applicant","Not main scheme application","565","540","0.9520000000000001","0"
"2021","2 points","All","All","All","Main scheme applicant","Not main scheme application","795","720","0.905","0"
"2022","2 points","All","All","All","Main scheme applicant","Not main scheme application","585","515","0.881","0"
"2023","2 points","All","All","All","Main scheme applicant","Not main scheme application","205","190","0.9410000000000001","0"
"2010","3 points","All","All","All","Main scheme applicant","Not main scheme application","85","75","0.872","0"
"2011","3 points","All","All","All","Main scheme applicant","Not main scheme application","105","95","0.894","0"
"2012","3 points","All","All","All","Main scheme applicant","Not main scheme application","120","115","0.934","0"
"2013","3 points","All","All","All","Main scheme applicant","Not main scheme application","105","100","0.9530000000000001","0"
"2014","3 points","All","All","All","Main scheme applicant","Not main scheme application","90","80","0.932","0"
"2015","3 points","All","All","All","Main scheme applicant","Not main scheme application","95","90","0.968","0"
"2016","3 points","All","All","All","Main scheme applicant","Not main scheme application","110","105","0.9540000000000001","0"
"2017","3 points","All","All","All","Main scheme applicant","Not main scheme application","145","140","0.965","0"
"2018","3 points","All","All","All","Main scheme applicant","Not main scheme application","150","140","0.927","0"
"2019","3 points","All","All","All","Main scheme applicant","Not main scheme application","130","125","0.9390000000000001","0"
"2020","3 points","All","All","All","Main scheme applicant","Not main scheme application","135","130","0.9560000000000001","0"
"2021","3 points","All","All","All","Main scheme applicant","Not main scheme application","325","300","0.923","0"
"2022","3 points","All","All","All","Main scheme applicant","Not main scheme application","235","210","0.897","0"
"2023","3 points","All","All","All","Main scheme applicant","Not main scheme application","70","65","0.914","0"
"2010","More than 3 points","All","All","All","Main scheme applicant","Not main scheme application","35","30","0.889","0"
"2011","More than 3 points","All","All","All","Main scheme applicant","Not main scheme application","45","45","0.936","0"
"2012","More than 3 points","All","All","All","Main scheme applicant","Not main scheme application","55","50","0.926","0"
"2013","More than 3 points","All","All","All","Main scheme applicant","Not main scheme application","40","35","0.923","0"
"2014","More than 3 points","All","All","All","Main scheme applicant","Not main scheme application","40","40","0.9520000000000001","0"
"2015","More than 3 points","All","All","All","Main scheme applicant","Not main scheme application","50","45","0.9400000000000001","0"
"2016","More than 3 points","All","All","All","Main scheme applicant","Not main scheme application","50","50","0.981","0"
"2017","More than 3 points","All","All","All","Main scheme applicant","Not main scheme application","75","70","0.9590000000000001","0"
"2018","More than 3 points","All","All","All","Main scheme applicant","Not main scheme application","60","55","0.919","0"
"2019","More than 3 points","All","All","All","Main scheme applicant","Not main scheme application","70","60","0.899","0"
"2020","More than 3 points","All","All","All","Main scheme applicant","Not main scheme application","30","30","1","0"
"2021","More than 3 points","All","All","All","Main scheme applicant","Not main scheme application","160","150","0.937","0"
"2022","More than 3 points","All","All","All","Main scheme applicant","Not main scheme application","170","160","0.9400000000000001","0"
"2023","More than 3 points","All","All","All","Main scheme applicant","Not main scheme application","35","30","0.886","0"
"2010","-1 points","All","All","All","Main scheme applicant","Not main scheme application","3025","2710","0.896","0"
"2011","-1 points","All","All","All","Main scheme applicant","Not main scheme application","3435","3065","0.893","0"
"2012","-1 points","All","All","All","Main scheme applicant","Not main scheme application","3010","2775","0.922","0"
"2013","-1 points","All","All","All","Main scheme applicant","Not main scheme application","2690","2475","0.92","0"
"2014","-1 points","All","All","All","Main scheme applicant","Not main scheme application","2645","2485","0.9390000000000001","0"
"2015","-1 points","All","All","All","Main scheme applicant","Not main scheme application","2750","2555","0.93","0"
"2016","-1 points","All","All","All","Main scheme applicant","Not main scheme application","2785","2595","0.931","0"
"2017","-1 points","All","All","All","Main scheme applicant","Not main scheme application","2800","2660","0.9500000000000001","0"
"2018","-1 points","All","All","All","Main scheme applicant","Not main scheme application","2505","2365","0.9440000000000001","0"
"2019","-1 points","All","All","All","Main scheme applicant","Not main scheme application","2275","2135","0.9390000000000001","0"
"2020","-1 points","All","All","All","Main scheme applicant","Not main scheme application","6405","6150","0.96","0"
"2021","-1 points","All","All","All","Main scheme applicant","Not main scheme application","3440","3210","0.933","0"
"2022","-1 points","All","All","All","Main scheme applicant","Not main scheme application","3255","2965","0.911","0"
"2023","-1 points","All","All","All","Main scheme applicant","Not main scheme application","2265","2095","0.926","0"
"2010","-2 points","All","All","All","Main scheme applicant","Not main scheme application","4100","3730","0.909","0"
"2011","-2 points","All","All","All","Main scheme applicant","Not main scheme application","4960","4530","0.913","0"
"2012","-2 points","All","All","All","Main scheme applicant","Not main scheme application","4235","3920","0.927","0"
"2013","-2 points","All","All","All","Main scheme applicant","Not main scheme application","3920","3645","0.93","0"
"2014","-2 points","All","All","All","Main scheme applicant","Not main scheme application","4210","3915","0.929","0"
"2015","-2 points","All","All","All","Main scheme applicant","Not main scheme application","4170","3905","0.936","0"
"2016","-2 points","All","All","All","Main scheme applicant","Not main scheme application","4550","4245","0.932","0"
"2017","-2 points","All","All","All","Main scheme applicant","Not main scheme application","4265","4030","0.9440000000000001","0"
"2018","-2 points","All","All","All","Main scheme applicant","Not main scheme application","3765","3560","0.9460000000000001","0"
"2019","-2 points","All","All","All","Main scheme applicant","Not main scheme application","3880","3665","0.9460000000000001","0"
"2020","-2 points","All","All","All","Main scheme applicant","Not main scheme application","5975","5750","0.962","0"
"2021","-2 points","All","All","All","Main scheme applicant","Not main scheme application","3500","3300","0.9430000000000001","0"
"2022","-2 points","All","All","All","Main scheme applicant","Not main scheme application","4145","3850","0.929","0"
"2023","-2 points","All","All","All","Main scheme applicant","Not main scheme application","3535","3275","0.926","0"
"2010","-3 points","All","All","All","Main scheme applicant","Not main scheme application","3660","3295","0.901","0"
"2011","-3 points","All","All","All","Main scheme applicant","Not main scheme application","4685","4220","0.9","0"
"2012","-3 points","All","All","All","Main scheme applicant","Not main scheme application","4125","3820","0.926","0"
"2013","-3 points","All","All","All","Main scheme applicant","Not main scheme application","4005","3750","0.935","0"
"2014","-3 points","All","All","All","Main scheme applicant","Not main scheme application","4635","4300","0.928","0"
"2015","-3 points","All","All","All","Main scheme applicant","Not main scheme application","4700","4430","0.9430000000000001","0"
"2016","-3 points","All","All","All","Main scheme applicant","Not main scheme application","5115","4805","0.9400000000000001","0"
"2017","-3 points","All","All","All","Main scheme applicant","Not main scheme application","4795","4525","0.9440000000000001","0"
"2018","-3 points","All","All","All","Main scheme applicant","Not main scheme application","4500","4270","0.9490000000000001","0"
"2019","-3 points","All","All","All","Main scheme applicant","Not main scheme application","4795","4570","0.9530000000000001","0"
"2020","-3 points","All","All","All","Main scheme applicant","Not main scheme application","4310","4100","0.9500000000000001","0"
"2021","-3 points","All","All","All","Main scheme applicant","Not main scheme application","2845","2695","0.9480000000000001","0"
"2022","-3 points","All","All","All","Main scheme applicant","Not main scheme application","4460","4180","0.937","0"
"2023","-3 points","All","All","All","Main scheme applicant","Not main scheme application","4980","4675","0.9390000000000001","0"
"2010","-4 points","All","All","All","Main scheme applicant","Not main scheme application","2370","2130","0.898","0"
"2011","-4 points","All","All","All","Main scheme applicant","Not main scheme application","3025","2685","0.888","0"
"2012","-4 points","All","All","All","Main scheme applicant","Not main scheme application","2860","2645","0.925","0"
"2013","-4 points","All","All","All","Main scheme applicant","Not main scheme application","2915","2700","0.926","0"
"2014","-4 points","All","All","All","Main scheme applicant","Not main scheme application","3535","3295","0.932","0"
"2015","-4 points","All","All","All","Main scheme applicant","Not main scheme application","3665","3415","0.933","0"
"2016","-4 points","All","All","All","Main scheme applicant","Not main scheme application","3900","3670","0.9410000000000001","0"
"2017","-4 points","All","All","All","Main scheme applicant","Not main scheme application","4090","3835","0.937","0"
"2018","-4 points","All","All","All","Main scheme applicant","Not main scheme application","4150","3920","0.9440000000000001","0"
"2019","-4 points","All","All","All","Main scheme applicant","Not main scheme application","4625","4400","0.9520000000000001","0"
"2020","-4 points","All","All","All","Main scheme applicant","Not main scheme application","2440","2295","0.9410000000000001","0"
"2021","-4 points","All","All","All","Main scheme applicant","Not main scheme application","1820","1730","0.9510000000000001","0"
"2022","-4 points","All","All","All","Main scheme applicant","Not main scheme application","3770","3525","0.935","0"
"2023","-4 points","All","All","All","Main scheme applicant","Not main scheme application","5280","4950","0.937","0"
"2010","-5 points","All","All","All","Main scheme applicant","Not main scheme application","1280","1120","0.875","0"
"2011","-5 points","All","All","All","Main scheme applicant","Not main scheme application","1585","1390","0.877","0"
"2012","-5 points","All","All","All","Main scheme applicant","Not main scheme application","1500","1360","0.906","0"
"2013","-5 points","All","All","All","Main scheme applicant","Not main scheme application","1545","1410","0.913","0"
"2014","-5 points","All","All","All","Main scheme applicant","Not main scheme application","2045","1875","0.918","0"
"2015","-5 points","All","All","All","Main scheme applicant","Not main scheme application","2135","1980","0.928","0"
"2016","-5 points","All","All","All","Main scheme applicant","Not main scheme application","2430","2245","0.924","0"
"2017","-5 points","All","All","All","Main scheme applicant","Not main scheme application","2795","2625","0.9380000000000001","0"
"2018","-5 points","All","All","All","Main scheme applicant","Not main scheme application","2985","2810","0.9420000000000001","0"
"2019","-5 points","All","All","All","Main scheme applicant","Not main scheme application","3675","3500","0.9520000000000001","0"
"2020","-5 points","All","All","All","Main scheme applicant","Not main scheme application","1275","1200","0.9400000000000001","0"
"2021","-5 points","All","All","All","Main scheme applicant","Not main scheme application","1025","955","0.93","0"
"2022","-5 points","All","All","All","Main scheme applicant","Not main scheme application","2645","2485","0.9390000000000001","0"
"2023","-5 points","All","All","All","Main scheme applicant","Not main scheme application","4520","4215","0.932","0"
"2010","-6 points","All","All","All","Main scheme applicant","Not main scheme application","585","510","0.872","0"
"2011","-6 points","All","All","All","Main scheme applicant","Not main scheme application","710","605","0.856","0"
"2012","-6 points","All","All","All","Main scheme applicant","Not main scheme application","690","625","0.904","0"
"2013","-6 points","All","All","All","Main scheme applicant","Not main scheme application","695","630","0.905","0"
"2014","-6 points","All","All","All","Main scheme applicant","Not main scheme application","1000","900","0.9","0"
"2015","-6 points","All","All","All","Main scheme applicant","Not main scheme application","1105","1020","0.92","0"
"2016","-6 points","All","All","All","Main scheme applicant","Not main scheme application","1210","1090","0.899","0"
"2017","-6 points","All","All","All","Main scheme applicant","Not main scheme application","1595","1480","0.929","0"
"2018","-6 points","All","All","All","Main scheme applicant","Not main scheme application","1780","1680","0.9450000000000001","0"
"2019","-6 points","All","All","All","Main scheme applicant","Not main scheme application","2515","2385","0.9470000000000001","0"
"2020","-6 points","All","All","All","Main scheme applicant","Not main scheme application","575","530","0.918","0"
"2021","-6 points","All","All","All","Main scheme applicant","Not main scheme application","510","485","0.9510000000000001","0"
"2022","-6 points","All","All","All","Main scheme applicant","Not main scheme application","1705","1575","0.924","0"
"2023","-6 points","All","All","All","Main scheme applicant","Not main scheme application","3355","3125","0.931","0"
"2010","Less than -6 points","All","All","All","Main scheme applicant","Not main scheme application","415","335","0.801","0"
"2011","Less than -6 points","All","All","All","Main scheme applicant","Not main scheme application","520","420","0.808","0"
"2012","Less than -6 points","All","All","All","Main scheme applicant","Not main scheme application","505","435","0.863","0"
"2013","Less than -6 points","All","All","All","Main scheme applicant","Not main scheme application","535","460","0.863","0"
"2014","Less than -6 points","All","All","All","Main scheme applicant","Not main scheme application","800","705","0.88","0"
"2015","Less than -6 points","All","All","All","Main scheme applicant","Not main scheme application","855","775","0.903","0"
"2016","Less than -6 points","All","All","All","Main scheme applicant","Not main scheme application","1005","895","0.888","0"
"2017","Less than -6 points","All","All","All","Main scheme applicant","Not main scheme application","1530","1370","0.895","0"
"2018","Less than -6 points","All","All","All","Main scheme applicant","Not main scheme application","2040","1865","0.913","0"
"2019","Less than -6 points","All","All","All","Main scheme applicant","Not main scheme application","3065","2780","0.907","0"
"2020","Less than -6 points","All","All","All","Main scheme applicant","Not main scheme application","480","425","0.883","0"
"2021","Less than -6 points","All","All","All","Main scheme applicant","Not main scheme application","495","445","0.899","0"
"2022","Less than -6 points","All","All","All","Main scheme applicant","Not main scheme application","2240","1975","0.883","0"
"2023","Less than -6 points","All","All","All","Main scheme applicant","Not main scheme application","4640","4190","0.903","0"
"2010","0 points","All","All","All","Main scheme applicant","Main scheme application","35445","30180","0.851","0"
"2011","0 points","All","All","All","Main scheme applicant","Main scheme application","34585","30200","0.873","0"
"2012","0 points","All","All","All","Main scheme applicant","Main scheme application","30890","26405","0.855","0"
"2013","0 points","All","All","All","Main scheme applicant","Main scheme application","29460","25595","0.869","0"
"2014","0 points","All","All","All","Main scheme applicant","Main scheme application","27435","23940","0.873","0"
"2015","0 points","All","All","All","Main scheme applicant","Main scheme application","27585","24180","0.877","0"
"2016","0 points","All","All","All","Main scheme applicant","Main scheme application","26340","23085","0.876","0"
"2017","0 points","All","All","All","Main scheme applicant","Main scheme application","26005","22625","0.87","0"
"2018","0 points","All","All","All","Main scheme applicant","Main scheme application","24450","21250","0.869","0"
"2019","0 points","All","All","All","Main scheme applicant","Main scheme application","21455","18650","0.869","0"
"2020","0 points","All","All","All","Main scheme applicant","Main scheme application","43705","35950","0.8230000000000001","0"
"2021","0 points","All","All","All","Main scheme applicant","Main scheme application","48640","42145","0.866","0"
"2022","0 points","All","All","All","Main scheme applicant","Main scheme application","36930","31005","0.84","0"
"2023","0 points","All","All","All","Main scheme applicant","Main scheme application","22530","19290","0.856","0"
"2010","1 points","All","All","All","Main scheme applicant","Main scheme application","17595","15280","0.868","0"
"2011","1 points","All","All","All","Main scheme applicant","Main scheme application","16000","14160","0.885","0"
"2012","1 points","All","All","All","Main scheme applicant","Main scheme application","12620","10600","0.84","0"
"2013","1 points","All","All","All","Main scheme applicant","Main scheme application","11835","10105","0.854","0"
"2014","1 points","All","All","All","Main scheme applicant","Main scheme application","11095","9530","0.859","0"
"2015","1 points","All","All","All","Main scheme applicant","Main scheme application","10930","9435","0.863","0"
"2016","1 points","All","All","All","Main scheme applicant","Main scheme application","10030","8700","0.867","0"
"2017","1 points","All","All","All","Main scheme applicant","Main scheme application","11355","9785","0.862","0"
"2018","1 points","All","All","All","Main scheme applicant","Main scheme application","10405","8860","0.852","0"
"2019","1 points","All","All","All","Main scheme applicant","Main scheme application","8615","7325","0.85","0"
"2020","1 points","All","All","All","Main scheme applicant","Main scheme application","20585","17320","0.841","0"
"2021","1 points","All","All","All","Main scheme applicant","Main scheme application","29885","25825","0.864","0"
"2022","1 points","All","All","All","Main scheme applicant","Main scheme application","18675","15455","0.8280000000000001","0"
"2023","1 points","All","All","All","Main scheme applicant","Main scheme application","7330","6060","0.8270000000000001","0"
"2010","2 points","All","All","All","Main scheme applicant","Main scheme application","6695","5780","0.863","0"
"2011","2 points","All","All","All","Main scheme applicant","Main scheme application","5665","5020","0.886","0"
"2012","2 points","All","All","All","Main scheme applicant","Main scheme application","4030","3260","0.809","0"
"2013","2 points","All","All","All","Main scheme applicant","Main scheme application","3545","2930","0.8260000000000001","0"
"2014","2 points","All","All","All","Main scheme applicant","Main scheme application","3555","2980","0.839","0"
"2015","2 points","All","All","All","Main scheme applicant","Main scheme application","3455","2865","0.8290000000000001","0"
"2016","2 points","All","All","All","Main scheme applicant","Main scheme application","3205","2660","0.8300000000000001","0"
"2017","2 points","All","All","All","Main scheme applicant","Main scheme application","4030","3305","0.8200000000000001","0"
"2018","2 points","All","All","All","Main scheme applicant","Main scheme application","3630","2945","0.812","0"
"2019","2 points","All","All","All","Main scheme applicant","Main scheme application","2990","2400","0.803","0"
"2020","2 points","All","All","All","Main scheme applicant","Main scheme application","6845","5805","0.848","0"
"2021","2 points","All","All","All","Main scheme applicant","Main scheme application","14095","12005","0.852","0"
"2022","2 points","All","All","All","Main scheme applicant","Main scheme application","8540","6890","0.807","0"
"2023","2 points","All","All","All","Main scheme applicant","Main scheme application","2420","1910","0.79","0"
"2010","3 points","All","All","All","Main scheme applicant","Main scheme application","2050","1750","0.854","0"
"2011","3 points","All","All","All","Main scheme applicant","Main scheme application","1585","1355","0.855","0"
"2012","3 points","All","All","All","Main scheme applicant","Main scheme application","995","755","0.76","0"
"2013","3 points","All","All","All","Main scheme applicant","Main scheme application","810","620","0.764","0"
"2014","3 points","All","All","All","Main scheme applicant","Main scheme application","830","670","0.81","0"
"2015","3 points","All","All","All","Main scheme applicant","Main scheme application","820","635","0.776","0"
"2016","3 points","All","All","All","Main scheme applicant","Main scheme application","830","635","0.766","0"
"2017","3 points","All","All","All","Main scheme applicant","Main scheme application","1105","815","0.739","0"
"2018","3 points","All","All","All","Main scheme applicant","Main scheme application","1025","745","0.726","0"
"2019","3 points","All","All","All","Main scheme applicant","Main scheme application","920","680","0.739","0"
"2020","3 points","All","All","All","Main scheme applicant","Main scheme application","1610","1340","0.8320000000000001","0"
"2021","3 points","All","All","All","Main scheme applicant","Main scheme application","4765","3910","0.8210000000000001","0"
"2022","3 points","All","All","All","Main scheme applicant","Main scheme application","2970","2335","0.786","0"
"2023","3 points","All","All","All","Main scheme applicant","Main scheme application","630","460","0.731","0"
"2010","More than 3 points","All","All","All","Main scheme applicant","Main scheme application","460","365","0.796","0"
"2011","More than 3 points","All","All","All","Main scheme applicant","Main scheme application","365","285","0.773","0"
"2012","More than 3 points","All","All","All","Main scheme applicant","Main scheme application","245","160","0.656","0"
"2013","More than 3 points","All","All","All","Main scheme applicant","Main scheme application","200","135","0.67","0"
"2014","More than 3 points","All","All","All","Main scheme applicant","Main scheme application","215","145","0.678","0"
"2015","More than 3 points","All","All","All","Main scheme applicant","Main scheme application","220","145","0.644","0"
"2016","More than 3 points","All","All","All","Main scheme applicant","Main scheme application","205","115","0.5760000000000001","0"
"2017","More than 3 points","All","All","All","Main scheme applicant","Main scheme application","355","220","0.618","0"
"2018","More than 3 points","All","All","All","Main scheme applicant","Main scheme application","310","190","0.612","0"
"2019","More than 3 points","All","All","All","Main scheme applicant","Main scheme application","280","165","0.586","0"
"2020","More than 3 points","All","All","All","Main scheme applicant","Main scheme application","260","210","0.797","0"
"2021","More than 3 points","All","All","All","Main scheme applicant","Main scheme application","1455","1100","0.755","0"
"2022","More than 3 points","All","All","All","Main scheme applicant","Main scheme application","1135","760","0.672","0"
"2023","More than 3 points","All","All","All","Main scheme applicant","Main scheme application","170","95","0.55","0"
"2010","-1 points","All","All","All","Main scheme applicant","Main scheme application","40735","32490","0.798","0"
"2011","-1 points","All","All","All","Main scheme applicant","Main scheme application","41330","33785","0.8170000000000001","0"
"2012","-1 points","All","All","All","Main scheme applicant","Main scheme application","39715","32740","0.8240000000000001","0"
"2013","-1 points","All","All","All","Main scheme applicant","Main scheme application","39455","33180","0.841","0"
"2014","-1 points","All","All","All","Main scheme applicant","Main scheme application","36465","30730","0.843","0"
"2015","-1 points","All","All","All","Main scheme applicant","Main scheme application","37275","31495","0.845","0"
"2016","-1 points","All","All","All","Main scheme applicant","Main scheme application","36285","30660","0.845","0"
"2017","-1 points","All","All","All","Main scheme applicant","Main scheme application","33620","28110","0.836","0"
"2018","-1 points","All","All","All","Main scheme applicant","Main scheme application","31290","26210","0.838","0"
"2019","-1 points","All","All","All","Main scheme applicant","Main scheme application","27730","23320","0.841","0"
"2020","-1 points","All","All","All","Main scheme applicant","Main scheme application","37920","28655","0.756","0"
"2021","-1 points","All","All","All","Main scheme applicant","Main scheme application","34195","27445","0.803","0"
"2022","-1 points","All","All","All","Main scheme applicant","Main scheme application","34240","27300","0.797","0"
"2023","-1 points","All","All","All","Main scheme applicant","Main scheme application","29240","24175","0.8270000000000001","0"
"2010","-2 points","All","All","All","Main scheme applicant","Main scheme application","34925","24955","0.715","0"
"2011","-2 points","All","All","All","Main scheme applicant","Main scheme application","36435","26570","0.729","0"
"2012","-2 points","All","All","All","Main scheme applicant","Main scheme application","36570","27620","0.755","0"
"2013","-2 points","All","All","All","Main scheme applicant","Main scheme application","37255","29255","0.785","0"
"2014","-2 points","All","All","All","Main scheme applicant","Main scheme application","36290","28205","0.777","0"
"2015","-2 points","All","All","All","Main scheme applicant","Main scheme application","37025","29090","0.786","0"
"2016","-2 points","All","All","All","Main scheme applicant","Main scheme application","37145","28945","0.779","0"
"2017","-2 points","All","All","All","Main scheme applicant","Main scheme application","34010","26650","0.784","0"
