"Year","Predicted SQA advanced higher points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2020","12 point(s)","Quintile 3","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","12 point(s)","Quintile 3","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","12 point(s)","Quintile 3","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","6 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","8 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","8 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","8 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","9 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2015","9 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","9 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","10 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","10 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","10 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","10 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","10 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","11 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","11 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","11 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","11 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","11 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","11 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2011","12 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2012","12 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","12 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","12 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","12 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","12 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","12 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","12 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","12 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","10","10","0.909","0"
"2020","12 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","10","10","0.833","0"
"2021","12 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","12 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","15","10","0.923","0"
"2023","12 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","10","10","0.833","0"
"2010","7 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","7 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","7 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","7 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","8 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2012","8 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","8 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","8 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","8 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","9 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","9 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","9 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","9 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","9 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","9 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","9 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2017","9 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","9 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","9 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","9 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","9 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","10 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","10 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2012","10 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","10 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2014","10 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","10 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","10 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","10 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","10 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","10 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","10 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","10 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","10","10","1","0"
"2010","11 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","11 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","11 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2014","11 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","11 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","11 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","11 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","11 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","11 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","11 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","11 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","11 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","11 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","12 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","12 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2012","12 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","20","15","0.85","0"
"2013","12 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","25","25","0.962","0"
"2014","12 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","35","25","0.771","0"
"2015","12 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","30","30","0.933","0"
"2016","12 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","25","20","0.913","0"
"2017","12 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","35","30","0.811","0"
"2018","12 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","30","25","0.781","0"
"2019","12 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","30","25","0.9","0"
"2020","12 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","35","30","0.909","0"
"2021","12 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","25","20","0.875","0"
"2022","12 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","35","30","0.8240000000000001","0"
"2023","12 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","25","20","0.846","0"
"2011","12 point(s)","Unknown","Main scheme applicant","Main scheme application","5","5"," ","0"
"2017","7 point(s)","Quintile 1","Main scheme applicant","Main scheme application","5","5"," ","0"
"2019","7 point(s)","Quintile 1","Main scheme applicant","Main scheme application","5","5"," ","0"
"2020","7 point(s)","Quintile 1","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","7 point(s)","Quintile 1","Main scheme applicant","Main scheme application","5","5"," ","0"
"2022","7 point(s)","Quintile 1","Main scheme applicant","Main scheme application","5","0"," ","0"
"2023","7 point(s)","Quintile 1","Main scheme applicant","Main scheme application","5","0"," ","0"
"2010","8 point(s)","Quintile 1","Main scheme applicant","Main scheme application","5","5"," ","0"
"2012","8 point(s)","Quintile 1","Main scheme applicant","Main scheme application","5","5"," ","0"
"2013","8 point(s)","Quintile 1","Main scheme applicant","Main scheme application","5","5"," ","0"
"2014","8 point(s)","Quintile 1","Main scheme applicant","Main scheme application","5","5"," ","0"
"2015","8 point(s)","Quintile 1","Main scheme applicant","Main scheme application","5","5"," ","0"
"2016","8 point(s)","Quintile 1","Main scheme applicant","Main scheme application","5","0"," ","0"
"2017","8 point(s)","Quintile 1","Main scheme applicant","Main scheme application","5","0"," ","0"
"2018","8 point(s)","Quintile 1","Main scheme applicant","Main scheme application","5","5"," ","0"
"2019","8 point(s)","Quintile 1","Main scheme applicant","Main scheme application","5","5"," ","0"
"2020","8 point(s)","Quintile 1","Main scheme applicant","Main scheme application","5","5"," ","0"
"2021","8 point(s)","Quintile 1","Main scheme applicant","Main scheme application","5","5"," ","0"
"2022","8 point(s)","Quintile 1","Main scheme applicant","Main scheme application","5","5"," ","0"
"2023","8 point(s)","Quintile 1","Main scheme applicant","Main scheme application","5","0"," ","0"
"2010","9 point(s)","Quintile 1","Main scheme applicant","Main scheme application","10","10"," ","0"
"2011","9 point(s)","Quintile 1","Main scheme applicant","Main scheme application","5","5"," ","0"
"2012","9 point(s)","Quintile 1","Main scheme applicant","Main scheme application","5","5"," ","0"
"2013","9 point(s)","Quintile 1","Main scheme applicant","Main scheme application","5","5"," ","0"
"2015","9 point(s)","Quintile 1","Main scheme applicant","Main scheme application","10","10"," ","0"
"2016","9 point(s)","Quintile 1","Main scheme applicant","Main scheme application","10","10"," ","0"
"2017","9 point(s)","Quintile 1","Main scheme applicant","Main scheme application","5","5"," ","0"
"2018","9 point(s)","Quintile 1","Main scheme applicant","Main scheme application","10","10"," ","0"
"2019","9 point(s)","Quintile 1","Main scheme applicant","Main scheme application","10","10","0.917","0"
"2020","9 point(s)","Quintile 1","Main scheme applicant","Main scheme application","5","5"," ","0"
"2021","9 point(s)","Quintile 1","Main scheme applicant","Main scheme application","10","5"," ","0"
"2022","9 point(s)","Quintile 1","Main scheme applicant","Main scheme application","10","10","0.833","0"
"2023","9 point(s)","Quintile 1","Main scheme applicant","Main scheme application","10","10"," ","0"
"2010","10 point(s)","Quintile 1","Main scheme applicant","Main scheme application","10","10"," ","0"
"2011","10 point(s)","Quintile 1","Main scheme applicant","Main scheme application","10","10"," ","0"
"2012","10 point(s)","Quintile 1","Main scheme applicant","Main scheme application","5","5"," ","0"
"2013","10 point(s)","Quintile 1","Main scheme applicant","Main scheme application","10","5"," ","0"
"2014","10 point(s)","Quintile 1","Main scheme applicant","Main scheme application","5","5"," ","0"
"2015","10 point(s)","Quintile 1","Main scheme applicant","Main scheme application","5","5"," ","0"
"2016","10 point(s)","Quintile 1","Main scheme applicant","Main scheme application","10","5"," ","0"
"2017","10 point(s)","Quintile 1","Main scheme applicant","Main scheme application","10","10"," ","0"
"2018","10 point(s)","Quintile 1","Main scheme applicant","Main scheme application","10","10","0.917","0"
"2019","10 point(s)","Quintile 1","Main scheme applicant","Main scheme application","10","10"," ","0"
"2020","10 point(s)","Quintile 1","Main scheme applicant","Main scheme application","10","10"," ","0"
"2021","10 point(s)","Quintile 1","Main scheme applicant","Main scheme application","5","5"," ","0"
"2022","10 point(s)","Quintile 1","Main scheme applicant","Main scheme application","15","15","0.8240000000000001","0"
"2023","10 point(s)","Quintile 1","Main scheme applicant","Main scheme application","10","10","1","0"
"2010","11 point(s)","Quintile 1","Main scheme applicant","Main scheme application","5","5"," ","0"
"2011","11 point(s)","Quintile 1","Main scheme applicant","Main scheme application","5","5"," ","0"
"2012","11 point(s)","Quintile 1","Main scheme applicant","Main scheme application","5","5"," ","0"
"2013","11 point(s)","Quintile 1","Main scheme applicant","Main scheme application","5","5"," ","0"
"2014","11 point(s)","Quintile 1","Main scheme applicant","Main scheme application","5","5"," ","0"
"2015","11 point(s)","Quintile 1","Main scheme applicant","Main scheme application","15","10","0.857","0"
"2016","11 point(s)","Quintile 1","Main scheme applicant","Main scheme application","10","10","0.909","0"
"2017","11 point(s)","Quintile 1","Main scheme applicant","Main scheme application","10","10","1","0"
"2018","11 point(s)","Quintile 1","Main scheme applicant","Main scheme application","5","5"," ","0"
"2019","11 point(s)","Quintile 1","Main scheme applicant","Main scheme application","10","10"," ","0"
"2020","11 point(s)","Quintile 1","Main scheme applicant","Main scheme application","15","10","0.786","0"
"2021","11 point(s)","Quintile 1","Main scheme applicant","Main scheme application","15","15","1","0"
"2022","11 point(s)","Quintile 1","Main scheme applicant","Main scheme application","25","25","0.923","0"
"2023","11 point(s)","Quintile 1","Main scheme applicant","Main scheme application","15","15","1","0"
"2010","12 point(s)","Quintile 1","Main scheme applicant","Main scheme application","10","10","0.917","0"
"2011","12 point(s)","Quintile 1","Main scheme applicant","Main scheme application","10","10","1","0"
"2012","12 point(s)","Quintile 1","Main scheme applicant","Main scheme application","20","20","0.857","0"
"2013","12 point(s)","Quintile 1","Main scheme applicant","Main scheme application","15","10","0.75","0"
"2014","12 point(s)","Quintile 1","Main scheme applicant","Main scheme application","20","20","1","0"
"2015","12 point(s)","Quintile 1","Main scheme applicant","Main scheme application","20","20","0.9500000000000001","0"
"2016","12 point(s)","Quintile 1","Main scheme applicant","Main scheme application","20","15","0.85","0"
"2017","12 point(s)","Quintile 1","Main scheme applicant","Main scheme application","30","30","0.968","0"
"2018","12 point(s)","Quintile 1","Main scheme applicant","Main scheme application","25","25","0.962","0"
"2019","12 point(s)","Quintile 1","Main scheme applicant","Main scheme application","25","25","0.9580000000000001","0"
"2020","12 point(s)","Quintile 1","Main scheme applicant","Main scheme application","40","35","0.897","0"
"2021","12 point(s)","Quintile 1","Main scheme applicant","Main scheme application","45","40","0.907","0"
"2022","12 point(s)","Quintile 1","Main scheme applicant","Main scheme application","60","50","0.879","0"
"2023","12 point(s)","Quintile 1","Main scheme applicant","Main scheme application","60","60","0.967","0"
"2010","6 point(s)","Quintile 2","Main scheme applicant","Main scheme application","5","5"," ","0"
"2014","6 point(s)","Quintile 2","Main scheme applicant","Main scheme application","5","0"," ","0"
"2023","6 point(s)","Quintile 2","Main scheme applicant","Main scheme application","5","0"," ","0"
"2010","7 point(s)","Quintile 2","Main scheme applicant","Main scheme application","5","5"," ","0"
"2011","7 point(s)","Quintile 2","Main scheme applicant","Main scheme application","5","5"," ","0"
"2012","7 point(s)","Quintile 2","Main scheme applicant","Main scheme application","5","5"," ","0"
"2013","7 point(s)","Quintile 2","Main scheme applicant","Main scheme application","5","5"," ","0"
"2014","7 point(s)","Quintile 2","Main scheme applicant","Main scheme application","5","5"," ","0"
"2018","7 point(s)","Quintile 2","Main scheme applicant","Main scheme application","10","10"," ","0"
"2019","7 point(s)","Quintile 2","Main scheme applicant","Main scheme application","5","5"," ","0"
"2021","7 point(s)","Quintile 2","Main scheme applicant","Main scheme application","5","5"," ","0"
"2022","7 point(s)","Quintile 2","Main scheme applicant","Main scheme application","5","5"," ","0"
"2023","7 point(s)","Quintile 2","Main scheme applicant","Main scheme application","5","5"," ","0"
"2010","8 point(s)","Quintile 2","Main scheme applicant","Main scheme application","15","15","0.875","0"
"2011","8 point(s)","Quintile 2","Main scheme applicant","Main scheme application","5","5"," ","0"
"2012","8 point(s)","Quintile 2","Main scheme applicant","Main scheme application","5","5"," ","0"
"2013","8 point(s)","Quintile 2","Main scheme applicant","Main scheme application","10","5"," ","0"
"2014","8 point(s)","Quintile 2","Main scheme applicant","Main scheme application","5","5"," ","0"
"2015","8 point(s)","Quintile 2","Main scheme applicant","Main scheme application","5","5"," ","0"
"2016","8 point(s)","Quintile 2","Main scheme applicant","Main scheme application","10","10"," ","0"
"2017","8 point(s)","Quintile 2","Main scheme applicant","Main scheme application","10","10"," ","0"
"2018","8 point(s)","Quintile 2","Main scheme applicant","Main scheme application","5","5"," ","0"
"2019","8 point(s)","Quintile 2","Main scheme applicant","Main scheme application","5","5"," ","0"
"2020","8 point(s)","Quintile 2","Main scheme applicant","Main scheme application","10","10","0.909","0"
"2021","8 point(s)","Quintile 2","Main scheme applicant","Main scheme application","5","5"," ","0"
"2022","8 point(s)","Quintile 2","Main scheme applicant","Main scheme application","10","5"," ","0"
"2023","8 point(s)","Quintile 2","Main scheme applicant","Main scheme application","10","5"," ","0"
"2010","9 point(s)","Quintile 2","Main scheme applicant","Main scheme application","20","15","0.789","0"
"2011","9 point(s)","Quintile 2","Main scheme applicant","Main scheme application","15","10","0.923","0"
"2012","9 point(s)","Quintile 2","Main scheme applicant","Main scheme application","25","20","0.8150000000000001","0"
"2013","9 point(s)","Quintile 2","Main scheme applicant","Main scheme application","20","15","0.842","0"
"2014","9 point(s)","Quintile 2","Main scheme applicant","Main scheme application","20","20","0.9520000000000001","0"
"2015","9 point(s)","Quintile 2","Main scheme applicant","Main scheme application","15","10"," ","0"
"2016","9 point(s)","Quintile 2","Main scheme applicant","Main scheme application","25","20","0.88","0"
"2017","9 point(s)","Quintile 2","Main scheme applicant","Main scheme application","15","15","0.933","0"
"2018","9 point(s)","Quintile 2","Main scheme applicant","Main scheme application","25","20","0.87","0"
"2019","9 point(s)","Quintile 2","Main scheme applicant","Main scheme application","25","25","0.885","0"
"2020","9 point(s)","Quintile 2","Main scheme applicant","Main scheme application","20","15","0.8","0"
"2021","9 point(s)","Quintile 2","Main scheme applicant","Main scheme application","15","15","1","0"
"2022","9 point(s)","Quintile 2","Main scheme applicant","Main scheme application","10","10","1","0"
"2023","9 point(s)","Quintile 2","Main scheme applicant","Main scheme application","35","35","0.972","0"
"2010","10 point(s)","Quintile 2","Main scheme applicant","Main scheme application","15","10","0.857","0"
"2011","10 point(s)","Quintile 2","Main scheme applicant","Main scheme application","20","20","0.9520000000000001","0"
"2012","10 point(s)","Quintile 2","Main scheme applicant","Main scheme application","20","15","0.7000000000000001","0"
"2013","10 point(s)","Quintile 2","Main scheme applicant","Main scheme application","20","20","0.9470000000000001","0"
"2014","10 point(s)","Quintile 2","Main scheme applicant","Main scheme application","20","20","0.857","0"
"2015","10 point(s)","Quintile 2","Main scheme applicant","Main scheme application","20","20","0.9520000000000001","0"
"2016","10 point(s)","Quintile 2","Main scheme applicant","Main scheme application","25","20","0.913","0"
"2017","10 point(s)","Quintile 2","Main scheme applicant","Main scheme application","10","10"," ","0"
"2018","10 point(s)","Quintile 2","Main scheme applicant","Main scheme application","30","30","0.903","0"
"2019","10 point(s)","Quintile 2","Main scheme applicant","Main scheme application","25","25","1","0"
"2020","10 point(s)","Quintile 2","Main scheme applicant","Main scheme application","20","15","0.85","0"
"2021","10 point(s)","Quintile 2","Main scheme applicant","Main scheme application","20","20","0.905","0"
"2022","10 point(s)","Quintile 2","Main scheme applicant","Main scheme application","25","25","0.96","0"
"2023","10 point(s)","Quintile 2","Main scheme applicant","Main scheme application","30","30","0.933","0"
"2010","11 point(s)","Quintile 2","Main scheme applicant","Main scheme application","15","15","0.8130000000000001","0"
"2011","11 point(s)","Quintile 2","Main scheme applicant","Main scheme application","20","15","0.889","0"
"2012","11 point(s)","Quintile 2","Main scheme applicant","Main scheme application","15","10","0.75","0"
"2013","11 point(s)","Quintile 2","Main scheme applicant","Main scheme application","20","20","0.9500000000000001","0"
"2014","11 point(s)","Quintile 2","Main scheme applicant","Main scheme application","20","20","1","0"
"2015","11 point(s)","Quintile 2","Main scheme applicant","Main scheme application","20","15","0.895","0"
"2016","11 point(s)","Quintile 2","Main scheme applicant","Main scheme application","20","15","0.85","0"
"2017","11 point(s)","Quintile 2","Main scheme applicant","Main scheme application","25","20","0.87","0"
"2018","11 point(s)","Quintile 2","Main scheme applicant","Main scheme application","20","15","0.889","0"
"2019","11 point(s)","Quintile 2","Main scheme applicant","Main scheme application","30","25","0.931","0"
"2020","11 point(s)","Quintile 2","Main scheme applicant","Main scheme application","30","25","0.931","0"
"2021","11 point(s)","Quintile 2","Main scheme applicant","Main scheme application","35","35","0.917","0"
"2022","11 point(s)","Quintile 2","Main scheme applicant","Main scheme application","25","25","0.852","0"
"2023","11 point(s)","Quintile 2","Main scheme applicant","Main scheme application","15","15","0.9410000000000001","0"
"2010","12 point(s)","Quintile 2","Main scheme applicant","Main scheme application","40","35","0.881","0"
"2011","12 point(s)","Quintile 2","Main scheme applicant","Main scheme application","30","30","0.906","0"
"2012","12 point(s)","Quintile 2","Main scheme applicant","Main scheme application","50","50","0.98","0"
"2013","12 point(s)","Quintile 2","Main scheme applicant","Main scheme application","50","45","0.9400000000000001","0"
"2014","12 point(s)","Quintile 2","Main scheme applicant","Main scheme application","45","45","0.936","0"
"2015","12 point(s)","Quintile 2","Main scheme applicant","Main scheme application","50","45","0.92","0"
"2016","12 point(s)","Quintile 2","Main scheme applicant","Main scheme application","65","60","0.894","0"
"2017","12 point(s)","Quintile 2","Main scheme applicant","Main scheme application","55","50","0.891","0"
"2018","12 point(s)","Quintile 2","Main scheme applicant","Main scheme application","85","70","0.847","0"
"2019","12 point(s)","Quintile 2","Main scheme applicant","Main scheme application","75","65","0.904","0"
"2020","12 point(s)","Quintile 2","Main scheme applicant","Main scheme application","75","70","0.907","0"
"2021","12 point(s)","Quintile 2","Main scheme applicant","Main scheme application","70","65","0.917","0"
"2022","12 point(s)","Quintile 2","Main scheme applicant","Main scheme application","110","100","0.9","0"
"2023","12 point(s)","Quintile 2","Main scheme applicant","Main scheme application","90","85","0.9550000000000001","0"
"2023","5 point(s)","Quintile 3","Main scheme applicant","Main scheme application","5","0"," ","0"
"2012","6 point(s)","Quintile 3","Main scheme applicant","Main scheme application","5","5"," ","0"
"2013","6 point(s)","Quintile 3","Main scheme applicant","Main scheme application","5","5"," ","0"
"2014","6 point(s)","Quintile 3","Main scheme applicant","Main scheme application","5","0"," ","0"
"2016","6 point(s)","Quintile 3","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","6 point(s)","Quintile 3","Main scheme applicant","Main scheme application","5","0"," ","0"
"2020","6 point(s)","Quintile 3","Main scheme applicant","Main scheme application","5","5"," ","0"
"2021","6 point(s)","Quintile 3","Main scheme applicant","Main scheme application","5","5"," ","0"
"2022","6 point(s)","Quintile 3","Main scheme applicant","Main scheme application","5","5"," ","0"
"2023","6 point(s)","Quintile 3","Main scheme applicant","Main scheme application","5","5"," ","0"
"2010","7 point(s)","Quintile 3","Main scheme applicant","Main scheme application","10","5"," ","0"
"2011","7 point(s)","Quintile 3","Main scheme applicant","Main scheme application","10","5"," ","0"
"2012","7 point(s)","Quintile 3","Main scheme applicant","Main scheme application","5","5"," ","0"
"2013","7 point(s)","Quintile 3","Main scheme applicant","Main scheme application","10","10","0.833","0"
"2014","7 point(s)","Quintile 3","Main scheme applicant","Main scheme application","10","5"," ","0"
"2015","7 point(s)","Quintile 3","Main scheme applicant","Main scheme application","5","5"," ","0"
"2018","7 point(s)","Quintile 3","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","7 point(s)","Quintile 3","Main scheme applicant","Main scheme application","5","5"," ","0"
"2020","7 point(s)","Quintile 3","Main scheme applicant","Main scheme application","5","5"," ","0"
"2021","7 point(s)","Quintile 3","Main scheme applicant","Main scheme application","5","5"," ","0"
"2022","7 point(s)","Quintile 3","Main scheme applicant","Main scheme application","10","5"," ","0"
"2023","7 point(s)","Quintile 3","Main scheme applicant","Main scheme application","5","5"," ","0"
"2010","8 point(s)","Quintile 3","Main scheme applicant","Main scheme application","25","20","0.75","0"
"2011","8 point(s)","Quintile 3","Main scheme applicant","Main scheme application","15","15","0.882","0"
"2012","8 point(s)","Quintile 3","Main scheme applicant","Main scheme application","30","20","0.6880000000000001","0"
"2013","8 point(s)","Quintile 3","Main scheme applicant","Main scheme application","20","20","0.864","0"
"2014","8 point(s)","Quintile 3","Main scheme applicant","Main scheme application","20","15","0.833","0"
"2015","8 point(s)","Quintile 3","Main scheme applicant","Main scheme application","10","10"," ","0"
"2016","8 point(s)","Quintile 3","Main scheme applicant","Main scheme application","20","15","0.737","0"
"2017","8 point(s)","Quintile 3","Main scheme applicant","Main scheme application","15","15","0.765","0"
"2018","8 point(s)","Quintile 3","Main scheme applicant","Main scheme application","15","10","0.769","0"
