"Year","Predicted A level points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2010","9 point(s)","Unknown","All","Not main scheme application","5","5"," ","0"
"2011","9 point(s)","Unknown","All","Not main scheme application","5","5"," ","0"
"2014","9 point(s)","Unknown","All","Not main scheme application","5","0"," ","0"
"2015","9 point(s)","Unknown","All","Not main scheme application","5","5"," ","0"
"2012","10 point(s)","Unknown","All","Not main scheme application","5","5"," ","0"
"2010","11 point(s)","Unknown","All","Not main scheme application","5","5"," ","0"
"2011","11 point(s)","Unknown","All","Not main scheme application","5","5"," ","0"
"2012","11 point(s)","Unknown","All","Not main scheme application","5","5"," ","0"
"2017","11 point(s)","Unknown","All","Not main scheme application","5","5"," ","0"
"2010","12 point(s)","Unknown","All","Not main scheme application","5","5"," ","0"
"2011","12 point(s)","Unknown","All","Not main scheme application","5","5"," ","0"
"2012","12 point(s)","Unknown","All","Not main scheme application","5","5"," ","0"
"2013","12 point(s)","Unknown","All","Not main scheme application","5","5"," ","0"
"2014","12 point(s)","Unknown","All","Not main scheme application","5","5"," ","0"
"2016","12 point(s)","Unknown","All","Not main scheme application","5","5"," ","0"
"2010","13 point(s)","Unknown","All","Not main scheme application","5","0"," ","0"
"2012","13 point(s)","Unknown","All","Not main scheme application","5","5"," ","0"
"2014","13 point(s)","Unknown","All","Not main scheme application","5","5"," ","0"
"2016","13 point(s)","Unknown","All","Not main scheme application","5","5"," ","0"
"2017","13 point(s)","Unknown","All","Not main scheme application","5","5"," ","0"
"2018","13 point(s)","Unknown","All","Not main scheme application","5","5"," ","0"
"2019","13 point(s)","Unknown","All","Not main scheme application","5","5"," ","0"
"2021","13 point(s)","Unknown","All","Not main scheme application","5","5"," ","0"
"2012","14 point(s)","Unknown","All","Not main scheme application","10","5"," ","0"
"2017","14 point(s)","Unknown","All","Not main scheme application","5","5"," ","0"
"2018","14 point(s)","Unknown","All","Not main scheme application","5","5"," ","0"
"2019","14 point(s)","Unknown","All","Not main scheme application","5","5"," ","0"
"2021","14 point(s)","Unknown","All","Not main scheme application","5","0"," ","0"
"2010","15 point(s)","Unknown","All","Not main scheme application","5","5"," ","0"
"2011","15 point(s)","Unknown","All","Not main scheme application","5","5"," ","0"
"2012","15 point(s)","Unknown","All","Not main scheme application","5","0"," ","0"
"2013","15 point(s)","Unknown","All","Not main scheme application","5","5"," ","0"
"2014","15 point(s)","Unknown","All","Not main scheme application","5","5"," ","0"
"2015","15 point(s)","Unknown","All","Not main scheme application","5","0"," ","0"
"2016","15 point(s)","Unknown","All","Not main scheme application","5","5"," ","0"
"2017","15 point(s)","Unknown","All","Not main scheme application","5","0"," ","0"
"2018","15 point(s)","Unknown","All","Not main scheme application","5","5"," ","0"
"2020","15 point(s)","Unknown","All","Not main scheme application","5","5"," ","0"
"2013","16 point(s)","Unknown","All","Not main scheme application","5","5"," ","0"
"2014","16 point(s)","Unknown","All","Not main scheme application","5","5"," ","0"
"2019","16 point(s)","Unknown","All","Not main scheme application","5","5"," ","0"
"2022","3 point(s)","Quintile 1","All","Not main scheme application","5","5"," ","0"
"2010","4 point(s)","Quintile 1","All","Not main scheme application","5","5"," ","0"
"2011","4 point(s)","Quintile 1","All","Not main scheme application","5","0"," ","0"
"2021","4 point(s)","Quintile 1","All","Not main scheme application","5","5"," ","0"
"2022","4 point(s)","Quintile 1","All","Not main scheme application","5","5"," ","0"
"2023","4 point(s)","Quintile 1","All","Not main scheme application","5","5"," ","0"
"2010","5 point(s)","Quintile 1","All","Not main scheme application","15","10","0.714","0"
"2011","5 point(s)","Quintile 1","All","Not main scheme application","10","10"," ","0"
"2012","5 point(s)","Quintile 1","All","Not main scheme application","5","5"," ","0"
"2014","5 point(s)","Quintile 1","All","Not main scheme application","5","5"," ","0"
"2016","5 point(s)","Quintile 1","All","Not main scheme application","5","5"," ","0"
"2017","5 point(s)","Quintile 1","All","Not main scheme application","5","5"," ","0"
"2018","5 point(s)","Quintile 1","All","Not main scheme application","5","5"," ","0"
"2019","5 point(s)","Quintile 1","All","Not main scheme application","5","5"," ","0"
"2020","5 point(s)","Quintile 1","All","Not main scheme application","5","5"," ","0"
"2021","5 point(s)","Quintile 1","All","Not main scheme application","10","10"," ","0"
"2022","5 point(s)","Quintile 1","All","Not main scheme application","10","10"," ","0"
"2023","5 point(s)","Quintile 1","All","Not main scheme application","5","5"," ","0"
"2010","6 point(s)","Quintile 1","All","Not main scheme application","35","30","0.848","0"
"2011","6 point(s)","Quintile 1","All","Not main scheme application","40","30","0.6900000000000001","0"
"2012","6 point(s)","Quintile 1","All","Not main scheme application","15","15","0.765","0"
"2013","6 point(s)","Quintile 1","All","Not main scheme application","15","15","1","0"
"2014","6 point(s)","Quintile 1","All","Not main scheme application","20","15","0.895","0"
"2015","6 point(s)","Quintile 1","All","Not main scheme application","10","10"," ","0"
"2016","6 point(s)","Quintile 1","All","Not main scheme application","10","10","0.909","0"
"2017","6 point(s)","Quintile 1","All","Not main scheme application","10","10"," ","0"
"2018","6 point(s)","Quintile 1","All","Not main scheme application","5","5"," ","0"
"2019","6 point(s)","Quintile 1","All","Not main scheme application","15","15","0.875","0"
"2020","6 point(s)","Quintile 1","All","Not main scheme application","15","15","1","0"
"2021","6 point(s)","Quintile 1","All","Not main scheme application","15","15","0.929","0"
"2022","6 point(s)","Quintile 1","All","Not main scheme application","30","25","0.897","0"
"2023","6 point(s)","Quintile 1","All","Not main scheme application","25","20","0.84","0"
"2010","7 point(s)","Quintile 1","All","Not main scheme application","60","50","0.852","0"
"2011","7 point(s)","Quintile 1","All","Not main scheme application","65","45","0.7010000000000001","0"
"2012","7 point(s)","Quintile 1","All","Not main scheme application","40","30","0.842","0"
"2013","7 point(s)","Quintile 1","All","Not main scheme application","50","45","0.896","0"
"2014","7 point(s)","Quintile 1","All","Not main scheme application","35","30","0.914","0"
"2015","7 point(s)","Quintile 1","All","Not main scheme application","25","20","0.917","0"
"2016","7 point(s)","Quintile 1","All","Not main scheme application","25","20","0.8260000000000001","0"
"2017","7 point(s)","Quintile 1","All","Not main scheme application","30","30","0.966","0"
"2018","7 point(s)","Quintile 1","All","Not main scheme application","30","30","0.903","0"
"2019","7 point(s)","Quintile 1","All","Not main scheme application","30","30","0.935","0"
"2020","7 point(s)","Quintile 1","All","Not main scheme application","35","35","0.972","0"
"2021","7 point(s)","Quintile 1","All","Not main scheme application","30","25","0.897","0"
"2022","7 point(s)","Quintile 1","All","Not main scheme application","30","25","0.867","0"
"2023","7 point(s)","Quintile 1","All","Not main scheme application","40","40","0.905","0"
"2010","8 point(s)","Quintile 1","All","Not main scheme application","105","85","0.798","0"
"2011","8 point(s)","Quintile 1","All","Not main scheme application","105","90","0.864","0"
"2012","8 point(s)","Quintile 1","All","Not main scheme application","75","65","0.867","0"
"2013","8 point(s)","Quintile 1","All","Not main scheme application","70","65","0.875","0"
"2014","8 point(s)","Quintile 1","All","Not main scheme application","60","55","0.903","0"
"2015","8 point(s)","Quintile 1","All","Not main scheme application","50","50","0.961","0"
"2016","8 point(s)","Quintile 1","All","Not main scheme application","75","65","0.882","0"
"2017","8 point(s)","Quintile 1","All","Not main scheme application","55","50","0.929","0"
"2018","8 point(s)","Quintile 1","All","Not main scheme application","50","45","0.863","0"
"2019","8 point(s)","Quintile 1","All","Not main scheme application","45","45","0.9570000000000001","0"
"2020","8 point(s)","Quintile 1","All","Not main scheme application","45","40","0.872","0"
"2021","8 point(s)","Quintile 1","All","Not main scheme application","35","35","0.9440000000000001","0"
"2022","8 point(s)","Quintile 1","All","Not main scheme application","55","55","0.9470000000000001","0"
"2023","8 point(s)","Quintile 1","All","Not main scheme application","70","65","0.914","0"
"2010","9 point(s)","Quintile 1","All","Not main scheme application","170","145","0.869","0"
"2011","9 point(s)","Quintile 1","All","Not main scheme application","210","175","0.8320000000000001","0"
"2012","9 point(s)","Quintile 1","All","Not main scheme application","175","155","0.864","0"
"2013","9 point(s)","Quintile 1","All","Not main scheme application","150","130","0.854","0"
"2014","9 point(s)","Quintile 1","All","Not main scheme application","130","115","0.906","0"
