"Year","Predicted A level points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2018","15 point(s)","All","Main scheme applicant","Main scheme application","25455","19045","0.748","0"
"2019","15 point(s)","All","Main scheme applicant","Main scheme application","25535","18255","0.715","0"
"2020","15 point(s)","All","Main scheme applicant","Main scheme application","25740","18420","0.716","0"
"2021","15 point(s)","All","Main scheme applicant","Main scheme application","27455","21795","0.794","0"
"2022","15 point(s)","All","Main scheme applicant","Main scheme application","27780","19775","0.712","0"
"2023","15 point(s)","All","Main scheme applicant","Main scheme application","28080","19370","0.6900000000000001","0"
"2010","16 point(s)","All","Main scheme applicant","Main scheme application","10710","8925","0.833","0"
"2011","16 point(s)","All","Main scheme applicant","Main scheme application","13460","11380","0.845","0"
"2012","16 point(s)","All","Main scheme applicant","Main scheme application","14590","12045","0.8260000000000001","0"
"2013","16 point(s)","All","Main scheme applicant","Main scheme application","15350","12635","0.8230000000000001","0"
"2014","16 point(s)","All","Main scheme applicant","Main scheme application","15670","12675","0.809","0"
"2015","16 point(s)","All","Main scheme applicant","Main scheme application","15925","12910","0.811","0"
"2016","16 point(s)","All","Main scheme applicant","Main scheme application","16240","13120","0.808","0"
"2017","16 point(s)","All","Main scheme applicant","Main scheme application","16920","13445","0.795","0"
"2018","16 point(s)","All","Main scheme applicant","Main scheme application","16760","12880","0.769","0"
"2019","16 point(s)","All","Main scheme applicant","Main scheme application","18320","13560","0.74","0"
"2020","16 point(s)","All","Main scheme applicant","Main scheme application","18905","14050","0.743","0"
"2021","16 point(s)","All","Main scheme applicant","Main scheme application","20490","16745","0.8170000000000001","0"
"2022","16 point(s)","All","Main scheme applicant","Main scheme application","23040","16805","0.729","0"
"2023","16 point(s)","All","Main scheme applicant","Main scheme application","24265","17150","0.707","0"
"2010","17 point(s)","All","Main scheme applicant","Main scheme application","6835","5880","0.86","0"
"2011","17 point(s)","All","Main scheme applicant","Main scheme application","8265","7215","0.873","0"
"2012","17 point(s)","All","Main scheme applicant","Main scheme application","9460","8090","0.855","0"
"2013","17 point(s)","All","Main scheme applicant","Main scheme application","9515","8120","0.853","0"
"2014","17 point(s)","All","Main scheme applicant","Main scheme application","9750","8225","0.843","0"
"2015","17 point(s)","All","Main scheme applicant","Main scheme application","10260","8670","0.845","0"
"2016","17 point(s)","All","Main scheme applicant","Main scheme application","10595","8880","0.838","0"
"2017","17 point(s)","All","Main scheme applicant","Main scheme application","10935","9085","0.8310000000000001","0"
"2018","17 point(s)","All","Main scheme applicant","Main scheme application","11350","9330","0.8220000000000001","0"
"2019","17 point(s)","All","Main scheme applicant","Main scheme application","12500","9960","0.797","0"
"2020","17 point(s)","All","Main scheme applicant","Main scheme application","13220","10535","0.797","0"
"2021","17 point(s)","All","Main scheme applicant","Main scheme application","15025","12845","0.855","0"
"2022","17 point(s)","All","Main scheme applicant","Main scheme application","17405","13365","0.768","0"
"2023","17 point(s)","All","Main scheme applicant","Main scheme application","19250","14430","0.75","0"
"2010","18 point(s)","All","Main scheme applicant","Main scheme application","7890","7070","0.896","0"
"2011","18 point(s)","All","Main scheme applicant","Main scheme application","9265","8465","0.914","0"
"2012","18 point(s)","All","Main scheme applicant","Main scheme application","10335","9240","0.894","0"
"2013","18 point(s)","All","Main scheme applicant","Main scheme application","10060","8920","0.887","0"
"2014","18 point(s)","All","Main scheme applicant","Main scheme application","10000","8975","0.898","0"
"2015","18 point(s)","All","Main scheme applicant","Main scheme application","10805","9700","0.898","0"
"2016","18 point(s)","All","Main scheme applicant","Main scheme application","10725","9525","0.888","0"
"2017","18 point(s)","All","Main scheme applicant","Main scheme application","10485","9310","0.888","0"
"2018","18 point(s)","All","Main scheme applicant","Main scheme application","11170","9775","0.875","0"
"2019","18 point(s)","All","Main scheme applicant","Main scheme application","12480","10820","0.867","0"
"2020","18 point(s)","All","Main scheme applicant","Main scheme application","13820","12095","0.875","0"
"2021","18 point(s)","All","Main scheme applicant","Main scheme application","16280","14535","0.893","0"
"2022","18 point(s)","All","Main scheme applicant","Main scheme application","21240","17770","0.837","0"
"2023","18 point(s)","All","Main scheme applicant","Main scheme application","23635","19670","0.8320000000000001","0"
"2010","All","All","Not main scheme applicant","Not main scheme application","50","45","0.9380000000000001","25"
"2011","All","All","Not main scheme applicant","Not main scheme application","90","85","0.9450000000000001","40"
"2012","All","All","Not main scheme applicant","Not main scheme application","80","75","0.9510000000000001","30"
"2013","All","All","Not main scheme applicant","Not main scheme application","115","110","0.965","25"
"2014","All","All","Not main scheme applicant","Not main scheme application","55","55","0.9460000000000001","15"
"2015","All","All","Not main scheme applicant","Not main scheme application","90","85","0.977","20"
"2016","All","All","Not main scheme applicant","Not main scheme application","100","100","0.961","15"
"2017","All","All","Not main scheme applicant","Not main scheme application","90","85","0.935","15"
"2018","All","All","Not main scheme applicant","Not main scheme application","120","115","0.9500000000000001","20"
"2019","All","All","Not main scheme applicant","Not main scheme application","130","120","0.93","20"
"2020","All","All","Not main scheme applicant","Not main scheme application","380","365","0.961","85"
"2021","All","All","Not main scheme applicant","Not main scheme application","110","105","0.963","30"
"2022","All","All","Not main scheme applicant","Not main scheme application","85","80","0.931","20"
"2023","All","All","Not main scheme applicant","Not main scheme application","130","125","0.932","30"
"2010","All","All","Main scheme applicant","Not main scheme application","18165","16210","0.892","0"
"2011","All","All","Main scheme applicant","Not main scheme application","21905","19545","0.892","0"
"2012","All","All","Main scheme applicant","Not main scheme application","19975","18355","0.919","0"
"2013","All","All","Main scheme applicant","Not main scheme application","18980","17540","0.924","0"
"2014","All","All","Main scheme applicant","Not main scheme application","21310","19720","0.925","0"
"2015","All","All","Main scheme applicant","Not main scheme application","21775","20340","0.934","0"
"2016","All","All","Main scheme applicant","Not main scheme application","23370","21745","0.93","0"
"2017","All","All","Main scheme applicant","Not main scheme application","24635","23135","0.9390000000000001","0"
"2018","All","All","Main scheme applicant","Not main scheme application","24220","22805","0.9420000000000001","0"
"2019","All","All","Main scheme applicant","Not main scheme application","27150","25625","0.9440000000000001","0"
"2020","All","All","Main scheme applicant","Not main scheme application","29330","28025","0.9560000000000001","0"
"2021","All","All","Main scheme applicant","Not main scheme application","19055","17785","0.933","0"
"2022","All","All","Main scheme applicant","Not main scheme application","26735","24580","0.919","0"
"2023","All","All","Main scheme applicant","Not main scheme application","30595","28375","0.927","0"
"2010","All","All","Main scheme applicant","Main scheme application","182035","133140","0.731","0"
"2011","All","All","Main scheme applicant","Main scheme application","181420","134125","0.739","0"
"2012","All","All","Main scheme applicant","Main scheme application","173820","128435","0.739","0"
"2013","All","All","Main scheme applicant","Main scheme application","173090","131870","0.762","0"
"2014","All","All","Main scheme applicant","Main scheme application","170805","127730","0.748","0"
"2015","All","All","Main scheme applicant","Main scheme application","175030","131985","0.754","0"
"2016","All","All","Main scheme applicant","Main scheme application","174665","131355","0.752","0"
"2017","All","All","Main scheme applicant","Main scheme application","176345","131555","0.746","0"
"2018","All","All","Main scheme applicant","Main scheme application","171370","127580","0.744","0"
"2019","All","All","Main scheme applicant","Main scheme application","169430","122920","0.725","0"
"2020","All","All","Main scheme applicant","Main scheme application","168805","124825","0.739","0"
"2021","All","All","Main scheme applicant","Main scheme application","182080","144025","0.791","0"
"2022","All","All","Main scheme applicant","Main scheme application","190125","138005","0.726","0"
"2023","All","All","Main scheme applicant","Main scheme application","191040","134515","0.704","0"
