"Year","Subject group HECoS","Detailed subject group HECoS","POLAR4 Quintile","Main scheme applicant","Main scheme application","Accepted applicants"
"2021","(CAH15) social sciences","(CAH15-02-01) economics","Unknown","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH15) social sciences","(CAH15-02-01) economics","Unknown","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","Unknown","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","Unknown","Not main scheme applicant","Not main scheme application","15"
"2021","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","Unknown","Not main scheme applicant","Not main scheme application","10"
"2022","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","Unknown","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","Unknown","Not main scheme applicant","Not main scheme application","10"
"2019","(CAH15) social sciences","(CAH15-04-01) social work","Unknown","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH15) social sciences","(CAH15-04-01) social work","Unknown","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH15) social sciences","(CAH15-04-01) social work","Unknown","Not main scheme applicant","Not main scheme application","10"
"2022","(CAH15) social sciences","(CAH15-04-01) social work","Unknown","Not main scheme applicant","Not main scheme application","20"
"2023","(CAH15) social sciences","(CAH15-04-01) social work","Unknown","Not main scheme applicant","Not main scheme application","10"
"2019","(CAH15) social sciences","(CAH15-01-01) social sciences (non-specific)","Unknown","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH15) social sciences","(CAH15-04-03) health studies","Unknown","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH15) social sciences","(CAH15-04-03) health studies","Unknown","Not main scheme applicant","Not main scheme application","10"
"2021","(CAH15) social sciences","(CAH15-04-03) health studies","Unknown","Not main scheme applicant","Not main scheme application","15"
"2022","(CAH15) social sciences","(CAH15-04-03) health studies","Unknown","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH15) social sciences","(CAH15-04-03) health studies","Unknown","Not main scheme applicant","Not main scheme application","40"
"2020","(CAH15) social sciences","(CAH15-01-03) social policy","Unknown","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH15) social sciences","(CAH15-01-03) social policy","Unknown","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH15) social sciences","(CAH15-01-02) sociology","Unknown","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH15) social sciences","(CAH15-01-02) sociology","Unknown","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH15) social sciences","(CAH15-01-02) sociology","Unknown","Not main scheme applicant","Not main scheme application","15"
"2022","(CAH15) social sciences","(CAH15-01-02) sociology","Unknown","Not main scheme applicant","Not main scheme application","20"
"2023","(CAH15) social sciences","(CAH15-01-02) sociology","Unknown","Not main scheme applicant","Not main scheme application","20"
"2019","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","Unknown","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","Unknown","Not main scheme applicant","Not main scheme application","15"
"2021","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","Unknown","Not main scheme applicant","Not main scheme application","15"
"2022","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","Unknown","Not main scheme applicant","Not main scheme application","25"
"2023","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","Unknown","Not main scheme applicant","Not main scheme application","15"
"2023","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","Unknown","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","Unknown","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","Unknown","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Unknown","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Unknown","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH13) architecture, building and planning","(CAH13-01-02) building","Unknown","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH13) architecture, building and planning","(CAH13-01-02) building","Unknown","Not main scheme applicant","Not main scheme application","10"
"2019","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Unknown","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Unknown","Not main scheme applicant","Not main scheme application","15"
"2021","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Unknown","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","Unknown","Not main scheme applicant","Not main scheme application","30"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","Unknown","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","Unknown","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","Unknown","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","Unknown","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-01-04) heritage studies","Unknown","Not main scheme applicant","Not main scheme application","10"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-01-04) heritage studies","Unknown","Not main scheme applicant","Not main scheme application","5"
