"Year","POLAR4 Quintile","Age group","Domicile","Gender","Self-released","Applied after self-releasing","Placed after self-releasing"
"2019","Quintile 1","19","Northern Ireland","Female","10","5","5"
"2020","Quintile 1","19","Northern Ireland","Female","15","5","5"
"2021","Quintile 1","19","Northern Ireland","Female","10","5","5"
"2022","Quintile 1","19","Northern Ireland","Female","10","0","0"
"2023","Quintile 1","19","Northern Ireland","Female","10","5","5"
"2019","Quintile 1","19","England","Female","215","175","175"
"2020","Quintile 1","19","England","Female","240","195","195"
"2021","Quintile 1","19","England","Female","220","155","150"
"2022","Quintile 1","19","England","Female","250","160","155"
"2023","Quintile 1","19","England","Female","265","180","175"
"2021","Quintile 1","19","Scotland","Female","5","0","0"
"2022","Quintile 1","19","Scotland","Female","5","0","0"
"2023","Quintile 1","19","Scotland","Female","5","0","0"
"2019","Quintile 1","19","Wales","Female","20","15","15"
"2020","Quintile 1","19","Wales","Female","20","15","15"
"2021","Quintile 1","19","Wales","Female","20","10","10"
"2022","Quintile 1","19","Wales","Female","15","10","10"
"2023","Quintile 1","19","Wales","Female","15","10","10"
"2019","Quintile 2","19","Northern Ireland","Female","5","5","5"
"2020","Quintile 2","19","Northern Ireland","Female","5","5","5"
"2021","Quintile 2","19","Northern Ireland","Female","10","10","10"
"2022","Quintile 2","19","Northern Ireland","Female","10","5","5"
"2023","Quintile 2","19","Northern Ireland","Female","10","5","5"
"2019","Quintile 2","19","England","Female","265","220","215"
"2020","Quintile 2","19","England","Female","350","270","265"
"2021","Quintile 2","19","England","Female","270","190","185"
"2022","Quintile 2","19","England","Female","335","220","215"
"2023","Quintile 2","19","England","Female","390","275","270"
"2019","Quintile 2","19","Scotland","Female","10","5","5"
"2020","Quintile 2","19","Scotland","Female","15","10","10"
"2022","Quintile 2","19","Scotland","Female","15","10","5"
"2023","Quintile 2","19","Scotland","Female","15","5","5"
"2019","Quintile 2","19","Wales","Female","20","15","15"
"2020","Quintile 2","19","Wales","Female","25","20","20"
"2021","Quintile 2","19","Wales","Female","15","10","10"
"2022","Quintile 2","19","Wales","Female","25","10","10"
"2023","Quintile 2","19","Wales","Female","30","20","20"
"2019","Quintile 3","19","Northern Ireland","Female","20","10","10"
"2020","Quintile 3","19","Northern Ireland","Female","20","15","15"
"2021","Quintile 3","19","Northern Ireland","Female","20","10","10"
"2022","Quintile 3","19","Northern Ireland","Female","10","5","5"
"2023","Quintile 3","19","Northern Ireland","Female","10","5","5"
"2019","Quintile 3","19","England","Female","380","320","320"
"2020","Quintile 3","19","England","Female","475","400","400"
"2021","Quintile 3","19","England","Female","375","285","280"
"2022","Quintile 3","19","England","Female","420","285","280"
"2023","Quintile 3","19","England","Female","460","335","325"
"2019","Quintile 3","19","Scotland","Female","10","5","5"
"2020","Quintile 3","19","Scotland","Female","10","10","10"
"2021","Quintile 3","19","Scotland","Female","10","5","5"
