"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2020","UK","England","England","20","Female","Not main scheme applicant","Not main scheme application","115","95","0.8210000000000001","0"
"2021","UK","England","England","20","Female","Not main scheme applicant","Not main scheme application","80","60","0.744","0"
"2022","UK","England","England","20","Female","Not main scheme applicant","Not main scheme application","125","100","0.802","0"
"2023","UK","England","England","20","Female","Not main scheme applicant","Not main scheme application","185","145","0.798","0"
"2021","UK","Northern Ireland","Northern Ireland","20","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","UK","Northern Ireland","Northern Ireland","20","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","UK","Scotland","Scotland","20","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","UK","Scotland","Scotland","20","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2022","UK","Scotland","Scotland","20","Female","Not main scheme applicant","Not main scheme application","15","10"," ","0"
"2023","UK","Scotland","Scotland","20","Female","Not main scheme applicant","Not main scheme application","25","20","0.8260000000000001","0"
"2019","UK","Wales","Wales","20","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","UK","Wales","Wales","20","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","UK","Wales","Wales","20","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","International","EU (excluding UK)","Ireland","20","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","International","EU (excluding UK)","Ireland","20","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","International","Not EU","India","20","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","International","Not EU","Zimbabwe","20","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","International","Not EU","Not Known","20","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","UK","England","England","21 - 24","Female","Not main scheme applicant","Not main scheme application","370","335","0.903","0"
"2020","UK","England","England","21 - 24","Female","Not main scheme applicant","Not main scheme application","465","395","0.848","0"
"2021","UK","England","England","21 - 24","Female","Not main scheme applicant","Not main scheme application","210","170","0.8150000000000001","0"
"2022","UK","England","England","21 - 24","Female","Not main scheme applicant","Not main scheme application","330","260","0.777","0"
"2023","UK","England","England","21 - 24","Female","Not main scheme applicant","Not main scheme application","390","315","0.803","0"
"2019","UK","Northern Ireland","Northern Ireland","21 - 24","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","UK","Northern Ireland","Northern Ireland","21 - 24","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","UK","Scotland","Scotland","21 - 24","Female","Not main scheme applicant","Not main scheme application","30","20","0.724","0"
"2020","UK","Scotland","Scotland","21 - 24","Female","Not main scheme applicant","Not main scheme application","40","35","0.854","0"
"2021","UK","Scotland","Scotland","21 - 24","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","UK","Scotland","Scotland","21 - 24","Female","Not main scheme applicant","Not main scheme application","60","40","0.712","0"
"2023","UK","Scotland","Scotland","21 - 24","Female","Not main scheme applicant","Not main scheme application","65","55","0.905","0"
