"Year","POLAR4 Quintile","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2013","Quintile 2","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2014","Quintile 2","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2015","Quintile 2","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","Quintile 2","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2017","Quintile 2","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","Quintile 2","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2019","Quintile 2","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.933","0"
"2020","Quintile 2","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2021","Quintile 2","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","Quintile 2","17 and under","England","Female","Not main scheme applicant","Not main scheme application","25","20","0.833","0"
"2023","Quintile 2","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.882","0"
"2007","Quintile 2","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2008","Quintile 2","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2009","Quintile 2","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2010","Quintile 2","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2011","Quintile 2","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","Quintile 2","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2013","Quintile 2","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","Quintile 2","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2016","Quintile 2","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2017","Quintile 2","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2018","Quintile 2","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2019","Quintile 2","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","20","20","0.9500000000000001","0"
"2020","Quintile 2","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","20","15","0.9440000000000001","0"
"2021","Quintile 2","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","15","10","0.857","0"
"2022","Quintile 2","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","20","20","1","0"
"2023","Quintile 2","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","20","15","0.9440000000000001","0"
"2019","Quintile 2","17 and under","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2006","Quintile 3","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2007","Quintile 3","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10","0.917","0"
"2008","Quintile 3","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2009","Quintile 3","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2010","Quintile 3","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2011","Quintile 3","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","Quintile 3","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2013","Quintile 3","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","Quintile 3","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2015","Quintile 3","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10","0.909","0"
"2016","Quintile 3","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2017","Quintile 3","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.929","0"
"2018","Quintile 3","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2019","Quintile 3","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","Quintile 3","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15","10","0.923","0"
"2021","Quintile 3","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2022","Quintile 3","17 and under","England","Female","Not main scheme applicant","Not main scheme application","20","20","1","0"
"2023","Quintile 3","17 and under","England","Female","Not main scheme applicant","Not main scheme application","20","15","0.737","5"
"2006","Quintile 3","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2007","Quintile 3","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2008","Quintile 3","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","30","30","1","0"
"2009","Quintile 3","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2010","Quintile 3","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","20","20","1","0"
"2011","Quintile 3","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","Quintile 3","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","20","20","1","0"
"2013","Quintile 3","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2014","Quintile 3","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","Quintile 3","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2016","Quintile 3","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2017","Quintile 3","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","20","15","0.842","0"
"2018","Quintile 3","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","20","20","1","0"
"2019","Quintile 3","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","20","20","1","0"
"2020","Quintile 3","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","25","25","0.926","5"
"2021","Quintile 3","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","20","20","1","0"
"2022","Quintile 3","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","15","15","0.882","0"
"2023","Quintile 3","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","30","30","0.9380000000000001","0"
"2008","Quintile 3","17 and under","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2006","Quintile 4","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2007","Quintile 4","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15","15","1","5"
"2008","Quintile 4","17 and under","England","Female","Not main scheme applicant","Not main scheme application","30","30","1","10"
"2009","Quintile 4","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.933","5"
"2010","Quintile 4","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2011","Quintile 4","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","5"
"2013","Quintile 4","17 and under","England","Female","Not main scheme applicant","Not main scheme application","20","20","0.909","5"
"2014","Quintile 4","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2015","Quintile 4","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15","10","0.846","0"
"2016","Quintile 4","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2017","Quintile 4","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2018","Quintile 4","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10","0.917","0"
"2019","Quintile 4","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2020","Quintile 4","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15","10","0.786","5"
"2021","Quintile 4","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2022","Quintile 4","17 and under","England","Female","Not main scheme applicant","Not main scheme application","25","20","0.84","0"
"2023","Quintile 4","17 and under","England","Female","Not main scheme applicant","Not main scheme application","25","15","0.6960000000000001","5"
"2006","Quintile 4","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","15","15","0.882","0"
"2007","Quintile 4","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","20","20","0.9520000000000001","0"
"2008","Quintile 4","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","40","40","0.974","0"
"2009","Quintile 4","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2010","Quintile 4","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","20","20","1","0"
"2011","Quintile 4","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2012","Quintile 4","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","25","25","1","0"
"2013","Quintile 4","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","25","25","1","0"
"2014","Quintile 4","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","Quintile 4","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","30","30","0.968","0"
"2016","Quintile 4","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","30","30","0.967","0"
"2017","Quintile 4","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","25","25","0.96","0"
"2018","Quintile 4","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","35","35","1","0"
"2019","Quintile 4","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","40","35","0.895","0"
"2020","Quintile 4","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","35","35","0.971","5"
"2021","Quintile 4","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","20","20","0.9500000000000001","0"
"2022","Quintile 4","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","40","40","1","5"
"2023","Quintile 4","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","40","40","0.975","0"
"2013","Quintile 4","17 and under","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2006","Quintile 5","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2007","Quintile 5","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2008","Quintile 5","17 and under","England","Female","Not main scheme applicant","Not main scheme application","25","25","0.962","5"
"2009","Quintile 5","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15","15","1","5"
"2010","Quintile 5","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2011","Quintile 5","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","Quintile 5","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2013","Quintile 5","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.867","5"
"2014","Quintile 5","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2015","Quintile 5","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2016","Quintile 5","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2017","Quintile 5","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.875","5"
"2018","Quintile 5","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2019","Quintile 5","17 and under","England","Female","Not main scheme applicant","Not main scheme application","20","15","0.9440000000000001","0"
"2020","Quintile 5","17 and under","England","Female","Not main scheme applicant","Not main scheme application","25","25","0.92","5"
"2021","Quintile 5","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15","10","0.8","5"
"2022","Quintile 5","17 and under","England","Female","Not main scheme applicant","Not main scheme application","25","20","0.875","0"
"2023","Quintile 5","17 and under","England","Female","Not main scheme applicant","Not main scheme application","25","20","0.846","5"
"2006","Quintile 5","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","35","35","0.919","0"
"2007","Quintile 5","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","50","45","0.9580000000000001","0"
"2008","Quintile 5","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","50","50","0.981","0"
"2009","Quintile 5","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","30","25","0.964","0"
"2010","Quintile 5","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","20","20","1","0"
"2011","Quintile 5","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","Quintile 5","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2013","Quintile 5","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2014","Quintile 5","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","Quintile 5","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","25","25","1","0"
"2016","Quintile 5","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","20","20","1","0"
"2017","Quintile 5","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","20","15","0.895","0"
"2018","Quintile 5","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","30","30","0.967","0"
"2019","Quintile 5","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","35","35","0.917","0"
"2020","Quintile 5","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","40","40","0.927","0"
"2021","Quintile 5","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","20","20","0.905","0"
"2022","Quintile 5","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","30","25","0.964","0"
"2023","Quintile 5","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","60","60","0.984","5"
"2006","Unknown","18","England","Female","Not main scheme applicant","Not main scheme application","60","55","0.9500000000000001","0"
"2007","Unknown","18","England","Female","Not main scheme applicant","Not main scheme application","55","55","1","0"
"2008","Unknown","18","England","Female","Not main scheme applicant","Not main scheme application","50","50","0.98","0"
"2009","Unknown","18","England","Female","Not main scheme applicant","Not main scheme application","35","35","0.971","0"
"2012","Unknown","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","Unknown","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2015","Unknown","18","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2016","Unknown","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","Unknown","18","England","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2019","Unknown","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","Unknown","18","England","Female","Not main scheme applicant","Not main scheme application","20","20","1","0"
"2021","Unknown","18","England","Female","Not main scheme applicant","Not main scheme application","60","60","0.984","0"
"2022","Unknown","18","England","Female","Not main scheme applicant","Not main scheme application","40","40","1","0"
"2023","Unknown","18","England","Female","Not main scheme applicant","Not main scheme application","40","40","0.9520000000000001","0"
"2006","Unknown","18","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2008","Unknown","18","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2009","Unknown","18","Scotland","Female","Not main scheme applicant","Not main scheme application","135","135","1","0"
"2006","Unknown","18","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2007","Unknown","18","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2008","Unknown","18","Wales","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2013","Unknown","18","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2006","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","175","170","0.977","15"
"2007","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","190","185","0.969","20"
"2008","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","175","175","0.977","35"
"2009","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","170","165","0.9530000000000001","30"
"2010","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","55","50","0.981","20"
"2011","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","85","80","0.9400000000000001","15"
"2012","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","135","130","0.963","20"
"2013","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","185","180","0.984","10"
"2014","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","180","170","0.9450000000000001","20"
"2015","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","210","205","0.976","25"
"2016","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","170","165","0.9530000000000001","25"
"2017","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","245","230","0.9430000000000001","15"
"2018","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","325","315","0.96","15"
"2019","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","380","370","0.966","10"
"2020","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","485","470","0.965","25"
"2021","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","385","375","0.979","20"
"2022","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","360","335","0.9410000000000001","20"
"2023","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","365","335","0.928","25"
"2006","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2007","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2008","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2009","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2011","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2012","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2013","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2015","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2017","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2018","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2019","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","15","15","0.882","0"
"2021","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2022","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","15","15","0.9380000000000001","0"
"2006","Quintile 1","18","Wales","Female","Not main scheme applicant","Not main scheme application","20","20","1","0"
"2007","Quintile 1","18","Wales","Female","Not main scheme applicant","Not main scheme application","25","25","1","5"
"2008","Quintile 1","18","Wales","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2009","Quintile 1","18","Wales","Female","Not main scheme applicant","Not main scheme application","20","20","1","0"
"2010","Quintile 1","18","Wales","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2011","Quintile 1","18","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","Quintile 1","18","Wales","Female","Not main scheme applicant","Not main scheme application","20","20","1","0"
"2013","Quintile 1","18","Wales","Female","Not main scheme applicant","Not main scheme application","20","15","0.895","0"
"2014","Quintile 1","18","Wales","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2015","Quintile 1","18","Wales","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2016","Quintile 1","18","Wales","Female","Not main scheme applicant","Not main scheme application","20","20","1","0"
"2017","Quintile 1","18","Wales","Female","Not main scheme applicant","Not main scheme application","25","20","0.846","0"
"2018","Quintile 1","18","Wales","Female","Not main scheme applicant","Not main scheme application","20","20","1","0"
"2019","Quintile 1","18","Wales","Female","Not main scheme applicant","Not main scheme application","15","15","0.9380000000000001","0"
"2020","Quintile 1","18","Wales","Female","Not main scheme applicant","Not main scheme application","20","20","1","0"
"2021","Quintile 1","18","Wales","Female","Not main scheme applicant","Not main scheme application","20","20","0.9550000000000001","0"
"2022","Quintile 1","18","Wales","Female","Not main scheme applicant","Not main scheme application","20","20","0.9500000000000001","0"
"2023","Quintile 1","18","Wales","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2016","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2006","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","195","195","0.985","10"
"2007","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","240","240","0.992","30"
"2008","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","220","215","0.977","35"
"2009","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","195","180","0.933","40"
"2010","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","95","90","0.9480000000000001","20"
"2011","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","95","85","0.926","25"
"2012","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","170","160","0.964","20"
"2013","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","235","215","0.931","15"
"2014","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","215","210","0.977","20"
"2015","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","230","215","0.9470000000000001","15"
"2016","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","245","235","0.9510000000000001","15"
"2017","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","320","300","0.937","25"
