"Year","Subject group HECoS","Detailed subject group HECoS","Provider country","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2022","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","England","45800","38635","0.844"
"2023","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","England","46085","38840","0.843"
"2019","(CAH02) subjects allied to medicine","(CAH02-02-02) toxicology","England","75","70","0.937"
"2020","(CAH02) subjects allied to medicine","(CAH02-02-02) toxicology","England","95","90","0.9590000000000001"
"2021","(CAH02) subjects allied to medicine","(CAH02-02-02) toxicology","England","75","70","0.964"
"2022","(CAH02) subjects allied to medicine","(CAH02-02-02) toxicology","England","110","105","0.963"
"2023","(CAH02) subjects allied to medicine","(CAH02-02-02) toxicology","England","200","190","0.9470000000000001"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","England","53090","23825","0.449"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","England","60550","29135","0.481"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","England","74620","36205","0.485"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","England","72095","31700","0.44"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","England","59830","26190","0.438"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","England","19140","6065","0.317"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","England","21845","7785","0.356"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","England","27410","8615","0.314"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","England","27005","7680","0.28400000000000003"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","England","21260","7435","0.35000000000000003"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-03) community nursing","England","20","15","0.75"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-03) community nursing","England","30","25","0.8"
