"------------------------------------------------------------------"
"Sex, area background and ethnic group			"
"------------------------------------------------------------------"
"This file contains data used reported in the Sex, area background and ethnic group reports, covering all providers for whom reports have been published on the UCAS website."
"Cycle years: 2010 - 2021"
"Cycle reference point: End of Cycle"
"Applicant coverage: UK domiciled"
"Equality dimensions: Sex, POLAR4, SIMD 2016, ethnic group"
"Statistics reported:"
"June deadline applicants, placed June deadline applicants, all placed applicants, June deadline applicants per 10,000 population, placed June deadline applicants per 10,000 population,"
"all placed applicants per 10,000 population"
"June deadline applications, offers, offer rate, average offer rate, percentage point difference between offer rate and average offer rate, contribution of group to the average offer rate"
"Non-disclosure controls: To avoid the disclosure of information about any individual the following measures are taken"
"Applicants, placed applicants, applications and offers are rounded to the nearest 5."
"Applicants/placed applicants per 10,000 population figures are reported as 0 if the applicant/placed applicant figures are rounded to 0."
"All statistics related to the offer rate are not reported when the number of applications for a group is less than 10. The percentage point difference between the offer rate and"
"the average offer rate is not reported when the number of applications for a group is less than 50."
"Offer rates are reported as 0% if there are fewer than 5 offers, and 100% if the number of offers is within 5 of the number of applications. When the offer rate is reported as 0% or 100%,"
"it is reported in italics."
"------------------------------------------------------------------"
Please refer to the Sex, area background and ethnic group reports specified above for technical notes and definitions.
Data lines are comma delimited.
Data follows - 2808 lines in total
------------------------------------------------------------------
appl_higher_lev_dom,Cycle,statistic,equality_dimension,agegroup,value
UK providers,2015,Offer rate,Asian ethnic group,18 year olds,0.729
UK providers,2015,Offer rate,Mixed ethnic group,18 year olds,0.763
UK providers,2015,Offer rate,Other ethnic group,18 year olds,0.715
UK providers,2015,Offer rate,POLAR4 Q1,18 year olds,0.74
UK providers,2015,Offer rate,POLAR4 Q2,18 year olds,0.751
UK providers,2015,Offer rate,POLAR4 Q3,18 year olds,0.759
UK providers,2015,Offer rate,POLAR4 Q4,18 year olds,0.768
UK providers,2015,Offer rate,POLAR4 Q5,18 year olds,0.784
UK providers,2015,Offer rate,Men,18 year olds,0.796
UK providers,2015,Offer rate,Women,18 year olds,0.743
UK providers,2016,Offer rate,Total,18 year olds,0.771
UK providers,2016,Offer rate,White ethnic group,18 year olds,0.782
UK providers,2016,Offer rate,Black ethnic group,18 year olds,0.703
UK providers,2016,Offer rate,Asian ethnic group,18 year olds,0.734
UK providers,2016,Offer rate,Mixed ethnic group,18 year olds,0.768
UK providers,2016,Offer rate,Other ethnic group,18 year olds,0.72
UK providers,2016,Offer rate,POLAR4 Q1,18 year olds,0.745
UK providers,2016,Offer rate,POLAR4 Q2,18 year olds,0.762
UK providers,2016,Offer rate,POLAR4 Q3,18 year olds,0.765
UK providers,2016,Offer rate,POLAR4 Q4,18 year olds,0.77
UK providers,2016,Offer rate,POLAR4 Q5,18 year olds,0.787
UK providers,2016,Offer rate,Men,18 year olds,0.798
UK providers,2016,Offer rate,Women,18 year olds,0.75
UK providers,2017,Offer rate,Total,18 year olds,0.783
UK providers,2017,Offer rate,White ethnic group,18 year olds,0.794
UK providers,2017,Offer rate,Black ethnic group,18 year olds,0.723
UK providers,2017,Offer rate,Asian ethnic group,18 year olds,0.747
UK providers,2017,Offer rate,Mixed ethnic group,18 year olds,0.782
UK providers,2017,Offer rate,Other ethnic group,18 year olds,0.734
UK providers,2017,Offer rate,POLAR4 Q1,18 year olds,0.762
UK providers,2017,Offer rate,POLAR4 Q2,18 year olds,0.774
UK providers,2017,Offer rate,POLAR4 Q3,18 year olds,0.778
UK providers,2017,Offer rate,POLAR4 Q4,18 year olds,0.783
UK providers,2017,Offer rate,POLAR4 Q5,18 year olds,0.796
UK providers,2017,Offer rate,Men,18 year olds,0.804
UK providers,2017,Offer rate,Women,18 year olds,0.766
UK providers,2018,Offer rate,Total,18 year olds,0.79
UK providers,2018,Offer rate,White ethnic group,18 year olds,0.801
UK providers,2018,Offer rate,Black ethnic group,18 year olds,0.743
UK providers,2018,Offer rate,Asian ethnic group,18 year olds,0.755
UK providers,2018,Offer rate,Mixed ethnic group,18 year olds,0.791
UK providers,2018,Offer rate,Other ethnic group,18 year olds,0.741
UK providers,2018,Offer rate,POLAR4 Q1,18 year olds,0.773
UK providers,2018,Offer rate,POLAR4 Q2,18 year olds,0.782
UK providers,2018,Offer rate,POLAR4 Q3,18 year olds,0.789
UK providers,2018,Offer rate,POLAR4 Q4,18 year olds,0.79
UK providers,2018,Offer rate,POLAR4 Q5,18 year olds,0.8
UK providers,2018,Offer rate,Men,18 year olds,0.808
UK providers,2018,Offer rate,Women,18 year olds,0.776
UK providers,2019,Offer rate,Total,18 year olds,0.793
UK providers,2019,Offer rate,White ethnic group,18 year olds,0.807
UK providers,2019,Offer rate,Black ethnic group,18 year olds,0.741
UK providers,2019,Offer rate,Asian ethnic group,18 year olds,0.755
UK providers,2019,Offer rate,Mixed ethnic group,18 year olds,0.79
UK providers,2019,Offer rate,Other ethnic group,18 year olds,0.75
UK providers,2019,Offer rate,POLAR4 Q1,18 year olds,0.779
UK providers,2019,Offer rate,POLAR4 Q2,18 year olds,0.786
UK providers,2019,Offer rate,POLAR4 Q3,18 year olds,0.788
UK providers,2019,Offer rate,POLAR4 Q4,18 year olds,0.793
UK providers,2019,Offer rate,POLAR4 Q5,18 year olds,0.803
UK providers,2019,Offer rate,Men,18 year olds,0.81
UK providers,2019,Offer rate,Women,18 year olds,0.78
UK providers,2020,Offer rate,Total,18 year olds,0.797
UK providers,2020,Offer rate,White ethnic group,18 year olds,0.809
UK providers,2020,Offer rate,Black ethnic group,18 year olds,0.759
UK providers,2020,Offer rate,Asian ethnic group,18 year olds,0.762
UK providers,2020,Offer rate,Mixed ethnic group,18 year olds,0.795
UK providers,2020,Offer rate,Other ethnic group,18 year olds,0.759
UK providers,2020,Offer rate,POLAR4 Q1,18 year olds,0.785
UK providers,2020,Offer rate,POLAR4 Q2,18 year olds,0.789
UK providers,2020,Offer rate,POLAR4 Q3,18 year olds,0.794
UK providers,2020,Offer rate,POLAR4 Q4,18 year olds,0.797
UK providers,2020,Offer rate,POLAR4 Q5,18 year olds,0.805
UK providers,2020,Offer rate,Men,18 year olds,0.811
UK providers,2020,Offer rate,Women,18 year olds,0.785
UK providers,2021,Offer rate,Total,18 year olds,0.781
UK providers,2021,Offer rate,White ethnic group,18 year olds,0.796
UK providers,2021,Offer rate,Black ethnic group,18 year olds,0.74
UK providers,2021,Offer rate,Asian ethnic group,18 year olds,0.74
UK providers,2021,Offer rate,Mixed ethnic group,18 year olds,0.775
UK providers,2021,Offer rate,Other ethnic group,18 year olds,0.731
UK providers,2021,Offer rate,POLAR4 Q1,18 year olds,0.783
UK providers,2021,Offer rate,POLAR4 Q2,18 year olds,0.784
UK providers,2021,Offer rate,POLAR4 Q3,18 year olds,0.78
UK providers,2021,Offer rate,POLAR4 Q4,18 year olds,0.78
UK providers,2021,Offer rate,POLAR4 Q5,18 year olds,0.78
UK providers,2021,Offer rate,Men,18 year olds,0.798
UK providers,2021,Offer rate,Women,18 year olds,0.768
UK providers,2010,Average offer rate,Total,18 year olds,
UK providers,2010,Average offer rate,White ethnic group,18 year olds,0.704
UK providers,2010,Average offer rate,Black ethnic group,18 year olds,0.669
UK providers,2010,Average offer rate,Asian ethnic group,18 year olds,0.68
UK providers,2010,Average offer rate,Mixed ethnic group,18 year olds,0.68
UK providers,2010,Average offer rate,Other ethnic group,18 year olds,0.671
UK providers,2010,Average offer rate,POLAR4 Q1,18 year olds,0.684
UK providers,2010,Average offer rate,POLAR4 Q2,18 year olds,0.693
UK providers,2010,Average offer rate,POLAR4 Q3,18 year olds,0.7
UK providers,2010,Average offer rate,POLAR4 Q4,18 year olds,0.705
UK providers,2010,Average offer rate,POLAR4 Q5,18 year olds,0.702
UK providers,2010,Average offer rate,Men,18 year olds,0.734
UK providers,2010,Average offer rate,Women,18 year olds,0.671
UK providers,2011,Average offer rate,Total,18 year olds,
UK providers,2011,Average offer rate,White ethnic group,18 year olds,0.683
UK providers,2011,Average offer rate,Black ethnic group,18 year olds,0.644
UK providers,2011,Average offer rate,Asian ethnic group,18 year olds,0.658
UK providers,2011,Average offer rate,Mixed ethnic group,18 year olds,0.665
UK providers,2011,Average offer rate,Other ethnic group,18 year olds,0.661
UK providers,2011,Average offer rate,POLAR4 Q1,18 year olds,0.65
UK providers,2011,Average offer rate,POLAR4 Q2,18 year olds,0.666
UK providers,2011,Average offer rate,POLAR4 Q3,18 year olds,0.676
UK providers,2011,Average offer rate,POLAR4 Q4,18 year olds,0.684
UK providers,2011,Average offer rate,POLAR4 Q5,18 year olds,0.689
UK providers,2011,Average offer rate,Men,18 year olds,0.715
UK providers,2011,Average offer rate,Women,18 year olds,0.649
UK providers,2012,Average offer rate,Total,18 year olds,
UK providers,2012,Average offer rate,White ethnic group,18 year olds,0.716
UK providers,2012,Average offer rate,Black ethnic group,18 year olds,0.678
UK providers,2012,Average offer rate,Asian ethnic group,18 year olds,0.682
UK providers,2012,Average offer rate,Mixed ethnic group,18 year olds,0.695
UK providers,2012,Average offer rate,Other ethnic group,18 year olds,0.683
UK providers,2012,Average offer rate,POLAR4 Q1,18 year olds,0.682
UK providers,2012,Average offer rate,POLAR4 Q2,18 year olds,0.695
UK providers,2012,Average offer rate,POLAR4 Q3,18 year olds,0.705
UK providers,2012,Average offer rate,POLAR4 Q4,18 year olds,0.715
UK providers,2012,Average offer rate,POLAR4 Q5,18 year olds,0.722
UK providers,2012,Average offer rate,Men,18 year olds,0.746
UK providers,2012,Average offer rate,Women,18 year olds,0.681
UK providers,2013,Average offer rate,Total,18 year olds,
UK providers,2013,Average offer rate,White ethnic group,18 year olds,0.753
UK providers,2013,Average offer rate,Black ethnic group,18 year olds,0.708
UK providers,2013,Average offer rate,Asian ethnic group,18 year olds,0.716
UK providers,2013,Average offer rate,Mixed ethnic group,18 year olds,0.739
UK providers,2013,Average offer rate,Other ethnic group,18 year olds,0.715
UK providers,2013,Average offer rate,POLAR4 Q1,18 year olds,0.729
UK providers,2013,Average offer rate,POLAR4 Q2,18 year olds,0.738
UK providers,2013,Average offer rate,POLAR4 Q3,18 year olds,0.742
UK providers,2013,Average offer rate,POLAR4 Q4,18 year olds,0.748
UK providers,2013,Average offer rate,POLAR4 Q5,18 year olds,0.754
UK providers,2013,Average offer rate,Men,18 year olds,0.784
UK providers,2013,Average offer rate,Women,18 year olds,0.715
UK providers,2014,Average offer rate,Total,18 year olds,
UK providers,2014,Average offer rate,White ethnic group,18 year olds,0.766
UK providers,2014,Average offer rate,Black ethnic group,18 year olds,0.719
UK providers,2014,Average offer rate,Asian ethnic group,18 year olds,0.733
UK providers,2014,Average offer rate,Mixed ethnic group,18 year olds,0.753
UK providers,2014,Average offer rate,Other ethnic group,18 year olds,0.72
UK providers,2014,Average offer rate,POLAR4 Q1,18 year olds,0.743
UK providers,2014,Average offer rate,POLAR4 Q2,18 year olds,0.752
UK providers,2014,Average offer rate,POLAR4 Q3,18 year olds,0.756
UK providers,2014,Average offer rate,POLAR4 Q4,18 year olds,0.76
UK providers,2014,Average offer rate,POLAR4 Q5,18 year olds,0.769
UK providers,2014,Average offer rate,Men,18 year olds,0.796
UK providers,2014,Average offer rate,Women,18 year olds,0.73
UK providers,2015,Average offer rate,Total,18 year olds,
UK providers,2015,Average offer rate,White ethnic group,18 year olds,0.773
UK providers,2015,Average offer rate,Black ethnic group,18 year olds,0.726
UK providers,2015,Average offer rate,Asian ethnic group,18 year olds,0.741
UK providers,2015,Average offer rate,Mixed ethnic group,18 year olds,0.765
UK providers,2015,Average offer rate,Other ethnic group,18 year olds,0.734
UK providers,2015,Average offer rate,POLAR4 Q1,18 year olds,0.751
UK providers,2015,Average offer rate,POLAR4 Q2,18 year olds,0.755
UK providers,2015,Average offer rate,POLAR4 Q3,18 year olds,0.762
UK providers,2015,Average offer rate,POLAR4 Q4,18 year olds,0.768
UK providers,2015,Average offer rate,POLAR4 Q5,18 year olds,0.777
UK providers,2015,Average offer rate,Men,18 year olds,0.8
UK providers,2015,Average offer rate,Women,18 year olds,0.74
UK providers,2016,Average offer rate,Total,18 year olds,
UK providers,2016,Average offer rate,White ethnic group,18 year olds,0.778
UK providers,2016,Average offer rate,Black ethnic group,18 year olds,0.731
UK providers,2016,Average offer rate,Asian ethnic group,18 year olds,0.744
UK providers,2016,Average offer rate,Mixed ethnic group,18 year olds,0.77
UK providers,2016,Average offer rate,Other ethnic group,18 year olds,0.739
UK providers,2016,Average offer rate,POLAR4 Q1,18 year olds,0.756
UK providers,2016,Average offer rate,POLAR4 Q2,18 year olds,0.764
UK providers,2016,Average offer rate,POLAR4 Q3,18 year olds,0.768
UK providers,2016,Average offer rate,POLAR4 Q4,18 year olds,0.771
UK providers,2016,Average offer rate,POLAR4 Q5,18 year olds,0.78
UK providers,2016,Average offer rate,Men,18 year olds,0.802
UK providers,2016,Average offer rate,Women,18 year olds,0.747
UK providers,2017,Average offer rate,Total,18 year olds,
UK providers,2017,Average offer rate,White ethnic group,18 year olds,0.79
UK providers,2017,Average offer rate,Black ethnic group,18 year olds,0.746
UK providers,2017,Average offer rate,Asian ethnic group,18 year olds,0.755
UK providers,2017,Average offer rate,Mixed ethnic group,18 year olds,0.782
UK providers,2017,Average offer rate,Other ethnic group,18 year olds,0.753
UK providers,2017,Average offer rate,POLAR4 Q1,18 year olds,0.77
UK providers,2017,Average offer rate,POLAR4 Q2,18 year olds,0.777
UK providers,2017,Average offer rate,POLAR4 Q3,18 year olds,0.78
UK providers,2017,Average offer rate,POLAR4 Q4,18 year olds,0.785
UK providers,2017,Average offer rate,POLAR4 Q5,18 year olds,0.789
UK providers,2017,Average offer rate,Men,18 year olds,0.808
UK providers,2017,Average offer rate,Women,18 year olds,0.763
UK providers,2018,Average offer rate,Total,18 year olds,
UK providers,2018,Average offer rate,White ethnic group,18 year olds,0.798
UK providers,2018,Average offer rate,Black ethnic group,18 year olds,0.763
UK providers,2018,Average offer rate,Asian ethnic group,18 year olds,0.762
UK providers,2018,Average offer rate,Mixed ethnic group,18 year olds,0.79
UK providers,2018,Average offer rate,Other ethnic group,18 year olds,0.762
UK providers,2018,Average offer rate,POLAR4 Q1,18 year olds,0.782
UK providers,2018,Average offer rate,POLAR4 Q2,18 year olds,0.786
UK providers,2018,Average offer rate,POLAR4 Q3,18 year olds,0.791
UK providers,2018,Average offer rate,POLAR4 Q4,18 year olds,0.792
UK providers,2018,Average offer rate,POLAR4 Q5,18 year olds,0.793
UK providers,2018,Average offer rate,Men,18 year olds,0.813
UK providers,2018,Average offer rate,Women,18 year olds,0.773
UK providers,2019,Average offer rate,Total,18 year olds,
UK providers,2019,Average offer rate,White ethnic group,18 year olds,0.803
UK providers,2019,Average offer rate,Black ethnic group,18 year olds,0.762
UK providers,2019,Average offer rate,Asian ethnic group,18 year olds,0.761
UK providers,2019,Average offer rate,Mixed ethnic group,18 year olds,0.792
UK providers,2019,Average offer rate,Other ethnic group,18 year olds,0.766
UK providers,2019,Average offer rate,POLAR4 Q1,18 year olds,0.785
UK providers,2019,Average offer rate,POLAR4 Q2,18 year olds,0.79
UK providers,2019,Average offer rate,POLAR4 Q3,18 year olds,0.79
UK providers,2019,Average offer rate,POLAR4 Q4,18 year olds,0.795
UK providers,2019,Average offer rate,POLAR4 Q5,18 year olds,0.797
UK providers,2019,Average offer rate,Men,18 year olds,0.815
UK providers,2019,Average offer rate,Women,18 year olds,0.776
UK providers,2020,Average offer rate,Total,18 year olds,
UK providers,2020,Average offer rate,White ethnic group,18 year olds,0.807
UK providers,2020,Average offer rate,Black ethnic group,18 year olds,0.772
UK providers,2020,Average offer rate,Asian ethnic group,18 year olds,0.764
UK providers,2020,Average offer rate,Mixed ethnic group,18 year olds,0.793
UK providers,2020,Average offer rate,Other ethnic group,18 year olds,0.773
UK providers,2020,Average offer rate,POLAR4 Q1,18 year olds,0.787
UK providers,2020,Average offer rate,POLAR4 Q2,18 year olds,0.79
UK providers,2020,Average offer rate,POLAR4 Q3,18 year olds,0.796
UK providers,2020,Average offer rate,POLAR4 Q4,18 year olds,0.798
UK providers,2020,Average offer rate,POLAR4 Q5,18 year olds,0.802
UK providers,2020,Average offer rate,Men,18 year olds,0.817
UK providers,2020,Average offer rate,Women,18 year olds,0.781
UK providers,2021,Average offer rate,Total,18 year olds,
UK providers,2021,Average offer rate,White ethnic group,18 year olds,0.794
UK providers,2021,Average offer rate,Black ethnic group,18 year olds,0.753
UK providers,2021,Average offer rate,Asian ethnic group,18 year olds,0.741
UK providers,2021,Average offer rate,Mixed ethnic group,18 year olds,0.775
UK providers,2021,Average offer rate,Other ethnic group,18 year olds,0.742
UK providers,2021,Average offer rate,POLAR4 Q1,18 year olds,0.779
UK providers,2021,Average offer rate,POLAR4 Q2,18 year olds,0.78
UK providers,2021,Average offer rate,POLAR4 Q3,18 year olds,0.783
UK providers,2021,Average offer rate,POLAR4 Q4,18 year olds,0.782
UK providers,2021,Average offer rate,POLAR4 Q5,18 year olds,0.779
UK providers,2021,Average offer rate,Men,18 year olds,0.804
UK providers,2021,Average offer rate,Women,18 year olds,0.763
UK providers,2010,Percentage point difference between offer rate and average offer rate,Total,18 year olds,
UK providers,2010,Percentage point difference between offer rate and average offer rate,White ethnic group,18 year olds,0.3
UK providers,2010,Percentage point difference between offer rate and average offer rate,Black ethnic group,18 year olds,-2.7
UK providers,2010,Percentage point difference between offer rate and average offer rate,Asian ethnic group,18 year olds,-1.1
UK providers,2010,Percentage point difference between offer rate and average offer rate,Mixed ethnic group,18 year olds,-0.3
UK providers,2010,Percentage point difference between offer rate and average offer rate,Other ethnic group,18 year olds,-1.1
UK providers,2010,Percentage point difference between offer rate and average offer rate,POLAR4 Q1,18 year olds,-1.3
UK providers,2010,Percentage point difference between offer rate and average offer rate,POLAR4 Q2,18 year olds,-0.8
UK providers,2010,Percentage point difference between offer rate and average offer rate,POLAR4 Q3,18 year olds,-0.4
UK providers,2010,Percentage point difference between offer rate and average offer rate,POLAR4 Q4,18 year olds,0
UK providers,2010,Percentage point difference between offer rate and average offer rate,POLAR4 Q5,18 year olds,0.9
UK providers,2010,Percentage point difference between offer rate and average offer rate,Men,18 year olds,-0.4
UK providers,2010,Percentage point difference between offer rate and average offer rate,Women,18 year olds,0.3
UK providers,2011,Percentage point difference between offer rate and average offer rate,Total,18 year olds,
UK providers,2011,Percentage point difference between offer rate and average offer rate,White ethnic group,18 year olds,0.4
UK providers,2011,Percentage point difference between offer rate and average offer rate,Black ethnic group,18 year olds,-2.9
UK providers,2011,Percentage point difference between offer rate and average offer rate,Asian ethnic group,18 year olds,-1.5
UK providers,2011,Percentage point difference between offer rate and average offer rate,Mixed ethnic group,18 year olds,-0.6
UK providers,2011,Percentage point difference between offer rate and average offer rate,Other ethnic group,18 year olds,-2
UK providers,2011,Percentage point difference between offer rate and average offer rate,POLAR4 Q1,18 year olds,-1.3
UK providers,2011,Percentage point difference between offer rate and average offer rate,POLAR4 Q2,18 year olds,-0.8
UK providers,2011,Percentage point difference between offer rate and average offer rate,POLAR4 Q3,18 year olds,-0.5
UK providers,2011,Percentage point difference between offer rate and average offer rate,POLAR4 Q4,18 year olds,0
UK providers,2011,Percentage point difference between offer rate and average offer rate,POLAR4 Q5,18 year olds,0.9
UK providers,2011,Percentage point difference between offer rate and average offer rate,Men,18 year olds,-0.4
UK providers,2011,Percentage point difference between offer rate and average offer rate,Women,18 year olds,0.3
UK providers,2012,Percentage point difference between offer rate and average offer rate,Total,18 year olds,
UK providers,2012,Percentage point difference between offer rate and average offer rate,White ethnic group,18 year olds,0.4
UK providers,2012,Percentage point difference between offer rate and average offer rate,Black ethnic group,18 year olds,-3.4
UK providers,2012,Percentage point difference between offer rate and average offer rate,Asian ethnic group,18 year olds,-1.4
UK providers,2012,Percentage point difference between offer rate and average offer rate,Mixed ethnic group,18 year olds,-0.5
UK providers,2012,Percentage point difference between offer rate and average offer rate,Other ethnic group,18 year olds,-2.6
UK providers,2012,Percentage point difference between offer rate and average offer rate,POLAR4 Q1,18 year olds,-1.1
UK providers,2012,Percentage point difference between offer rate and average offer rate,POLAR4 Q2,18 year olds,-0.5
UK providers,2012,Percentage point difference between offer rate and average offer rate,POLAR4 Q3,18 year olds,-0.5
UK providers,2012,Percentage point difference between offer rate and average offer rate,POLAR4 Q4,18 year olds,0
UK providers,2012,Percentage point difference between offer rate and average offer rate,POLAR4 Q5,18 year olds,0.8
UK providers,2012,Percentage point difference between offer rate and average offer rate,Men,18 year olds,-0.4
UK providers,2012,Percentage point difference between offer rate and average offer rate,Women,18 year olds,0.4
UK providers,2013,Percentage point difference between offer rate and average offer rate,Total,18 year olds,
UK providers,2013,Percentage point difference between offer rate and average offer rate,White ethnic group,18 year olds,0.4
UK providers,2013,Percentage point difference between offer rate and average offer rate,Black ethnic group,18 year olds,-2.9
UK providers,2013,Percentage point difference between offer rate and average offer rate,Asian ethnic group,18 year olds,-1.2
UK providers,2013,Percentage point difference between offer rate and average offer rate,Mixed ethnic group,18 year olds,-0.3
UK providers,2013,Percentage point difference between offer rate and average offer rate,Other ethnic group,18 year olds,-1.6
UK providers,2013,Percentage point difference between offer rate and average offer rate,POLAR4 Q1,18 year olds,-1.1
UK providers,2013,Percentage point difference between offer rate and average offer rate,POLAR4 Q2,18 year olds,-0.5
UK providers,2013,Percentage point difference between offer rate and average offer rate,POLAR4 Q3,18 year olds,-0.2
UK providers,2013,Percentage point difference between offer rate and average offer rate,POLAR4 Q4,18 year olds,-0.1
UK providers,2013,Percentage point difference between offer rate and average offer rate,POLAR4 Q5,18 year olds,0.7
UK providers,2013,Percentage point difference between offer rate and average offer rate,Men,18 year olds,-0.4
UK providers,2013,Percentage point difference between offer rate and average offer rate,Women,18 year olds,0.3
UK providers,2014,Percentage point difference between offer rate and average offer rate,Total,18 year olds,
UK providers,2014,Percentage point difference between offer rate and average offer rate,White ethnic group,18 year olds,0.4
UK providers,2014,Percentage point difference between offer rate and average offer rate,Black ethnic group,18 year olds,-2.9
UK providers,2014,Percentage point difference between offer rate and average offer rate,Asian ethnic group,18 year olds,-1.1
UK providers,2014,Percentage point difference between offer rate and average offer rate,Mixed ethnic group,18 year olds,-0.5
UK providers,2014,Percentage point difference between offer rate and average offer rate,Other ethnic group,18 year olds,-2.4
UK providers,2014,Percentage point difference between offer rate and average offer rate,POLAR4 Q1,18 year olds,-0.9
UK providers,2014,Percentage point difference between offer rate and average offer rate,POLAR4 Q2,18 year olds,-0.3
UK providers,2014,Percentage point difference between offer rate and average offer rate,POLAR4 Q3,18 year olds,-0.2
UK providers,2014,Percentage point difference between offer rate and average offer rate,POLAR4 Q4,18 year olds,0
UK providers,2014,Percentage point difference between offer rate and average offer rate,POLAR4 Q5,18 year olds,0.6
UK providers,2014,Percentage point difference between offer rate and average offer rate,Men,18 year olds,-0.4
UK providers,2014,Percentage point difference between offer rate and average offer rate,Women,18 year olds,0.3
UK providers,2015,Percentage point difference between offer rate and average offer rate,Total,18 year olds,
UK providers,2015,Percentage point difference between offer rate and average offer rate,White ethnic group,18 year olds,0.4
UK providers,2015,Percentage point difference between offer rate and average offer rate,Black ethnic group,18 year olds,-2.6
UK providers,2015,Percentage point difference between offer rate and average offer rate,Asian ethnic group,18 year olds,-1.2
UK providers,2015,Percentage point difference between offer rate and average offer rate,Mixed ethnic group,18 year olds,-0.2
UK providers,2015,Percentage point difference between offer rate and average offer rate,Other ethnic group,18 year olds,-1.9
UK providers,2015,Percentage point difference between offer rate and average offer rate,POLAR4 Q1,18 year olds,-1.1
UK providers,2015,Percentage point difference between offer rate and average offer rate,POLAR4 Q2,18 year olds,-0.4
UK providers,2015,Percentage point difference between offer rate and average offer rate,POLAR4 Q3,18 year olds,-0.2
UK providers,2015,Percentage point difference between offer rate and average offer rate,POLAR4 Q4,18 year olds,-0.1
UK providers,2015,Percentage point difference between offer rate and average offer rate,POLAR4 Q5,18 year olds,0.7
UK providers,2015,Percentage point difference between offer rate and average offer rate,Men,18 year olds,-0.4
UK providers,2015,Percentage point difference between offer rate and average offer rate,Women,18 year olds,0.3
UK providers,2016,Percentage point difference between offer rate and average offer rate,Total,18 year olds,
UK providers,2016,Percentage point difference between offer rate and average offer rate,White ethnic group,18 year olds,0.4
UK providers,2016,Percentage point difference between offer rate and average offer rate,Black ethnic group,18 year olds,-2.8
UK providers,2016,Percentage point difference between offer rate and average offer rate,Asian ethnic group,18 year olds,-1
UK providers,2016,Percentage point difference between offer rate and average offer rate,Mixed ethnic group,18 year olds,-0.1
UK providers,2016,Percentage point difference between offer rate and average offer rate,Other ethnic group,18 year olds,-1.9
UK providers,2016,Percentage point difference between offer rate and average offer rate,POLAR4 Q1,18 year olds,-1.1
UK providers,2016,Percentage point difference between offer rate and average offer rate,POLAR4 Q2,18 year olds,-0.2
UK providers,2016,Percentage point difference between offer rate and average offer rate,POLAR4 Q3,18 year olds,-0.3
UK providers,2016,Percentage point difference between offer rate and average offer rate,POLAR4 Q4,18 year olds,0
UK providers,2016,Percentage point difference between offer rate and average offer rate,POLAR4 Q5,18 year olds,0.7
UK providers,2016,Percentage point difference between offer rate and average offer rate,Men,18 year olds,-0.4
UK providers,2016,Percentage point difference between offer rate and average offer rate,Women,18 year olds,0.3
UK providers,2017,Percentage point difference between offer rate and average offer rate,Total,18 year olds,
UK providers,2017,Percentage point difference between offer rate and average offer rate,White ethnic group,18 year olds,0.3
UK providers,2017,Percentage point difference between offer rate and average offer rate,Black ethnic group,18 year olds,-2.3
UK providers,2017,Percentage point difference between offer rate and average offer rate,Asian ethnic group,18 year olds,-0.8
UK providers,2017,Percentage point difference between offer rate and average offer rate,Mixed ethnic group,18 year olds,-0.1
UK providers,2017,Percentage point difference between offer rate and average offer rate,Other ethnic group,18 year olds,-1.9
UK providers,2017,Percentage point difference between offer rate and average offer rate,POLAR4 Q1,18 year olds,-0.9
UK providers,2017,Percentage point difference between offer rate and average offer rate,POLAR4 Q2,18 year olds,-0.3
UK providers,2017,Percentage point difference between offer rate and average offer rate,POLAR4 Q3,18 year olds,-0.2
UK providers,2017,Percentage point difference between offer rate and average offer rate,POLAR4 Q4,18 year olds,-0.2
UK providers,2017,Percentage point difference between offer rate and average offer rate,POLAR4 Q5,18 year olds,0.6
UK providers,2017,Percentage point difference between offer rate and average offer rate,Men,18 year olds,-0.4
UK providers,2017,Percentage point difference between offer rate and average offer rate,Women,18 year olds,0.3
UK providers,2018,Percentage point difference between offer rate and average offer rate,Total,18 year olds,
UK providers,2018,Percentage point difference between offer rate and average offer rate,White ethnic group,18 year olds,0.3
UK providers,2018,Percentage point difference between offer rate and average offer rate,Black ethnic group,18 year olds,-2
UK providers,2018,Percentage point difference between offer rate and average offer rate,Asian ethnic group,18 year olds,-0.7
UK providers,2018,Percentage point difference between offer rate and average offer rate,Mixed ethnic group,18 year olds,0.2
UK providers,2018,Percentage point difference between offer rate and average offer rate,Other ethnic group,18 year olds,-2.2
UK providers,2018,Percentage point difference between offer rate and average offer rate,POLAR4 Q1,18 year olds,-0.9
UK providers,2018,Percentage point difference between offer rate and average offer rate,POLAR4 Q2,18 year olds,-0.4
UK providers,2018,Percentage point difference between offer rate and average offer rate,POLAR4 Q3,18 year olds,-0.2
UK providers,2018,Percentage point difference between offer rate and average offer rate,POLAR4 Q4,18 year olds,-0.1
UK providers,2018,Percentage point difference between offer rate and average offer rate,POLAR4 Q5,18 year olds,0.6
UK providers,2018,Percentage point difference between offer rate and average offer rate,Men,18 year olds,-0.4
UK providers,2018,Percentage point difference between offer rate and average offer rate,Women,18 year olds,0.3
UK providers,2019,Percentage point difference between offer rate and average offer rate,Total,18 year olds,
UK providers,2019,Percentage point difference between offer rate and average offer rate,White ethnic group,18 year olds,0.3
UK providers,2019,Percentage point difference between offer rate and average offer rate,Black ethnic group,18 year olds,-2
