Code,Subject,Level,Year,Total,A,B,C,D,E,F,NG
11,GERMAN                 ,A,2015,9011,12,30.4,30.9,21.2,5,0.5,0
11,GERMAN                 ,G,2015,2412,4.8,31.3,37.4,19.9,5.3,1.1,0.2
12,SPANISH                ,A,2015,6289,15.2,32.1,30.9,17.3,3.6,0.7,0.1
12,SPANISH                ,G,2015,2170,5,33.6,35,18.1,5.6,1.9,0.6
13,ITALIAN                ,A,2015,321,18.4,25.5,28.3,20.9,6.2,0.6,0
13,ITALIAN                ,G,2015,113,1.8,18.6,43.4,30.1,5.3,0.9,0
40,TYPEWRITING            ,A,2015,40,22.5,45,27.5,5,0,0,0
40,TYPEWRITING            ,G,2015,89,38.2,34.8,20.2,6.7,0,0,0
41,ART  CRAFT  DESIGN     ,A,2015,15559,20.9,29.7,35.2,12.8,1.1,0.2,0
41,ART  CRAFT  DESIGN     ,G,2015,5095,10.6,28.7,34.5,17.7,5.3,2.8,0.4
42,BUSINESS STUDIES       ,A,2015,25728,8.6,33.8,35,19.8,2.5,0.3,0
42,BUSINESS STUDIES       ,G,2015,7449,8.2,37.8,33,14.6,3.9,2.3,0.3
46,MUSIC                  ,A,2015,9072,13.8,42.6,31.3,10.7,1,0.5,0
46,MUSIC                  ,G,2015,1710,1.9,27,41,21.9,3.7,4.1,0.4
47,MATERIAL TECHNOLOGY (W ,A,2015,13271,7.7,39.1,35.9,14.4,1.9,0.7,0.3
47,MATERIAL TECHNOLOGY (W ,G,2015,2874,4.7,34,36.3,16,3.7,4,1.4
48,TECHNICAL GRAPHICS     ,A,2015,8655,14.7,31.7,30.8,18.7,3.6,0.6,0
48,TECHNICAL GRAPHICS     ,G,2015,3046,12.1,34.8,25.6,18.7,6.3,2.3,0.2
52,HOME ECONOMICS         ,A,2015,17839,13.9,48.2,30.5,6.7,0.4,0.2,0.1
52,HOME ECONOMICS         ,G,2015,3702,1.1,33,45.4,14.4,3.4,1.6,1.2
54,METALWORK              ,A,2015,6409,10.7,44.4,28.3,12.9,2.6,0.9,0.3
54,METALWORK              ,G,2015,1575,7.8,36.2,23,18,8.8,5.5,0.7
57,SCIENCE                ,A,2015,42658,10.3,32.2,37.4,18.6,1.3,0.2,0
57,SCIENCE                ,G,2015,11632,0.6,25.6,53.9,16.2,2.7,0.9,0.1
65,TECHNOLOGY             ,A,2015,2852,10.5,31.5,33.1,19.2,4.3,1.2,0.1
65,TECHNOLOGY             ,G,2015,406,7.9,25.4,32.5,23.2,6.2,4.4,0.5
81,ENVIRON & SOCIAL STUDI ,A,2015,197,2.5,42.6,41.6,9.6,2,1,0.5
81,ENVIRON & SOCIAL STUDI ,G,2015,396,3.8,38.4,35.4,14.6,3.5,3.8,0.5
218,C.S.P.E                ,C,2015,58136,21,42.9,25.3,8.4,1.6,0.8,0.1
220,RELIGIOUS EDUCATION    ,A,2015,22808,13.2,39.7,34.9,11.1,1,0.1,0
220,RELIGIOUS EDUCATION    ,G,2015,4600,11.8,36.8,35.9,12.8,2,0.6,0.1
,,,,,,,,,,,
,,,,,,,,,,,
,"A = ARDLEIBHÉAL, B = BONNLEIBHEAL, C = LEIBHEAL COMONTA, G = GNÁTHLEIBHÉAL",,,,,,,,,,
,"A = HIGHER LEVEL, B = FOUNDATION LEVEL, C = COMMON LEVEL, G = ORDINARY LEVEL,",,,,,,,,,,
