,Subject,              Level,Year, Total,         A1,        A2,        B1,        B2,        B3,        C1,        C2,        C3,        D1,        D2,        D3,        E,         F,         NG
21,PHYSICS                ,A,2014,5399,9.8,10,8.7,9.3,10,8.6,8,8,6.8,5.9,6.7,6.3,1.5,0.4
21,PHYSICS                ,G,2014,1778,6.1,8.8,7.8,9.6,13.5,8.1,10,9.4,5.5,5.1,6.3,6.4,2.7,0.9
22,CHEMISTRY              ,A,2014,7226,9.7,10.9,10.6,9.5,9,7.8,7.5,7.8,5.9,5.5,6.8,6,2.5,0.4
22,CHEMISTRY              ,G,2014,1378,3.2,6.3,6,8.9,9.9,9.4,10.7,8.6,7.5,6.5,7.6,9.1,5.5,1
23,PHYSICS & CHEMISTRY    ,A,2014,361,9.4,11.4,8.3,9.1,9.1,7.5,7.2,8.9,5.8,5.8,6.4,7.2,3.6,0.3
23,PHYSICS & CHEMISTRY    ,G,2014,105,0,1.9,0,5.7,6.7,6.7,9.5,10.5,7.6,8.6,9.5,10.5,15.2,7.6
24,AGRICULTURAL SCIENCE   ,A,2014,6329,4.7,6.2,7.2,9.5,9.8,9.4,10.6,9.9,8.8,7,8.8,6.8,0.9,0.1
24,AGRICULTURAL SCIENCE   ,G,2014,1597,0.3,0.3,0.8,3.5,5.6,8.4,11.1,12.3,12.3,12.7,14,14.3,4,0.4
25,BIOLOGY                ,A,2014,24442,5.6,8,6.9,8.8,10.1,9.1,9.8,11.1,8.7,7.8,7.4,5.6,1.1,0.1
25,BIOLOGY                ,G,2014,8514,0.3,1.3,2.7,5.1,11,9.6,13.1,16.5,10,10.7,10.5,7.2,1.8,0.1
26,AGRICULTURAL ECONOMICS ,A,2014,78,1.3,6.4,1.3,14.1,10.3,10.3,23.1,7.7,11.5,1.3,10.3,1.3,1.3,0
27,ENGINEERING            ,A,2014,4172,2.6,6.6,10.2,12.3,12,13.2,11.9,10.5,8.8,5.2,4,2.3,0.5,0
27,ENGINEERING            ,G,2014,1031,0,1.6,4.6,6.3,11.3,12,13.7,13.4,11.8,8.9,8.2,6.9,1.3,0
29,CONSTRUCTION STUDIES   ,A,2014,6847,2,5.7,8.8,11,11.8,13.2,13,11.3,8.9,6,5.2,2.7,0.5,0
29,CONSTRUCTION STUDIES   ,G,2014,1562,0.1,0.4,1.2,3.9,7.7,10.1,14.9,16.2,11.8,11.5,9.7,9.2,3,0.3
32,ACCOUNTING             ,A,2014,4212,7.8,12.2,13.4,13,11.2,8.8,7.6,6,5.2,4.3,4.6,4.1,1.3,0.5
32,ACCOUNTING             ,G,2014,1734,8.3,9.8,8.6,9.8,9.2,7.2,7.2,7.4,6.3,5,5.8,7.6,5.4,2.5
33,BUSINESS               ,A,2014,11674,3.3,7.4,7.8,10.2,12.4,9.3,9.4,9.8,7.2,7.3,8.3,6,1.6,0.1
33,BUSINESS               ,G,2014,4842,3.4,7.5,5.6,11.2,13.7,9.9,11.6,11.6,5.9,5.7,7,4.6,2.2,0.2
34,ECONOMICS              ,A,2014,3913,3.8,8.3,11.4,11.9,9.5,10.3,8.5,9,6,7.1,8.3,4.2,1.5,0.3
