Column,Field Name,Label/Description
90,PTRWM_HIGH_B,Percentage of boys achieving a high score in reading and maths and working at greater depth in writing
91,PTRWM_HIGH_G,"Percentage of girls reaching the HIGHected standard in reading, writing and maths"
92,PTRWM_HIGH_L,Percentage of pupils with low prior attainment achieving a high score in reading and maths and working at greater depth in writing
93,PTRWM_HIGH_M,Percentage of pupils with medium prior attainment achieving a high score in reading and maths and working at greater depth in writing
94,PTRWM_HIGH_H,Percentage of pupils with high prior attainment achieving a high score in reading and maths and working at greater depth in writing
95,PTRWM_HIGH_FSM6CLA1A,Percentage of disadvantaged pupils achieving a high score in reading and maths and working at greater depth in writing
96,PTRWM_HIGH_NotFSM6CLA1A,Percentage of non-disadvantaged pupils achieving a high score in reading and maths and working at greater depth in writing
97,DIFFN_RWM_HIGH,"Difference between school percentage of disavantaged pupils and national percentage of other pupils achieving a high score in reading, writing and maths "
98,PTRWM_HIGH_EAL,Percentage of EAL pupils achieving a high score in reading and maths and working at greater depth in writing
99,PTRWM_HIGH_MOBN,Percentage of non-mobile pupils achieving a high score in reading and maths and working at greater depth in writing
100,READPROG_B,Reading progress measure for boys
101,READPROG_B_LOWER,Reading progress measure for boys - lower confidence limit
102,READPROG_B_UPPER,Reading progress measure for boys - upper confidence limit
103,READPROG_G,Reading progress measure for girls
104,READPROG_G_LOWER,Reading progress measure for girls - lower confidence limit
105,READPROG_G_UPPER,Reading progress measure for girls - upper confidence limit
106,READPROG_L,Reading progress measure for pupils with low prior attainment
107,READPROG_L_LOWER,Reading progress measure for pupils with low prior attainment - lower confidence limit
108,READPROG_L_UPPER,Reading progress measure for pupils with low prior attainment - upper confidence limit
109,READPROG_M,Reading progress measure for pupils with medium prior attainment
110,READPROG_M_LOWER,Reading progress measure for pupils with medium prior attainment - lower confidence limit
111,READPROG_M_UPPER,Reading progress measure for pupils with medium prior attainment - upper confidence limit
112,READPROG_H,Reading progress measure for pupils with high prior attainment
113,READPROG_H_LOWER,Reading progress measure for pupils with high prior attainment - lower confidence limit
114,READPROG_H_UPPER,Reading progress measure for pupils with high prior attainment - upper confidence limit
115,READPROG_FSM6CLA1A,Reading progress measure for disadvantaged pupils
116,READPROG_FSM6CLA1A_LOWER,Reading progress measure for disadvantaged pupils - lower confidence limit
117,READPROG_FSM6CLA1A_UPPER,Reading progress measure for disadvantaged pupils - upper confidence limit
118,READPROG_NotFSM6CLA1A,Reading progress measure for non-disadvantaged pupils
119,READPROG_NotFSM6CLA1A_LOWER,Reading progress measure for non-disadvantaged pupils - lower confidence limit
120,READPROG_NotFSM6CLA1A_UPPER,Reading progress measure for non-disadvantaged pupils - upper confidence limit
121,DIFFN_READPROG,Difference between reading progress measure for disadvantaged pupils in school and other pupils nationally
122,READPROG_EAL,Reading progress measure for EAL pupils
123,READPROG_EAL_LOWER,Reading progress measure for EAL pupils - lower confidence limit
124,READPROG_EAL_UPPER,Reading progress measure for EAL pupils - upper confidence limit
125,READPROG_MOBN,Reading progress measure for non-mobile pupils
126,READPROG_MOBN_LOWER,Reading progress measure for non-mobile pupils - lower confidence limit
127,READPROG_MOBN_UPPER,Reading progress measure for non-mobile pupils - upper confidence limit
128,WRITPROG_B,Writing progress measure for boys
129,WRITPROG_B_LOWER,Writing progress measure for boys - lower confidence limit
130,WRITPROG_B_UPPER,Writing progress measure for boys - upper confidence limit
131,WRITPROG_G,Wwriting progress measure for girls
132,WRITPROG_G_LOWER,Writing progress measure for girls - lower confidence limit
133,WRITPROG_G_UPPER,Writing progress measure for girls - upper confidence limit
134,WRITPROG_L,Writing progress measure for pupils with low prior attainment
135,WRITPROG_L_LOWER,Writing progress measure for pupils with low prior attainment - lower confidence limit
136,WRITPROG_L_UPPER,Writing progress measure for pupils with low prior attainment - upper confidence limit
137,WRITPROG_M,Writing progress measure for pupils with medium prior attainment
138,WRITPROG_M_LOWER,Writing progress measure for pupils with medium prior attainment - lower confidence limit
139,WRITPROG_M_UPPER,Writing progress measure for pupils with medium prior attainment - upper confidence limit
140,WRITPROG_H,Writing progress measure for pupils with high prior attainment
141,WRITPROG_H_LOWER,Writing progress measure for pupils with high prior attainment - lower confidence limit
142,WRITPROG_H_UPPER,Writing progress measure for pupils with high prior attainment - upper confidence limit
143,WRITPROG_FSM6CLA1A,Writing progress measure for disadvantaged pupils
144,WRITPROG_FSM6CLA1A_LOWER,Writing progress measure for disadvantaged pupils - lower confidence limit
145,WRITPROG_FSM6CLA1A_UPPER,Writing progress measure for disadvantaged pupils - upper confidence limit
146,WRITPROG_NotFSM6CLA1A,Writing progress measure for non-disadvantaged pupils
147,WRITPROG_NotFSM6CLA1A_LOWER,Writing progress measure for non-disadvantaged pupils - lower confidence limit
148,WRITPROG_NotFSM6CLA1A_UPPER,Writing progress measure for non-disadvantaged pupils - upper confidence limit
149,DIFFN_WRITPROG,Difference between writing progress measure for disadvantaged pupils in school and other pupils nationally
150,WRITPROG_EAL,Writing progress measure for EAL pupils
151,WRITPROG_EAL_LOWER,Writing progress measure for EAL pupils - lower confidence limit
152,WRITPROG_EAL_UPPER,Writing progress measure for EAL pupils - upper confidence limit
153,WRITPROG_MOBN,Writing progress measure for non-mobile pupils
154,WRITPROG_MOBN_LOWER,Writing progress measure for non-mobile pupils - lower confidence limit
155,WRITPROG_MOBN_UPPER,Writing progress measure for non-mobile pupils - upper confidence limit
156,MATPROG_B,Maths progress measure for boys
157,MATPROG_B_LOWER,Maths progress measure for boys - lower confidence limit
158,MATPROG_B_UPPER,Maths progress measure for boys - upper confidence limit
159,MATPROG_G,Maths progress measure for girls
160,MATPROG_G_LOWER,Maths progress measure for girls - lower confidence limit
161,MATPROG_G_UPPER,Maths progress measure for girls - upper confidence limit
162,MATPROG_L,Maths progress measure for pupils with low prior attainment
163,MATPROG_L_LOWER,Maths progress measure for pupils with low prior attainment - lower confidence limit
164,MATPROG_L_UPPER,Maths progress measure for pupils with low prior attainment - upper confidence limit
165,MATPROG_M,Maths progress measure for pupils with medium prior attainment
166,MATPROG_M_LOWER,Maths progress measure for pupils with medium prior attainment - lower confidence limit
167,MATPROG_M_UPPER,Maths progress measure for pupils with medium prior attainment - upper confidence limit
168,MATPROG_H,Maths progress measure for pupils with high prior attainment
169,MATPROG_H_LOWER,Maths progress measure for pupils with high prior attainment - lower confidence limit
170,MATPROG_H_UPPER,Maths progress measure for pupils with high prior attainment - upper confidence limit
171,MATPROG_FSM6CLA1A,Maths progress measure for disadvantaged pupils
172,MATPROG_FSM6CLA1A_LOWER,Maths progress measure for disadvantaged pupils - lower confidence limit
173,MATPROG_FSM6CLA1A_UPPER,Maths progress measure for disadvantaged pupils - upper confidence limit
174,MATPROG_NotFSM6CLA1A,Maths progress measure for non-disadvantaged pupils
175,MATPROG_NotFSM6CLA1A_LOWER,Maths progress measure for non-disadvantaged pupils - lower confidence limit
176,MATPROG_NotFSM6CLA1A_UPPER,Maths progress measure for non-disadvantaged pupils - upper confidence limit
177,DIFFN_MATPROG,Difference between maths progress measure for disadvantaged pupils in school and other pupils nationally
178,MATPROG_EAL,Maths progress measure for EAL pupils
179,MATPROG_EAL_LOWER,Maths progress measure for EAL pupils - lower confidence limit
180,MATPROG_EAL_UPPER,Maths progress measure for EAL pupils - upper confidence limit
181,MATPROG_MOBN,Maths progress measure for non-mobile pupils
182,MATPROG_MOBN_LOWER,Maths progress measure for non-mobile pupils - lower confidence limit
183,MATPROG_MOBN_UPPER,Maths progress measure for non-mobile pupils - upper confidence limit
184,READ_AVERAGE_B,Average scaled score in reading for boys
185,READ_AVERAGE_G,Average scaled score in reading for girls
186,READ_AVERAGE_L,Average scaled score in reading for pupils with low prior attainment
187,READ_AVERAGE_M,Average scaled score in reading for pupils with medium prior attainment
188,READ_AVERAGE_H,Average scaled score in reading for pupils with high prior attainment
189,READ_AVERAGE_FSM6CLA1A,Average scaled score in reading for disadvantaged pupils
190,READ_AVERAGE_NotFSM6CLA1A,Average scaled score in reading for non-disadvantaged pupils
191,READ_AVERAGE_EAL,Average scaled score in reading for EAL pupils
192,READ_AVERAGE_MOBN,Average scaled score in reading for MOBN pupils
193,MAT_AVERAGE_B,Average scaled score in maths for boys
194,MAT_AVERAGE_G,Average scaled score in maths for girls
195,MAT_AVERAGE_L,Average scaled score in maths for pupils with low prior attainment
196,MAT_AVERAGE_M,Average scaled score in maths for pupils with medium prior attainment
197,MAT_AVERAGE_H,Average scaled score in maths for pupils with high prior attainment
198,MAT_AVERAGE_FSM6CLA1A,Average scaled score in maths for disadvantaged pupils
199,MAT_AVERAGE_NotFSM6CLA1A,Average scaled score in maths for non-disadvantaged pupils
200,MAT_AVERAGE_EAL,Average scaled score in maths for EAL pupils
201,MAT_AVERAGE_MOBN,Average scaled score in maths for MOBN pupils
202,GPS_AVERAGE_B,Average scaled score in GPS for boys
203,GPS_AVERAGE_G,Average scaled score in GPS for girls
204,GPS_AVERAGE_L,Average scaled score in GPS for pupils with low prior attainment
205,GPS_AVERAGE_M,Average scaled score in GPS for pupils with medium prior attainment
206,GPS_AVERAGE_H,Average scaled score in GPS for pupils with high prior attainment
207,GPS_AVERAGE_FSM6CLA1A,Average scaled score in GPS for disadvantaged pupils
208,GPS_AVERAGE_NotFSM6CLA1A,Average scaled score in GPS for non-disadvantaged pupils
209,GPS_AVERAGE_EAL,Average scaled score in GPS for EAL pupils
210,GPS_AVERAGE_MOBN,Average scaled score in GPS for MOBN pupils
211,PTREAD_EXP_L,Percentage of pupils with low prior attainment reaching the expected standard in reading
212,PTREAD_EXP_M,Percentage of pupils with medium prior attainment reaching the expected standard in reading
213,PTREAD_EXP_H,Percentage of pupils with high prior attainment reaching the expected standard in reading
214,PTREAD_EXP_FSM6CLA1A,Percentage of disadvantaged pupils reaching the expected standard in reading
215,PTREAD_EXP_NotFSM6CLA1A,Percentage of non-disadvantaged pupils reaching the expected standard in reading
216,PTGPS_EXP_L,"Percentage of pupils with low prior attainment reaching the expected standard in grammar, punctuation and spelling"
217,PTGPS_EXP_M,"Percentage of pupils with medium prior attainment reaching the expected standard in grammar, punctuation and spelling"
218,PTGPS_EXP_H,"Percentage of pupils with high prior attainment reaching the expected standard in grammar, punctuation and spelling"
219,PTGPS_EXP_FSM6CLA1A,"Percentage of disadvantaged pupils reaching the expected standard in grammar, punctuation and spelling"
220,PTGPS_EXP_NotFSM6CLA1A,"Percentage of non-disadvantaged pupils reaching the expected standard in grammar, punctuation and spelling"
221,PTMAT_EXP_L,Percentage of pupils with low prior attainment reaching the expected standard in maths
222,PTMAT_EXP_M,Percentage of pupils with medium prior attainment reaching the expected standard in maths
223,PTMAT_EXP_H,Percentage of pupils with high prior attainment reaching the expected standard in maths
224,PTMAT_EXP_FSM6CLA1A,Percentage of disadvantaged pupils reaching the expected standard in maths
225,PTMAT_EXP_NotFSM6CLA1A,Percentage of non-disadvantaged pupils reaching the expected standard in maths
226,PTWRITTA_EXP_L,Percentage of pupils with low prior attainment reaching the expected standard in writing
227,PTWRITTA_EXP_M,Percentage of pupils with medium prior attainment reaching the expected standard in writing
228,PTWRITTA_EXP_H,Percentage of pupils with high prior attainment reaching the expected standard in writing
229,PTWRITTA_EXP_FSM6CLA1A,Percentage of disadvantaged pupils reaching the expected standard in writing
230,PTWRITTA_EXP_NotFSM6CLA1A,Percentage of non-disadvantaged pupils reaching the expected standard in writing
231,PTREAD_HIGH_L,Percentage of pupils with low prior attainment achieving a high score in reading
232,PTREAD_HIGH_M,Percentage of pupils with medium prior attainment achieving a high score in reading
233,PTREAD_HIGH_H,Percentage of pupils with high prior attainment achieving a high score in reading
234,PTREAD_HIGH_FSM6CLA1A,Percentage of disadvantaged pupils achieving a high score in reading
235,PTREAD_HIGH_NotFSM6CLA1A,Percentage of non-disadvantaged pupils achieving a high score in reading
236,PTGPS_HIGH_L,"Percentage of pupils with low prior attainment achieving a high score in grammar, punctuation and spelling"
237,PTGPS_HIGH_M,"Percentage of pupils with medium prior attainment achieving a high score in grammar, punctuation and spelling"
238,PTGPS_HIGH_H,"Percentage of pupils with high prior attainment achieving a high score in grammar, punctuation and spelling"
239,PTGPS_HIGH_FSM6CLA1A,"Percentage of disadvantaged pupils achieving a high score in grammar, punctuation and spelling"
240,PTGPS_HIGH_NotFSM6CLA1A,"Percentage of non-disadvantaged pupils achieving a high score in grammar, punctuation and spelling"
241,PTMAT_HIGH_L,Percentage of pupils with low prior attainment achieving a high score in maths
242,PTMAT_HIGH_M,Percentage of pupils with medium prior attainment achieving a high score in maths
243,PTMAT_HIGH_H,Percentage of pupils with high prior attainment achieving a high score in maths
244,PTMAT_HIGH_FSM6CLA1A,Percentage of disadvantaged pupils achieving a high score in maths
245,PTMAT_HIGH_NotFSM6CLA1A,Percentage of non-disadvantaged pupils achieving a high score in maths
246,PTWRITTA_HIGH_L,Percentage of pupils with low prior attainment working at greater depth in writing
247,PTWRITTA_HIGH_M,Percentage of pupils with medium prior attainment working at greater depth in writing
248,PTWRITTA_HIGH_H,Percentage of pupils with high prior attainment working at greater depth in writing
249,PTWRITTA_HIGH_FSM6CLA1A,Percentage of disadvantaged pupils working at greater depth in writing
250,PTWRITTA_HIGH_NotFSM6CLA1A,Percentage of non-disadvantaged pupils working at greater depth in writing
251,TEALGRP1,Number of eligible pupils with English as first language
252,PTEALGRP1,Percentage of eligible pupils with English as first language
253,TEALGRP3,Number of eligible pupils with unclassified language
254,PTEALGRP3,Percentage of eligible pupils with unclassified language
255,TSENELE,Number of eligible pupils with EHC plan
256,PSENELE,Percentage of eligible pupils with EHC plan
257,TSENELK,Number of eligible pupils with SEN support
258,PSENELK,Percentage of eligible pupils with SEN support
259,TSENELEK,Number of eligible pupils with SEN (EHC plan or SEN support)
260,PSENELEK,Percentage of eligible pupils with SEN  (EHC plan or SEN support)
261,TELIG_22,Number of eligible pupils 2022
262,PTFSM6CLA1A_22,Percentage of key stage 2 disadvantaged pupils one year prior
263,PTNOTFSM6CLA1A_22,Percentage of key stage 2 pupils who are not disadvantaged one year prior
264,PTRWM_EXP_22,"Percentage of pupils reaching the expected standard in reading, writing and maths one year prior"
265,PTRWM_HIGH_22,Percentage of pupils achieving a high score in reading and maths and working at greater depth in writing  one year prior
266,PTRWM_EXP_FSM6CLA1A_22,"Percentage of disadvantaged pupils reaching the expected standard in reading, writing and maths one year prior"
267,PTRWM_HIGH_FSM6CLA1A_22,Percentage of disadvantaged pupils achieving a high score in reading and maths and working at greater depth in writing one year prior
268,PTRWM_EXP_NotFSM6CLA1A_22,"Percentage of non-disadvantaged pupils reaching the expected standard in reading, writing and maths one year prior"
269,PTRWM_HIGH_NotFSM6CLA1A_22,Percentage of non-disadvantaged pupils achieving a high score in reading and maths and working at greater depth in writing one year prior
270,READPROG_22,Reading progress measure - one year prior
271,READPROG_LOWER_22,Reading progress measure - lower confidence limit - one year prior
272,READPROG_UPPER_22,Reading progress measure - upper confidence limit - one year prior
273,WRITPROG_22,Writing progress measure - one year prior
274,WRITPROG_LOWER_22,Writing progress measure - lower confidence limit - one year prior
275,WRITPROG_UPPER_22,Writing progress measure - upper confidence limit - one year prior
276,MATPROG_22,Maths progress measure - one year prior
277,MATPROG_LOWER_22,Maths progress measure - lower confidence limit - one year prior
278,MATPROG_UPPER_22,Maths progress measure - upper confidence limit - one year prior
279,READ_AVERAGE_22,Average scaled score in reading - one year prior
280,MAT_AVERAGE_22,Average scaled score in maths - one year prior
281,TELIG_19,Number of eligible pupils 2019
282,PTFSM6CLA1A_19,Percentage of key stage 2 disadvantaged pupils - two years prior
283,PTNOTFSM6CLA1A_19,Percentage of key stage 2 pupils who are not disadvantaged - two years prior
284,PTRWM_EXP_19,"Percentage of pupils reaching the expected standard in reading, writing and maths - two years prior"
285,PTRWM_HIGH_19,Percentage of pupils achieving a high score in reading and maths and working at greater depth in writing - two years prior
286,PTRWM_EXP_FSM6CLA1A_19,"Percentage of disadvantaged pupils reaching the expected standard in reading, writing and maths - two years prior"
287,PTRWM_HIGH_FSM6CLA1A_19,Percentage of disadvantaged pupils achieving a high score in reading and maths and working at greater depth in writing - two years prior
288,PTRWM_EXP_NotFSM6CLA1A_19,"Percentage of non-disadvantaged pupils reaching the expected standard in reading, writing and maths - two years prior"
289,PTRWM_HIGH_NotFSM6CLA1A_19,Percentage of non-disadvantaged pupils achieving a high score in reading and maths and working at greater depth in writing - two years prior
290,READPROG_19,Reading progress measure - two years prior
291,READPROG_LOWER_19,Reading progress measure - lower confidence limit - two years prior
292,READPROG_UPPER_19,Reading progress measure - upper confidence limit - two years prior
293,WRITPROG_19,Writing progress measure - two years prior
294,WRITPROG_LOWER_19,Writing progress measure - lower confidence limit - two years prior
295,WRITPROG_UPPER_19,Writing progress measure - upper confidence limit -  two years prior
296,MATPROG_19,Maths progress measure - two years prior
297,MATPROG_LOWER_19,Maths progress measure - lower confidence limit - two years prior
298,MATPROG_UPPER_19,Maths progress measure - upper confidence limit  - two years prior
299,READ_AVERAGE_19,Average scaled score in reading - two years prior
300,MAT_AVERAGE_19,Average scaled score in maths - two years prior
301,READPROG_UNADJUSTED,Unadjusted reading progress measure
302,WRITPROG_UNADJUSTED,Unadjusted writing progress measure
303,MATPROG_UNADJUSTED,Unadjusted maths progress measure
304,READPROG_DESCR,Reading progress measure 'description'
305,WRITPROG_DESCR,Writing progress measure 'description'
306,MATPROG_DESCR,Maths progress measure 'description'
