"ID","GaelicKeywords","WordBreaks","GaelicKeywordsTraditionalSpelling","WordClass","WordClassMerged"
"49478","cùigeamh, chùigeamh, ",,,"bua.","adjective"
"49479","seiseadh, sheiseadh, , , , , seiseadh, sheiseadh, , , , , , , , ",,,"bua.","adjective"
"49480","seachdmhadh, ",,,"bua.","adjective"
"49490","còbhragach, chòbhragach, còbhragaiche, chòbhragaiche, , , còbhragach, chòbhragach, còbhragaich, chòbhragaich, còbhragaiche, chòbhragaiche, còbhragaich, chòbhragaich, , ",", , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , ","bua.","adjective"
"49505","tha Calum 'na shuain-chadal, 'na suain-chadal, ",", ",", ",,NULL
"49521","sgrìn TF, sgrìon TF, ",", ",", ",,NULL
"49523","sgrùdadh obrach, ",", ",", ",,NULL
"49529","sgeama-tòiseachaidh obrach do dhaoine ciorramach, ",", ",", ",,NULL
"49530","sgeama-saoraidh obrach, ",", ",", ",,NULL
"49531","sgeama-siridh obrach, ",", ",", ",,NULL
"49534","co-ionmhasachadh, cho-ionmhasachadh, co-ionmhasachaidh, cho-ionmhasachaidh, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","fir.","noun"
"49536","roinn-cheartais, , roinn-cheartais, , roinne-ceartais, roinn-ceartais, , , , , , , , , roinnean-ceartais, , , , , , , , , , roinnean-ceartais, , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","boir.","noun"
"49555","faircill, fairceall, fhaircill, fhairceall, faircill, fhaircill, , , , , , , , faircillean, fairclean, fhaircillean, fhairclean, , , , , , , faircillibh, fhaircillibh, faircillean, fairclean, fhaircillean, fhairclean, , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","faircioll, fhaircioll, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","fir.","noun"
"49557","teisteanas-barantachaidh, theisteanas-barantachaidh, teisteanas-bharantachaidh, teisteanais-bharantachaidh, theisteanais-bharantachaidh, , , , , , , , teisteanasan-barantachaidh, theisteanasan-barantachaidh, , , , , , , , , teisteanasan-barantachaidh, theisteanasan-barantachaidh, , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","fir.","noun"
"49560","cùrainn, cùbhrainn, chùrainn, chùbhrainn, cùrainn, cùbhrainn, chùrainn, chùbhrainn, cùrainne, cùbhrainne, chùrainne, chùbhrainne, , , , , , , , cùrainnean, cùbhrainnean, chùrainnean, chùbhrainnean, , , , , , , cùrainnibh, cùbhrainnibh, chùrainnibh, chùbhrainnibh, cùrainnean, cùbhrainnean, chùrainnean, chùbhrainnean, , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","boir.","noun"
"49572","culaidh-iongnaidh, chulaidh-iongnaidh, culaidh-iongnaidh, chulaidh-iongnaidh, culaidh-iongnaidh, chulaidh-iongnaidh, , , , , , , , culaidhean-iongnaidh, chulaidhean-iongnaidh, , , , , , , , , , , , , , , , , , , ",,,"boir.","noun"
"49585","lobaidh chan eadh, lobaidh luchd chan eadh, ",", ",", ",,NULL
"49598","pròiseact co-iomairte, pròiseact co-iomairt, ",", ",", ",,NULL
"49599","co-chathraiche, cho-chathraiche, co-chathraiche, cho-chathraiche, , , , , , , , co-chathraichean, cho-chathraichean, , , , , , , co-chathraichibh, cho-chathraichibh, co-chathraichean, cho-chathraichean, , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","fir.","noun"
"49601","ath-sgrùdadh laghail, ",", ",", ",,NULL
"49617","co-èifeachd mhac-meanmnach, ",", ","co-éifeachd mhac-meanmnach, ",,NULL
"49629","làn-fhollaiseach, , làn-fhollaisiche, , , , làn-fhollaiseach, , làn-fhollaisich, , làn-fhollaisiche, , làn-fhollaisich, , , ",", , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , ","bua.","adjective"
"49637","pàigheadh aon turais, ",", ",", ",,NULL
"49639","sruth-airgid, shruth-airgid, sruth-airgid, shruth-airgid, , , , , , , , sruthan-airgid, shruthan-airgid, , , , , , , , , sruthan-airgid, shruthan-airgid, , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","fir.","noun"
"49671","ùdlaiche, ùdlaich, ùtlaich, ùtlaiche, , ùdlaiche, ùdlaich, ùtlaich, ùtlaiche, , , , , , , , , ùdlaichean, ùtlaichean, , , , , , , , ùdlaichibh, ùtlaichibh, , ùdlaichean, ùtlaichean, , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","fir.","noun"
"49673","cràc, chràc, cràic, cràice, chràic, chràice, , , , , , , , cràcan, chràcan, , , , , , , cràcaibh, chràcaibh, cràcan, chràcan, , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","fir.","noun"
"49675","tlamam, tlam, tlamadh, tlamamaid, tlamaibh, tlamadh, tlamadh, thlamadh, , , , , , , , , , , , , , , tlamaidh, thlamas, tlam, thlam, thlam, do thlam, tlamta, thlamta, thlamainn, thlamadh, thlamamaid, tlamainn, thlamainn, tlamadh, thlamadh, tlamamaid, thlamamaid, tlamar, tlamtar, tlamar, thlamar, tlamar, thlamar, thlamadh, do thlamadh, thlamte, thlamaiste, thlamaist, tlamte, tlamaiste, tlamaist, thlamte, thlamaiste, thlamaist, , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","gn.","verb"
"49687","comataidh a' cheartais, comataidh ceartas, ",", ",", ",,NULL
"49690","maor-ghairm, mhaor-ghairm, maoir-ghairm, mhaoir-ghairm, , , , , , , , maoir-ghairm, mhaoir-ghairm, , , , , , , , , maor-ghairm, mhaor-ghairm, , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","fir.","noun"
