"------------------------------------------------------------------"
"Sex, area background and ethnic group			"
"------------------------------------------------------------------"
"This file contains data used reported in the Sex, area background and ethnic group reports, covering all providers for whom reports have been published on the UCAS website."
"Cycle years: 2010 - 2021"
"Cycle reference point: End of Cycle"
"Applicant coverage: UK domiciled"
"Equality dimensions: Sex, POLAR4, SIMD 2016, ethnic group"
"Statistics reported:"
"June deadline applicants, placed June deadline applicants, all placed applicants, June deadline applicants per 10,000 population, placed June deadline applicants per 10,000 population,"
"all placed applicants per 10,000 population"
"June deadline applications, offers, offer rate, average offer rate, percentage point difference between offer rate and average offer rate, contribution of group to the average offer rate"
"Non-disclosure controls: To avoid the disclosure of information about any individual the following measures are taken"
"Applicants, placed applicants, applications and offers are rounded to the nearest 5."
"Applicants/placed applicants per 10,000 population figures are reported as 0 if the applicant/placed applicant figures are rounded to 0."
"All statistics related to the offer rate are not reported when the number of applications for a group is less than 10. The percentage point difference between the offer rate and"
"the average offer rate is not reported when the number of applications for a group is less than 50."
"Offer rates are reported as 0% if there are fewer than 5 offers, and 100% if the number of offers is within 5 of the number of applications. When the offer rate is reported as 0% or 100%,"
"it is reported in italics."
"------------------------------------------------------------------"
Please refer to the Sex, area background and ethnic group reports specified above for technical notes and definitions.
Data lines are comma delimited.
Data follows - 12312 lines in total
------------------------------------------------------------------
inst_cntry_2021_map,Cycle,statistic,equality_dimension,agegroup,value
Welsh providers,2015,"Placed June deadline applicants per 10,000 population",White ethnic group,18 year olds,149.8
Welsh providers,2015,"Placed June deadline applicants per 10,000 population",Black ethnic group,18 year olds,37.1
Welsh providers,2015,"Placed June deadline applicants per 10,000 population",Asian ethnic group,18 year olds,49.7
Welsh providers,2015,"Placed June deadline applicants per 10,000 population",Mixed ethnic group,18 year olds,91.1
Welsh providers,2015,"Placed June deadline applicants per 10,000 population",Other ethnic group,18 year olds,58.1
Welsh providers,2015,"Placed June deadline applicants per 10,000 population",POLAR4 Q1,18 year olds,97.3
Welsh providers,2015,"Placed June deadline applicants per 10,000 population",POLAR4 Q2,18 year olds,136.7
Welsh providers,2015,"Placed June deadline applicants per 10,000 population",POLAR4 Q3,18 year olds,151.7
Welsh providers,2015,"Placed June deadline applicants per 10,000 population",POLAR4 Q4,18 year olds,134.6
Welsh providers,2015,"Placed June deadline applicants per 10,000 population",POLAR4 Q5,18 year olds,139.8
Welsh providers,2015,"Placed June deadline applicants per 10,000 population",Men,18 year olds,118.8
Welsh providers,2015,"Placed June deadline applicants per 10,000 population",Women,18 year olds,147.4
Welsh providers,2016,"Placed June deadline applicants per 10,000 population",Total,18 year olds,137.5
Welsh providers,2016,"Placed June deadline applicants per 10,000 population",White ethnic group,18 year olds,156.1
Welsh providers,2016,"Placed June deadline applicants per 10,000 population",Black ethnic group,18 year olds,40.2
Welsh providers,2016,"Placed June deadline applicants per 10,000 population",Asian ethnic group,18 year olds,52.1
Welsh providers,2016,"Placed June deadline applicants per 10,000 population",Mixed ethnic group,18 year olds,85.8
Welsh providers,2016,"Placed June deadline applicants per 10,000 population",Other ethnic group,18 year olds,56.3
Welsh providers,2016,"Placed June deadline applicants per 10,000 population",POLAR4 Q1,18 year olds,95
Welsh providers,2016,"Placed June deadline applicants per 10,000 population",POLAR4 Q2,18 year olds,144.4
Welsh providers,2016,"Placed June deadline applicants per 10,000 population",POLAR4 Q3,18 year olds,154.7
Welsh providers,2016,"Placed June deadline applicants per 10,000 population",POLAR4 Q4,18 year olds,139.4
Welsh providers,2016,"Placed June deadline applicants per 10,000 population",POLAR4 Q5,18 year olds,148.4
Welsh providers,2016,"Placed June deadline applicants per 10,000 population",Men,18 year olds,120.9
Welsh providers,2016,"Placed June deadline applicants per 10,000 population",Women,18 year olds,155
Welsh providers,2017,"Placed June deadline applicants per 10,000 population",Total,18 year olds,137.9
Welsh providers,2017,"Placed June deadline applicants per 10,000 population",White ethnic group,18 year olds,156.6
Welsh providers,2017,"Placed June deadline applicants per 10,000 population",Black ethnic group,18 year olds,38.4
Welsh providers,2017,"Placed June deadline applicants per 10,000 population",Asian ethnic group,18 year olds,56.4
Welsh providers,2017,"Placed June deadline applicants per 10,000 population",Mixed ethnic group,18 year olds,90.3
Welsh providers,2017,"Placed June deadline applicants per 10,000 population",Other ethnic group,18 year olds,54.4
Welsh providers,2017,"Placed June deadline applicants per 10,000 population",POLAR4 Q1,18 year olds,97.7
Welsh providers,2017,"Placed June deadline applicants per 10,000 population",POLAR4 Q2,18 year olds,145
Welsh providers,2017,"Placed June deadline applicants per 10,000 population",POLAR4 Q3,18 year olds,154.6
Welsh providers,2017,"Placed June deadline applicants per 10,000 population",POLAR4 Q4,18 year olds,138.2
Welsh providers,2017,"Placed June deadline applicants per 10,000 population",POLAR4 Q5,18 year olds,148.1
Welsh providers,2017,"Placed June deadline applicants per 10,000 population",Men,18 year olds,122.6
Welsh providers,2017,"Placed June deadline applicants per 10,000 population",Women,18 year olds,153.9
Welsh providers,2018,"Placed June deadline applicants per 10,000 population",Total,18 year olds,133.7
Welsh providers,2018,"Placed June deadline applicants per 10,000 population",White ethnic group,18 year olds,150.6
Welsh providers,2018,"Placed June deadline applicants per 10,000 population",Black ethnic group,18 year olds,41.1
Welsh providers,2018,"Placed June deadline applicants per 10,000 population",Asian ethnic group,18 year olds,64.6
Welsh providers,2018,"Placed June deadline applicants per 10,000 population",Mixed ethnic group,18 year olds,93.1
Welsh providers,2018,"Placed June deadline applicants per 10,000 population",Other ethnic group,18 year olds,66.2
Welsh providers,2018,"Placed June deadline applicants per 10,000 population",POLAR4 Q1,18 year olds,94.9
Welsh providers,2018,"Placed June deadline applicants per 10,000 population",POLAR4 Q2,18 year olds,138
Welsh providers,2018,"Placed June deadline applicants per 10,000 population",POLAR4 Q3,18 year olds,150.5
Welsh providers,2018,"Placed June deadline applicants per 10,000 population",POLAR4 Q4,18 year olds,132.3
Welsh providers,2018,"Placed June deadline applicants per 10,000 population",POLAR4 Q5,18 year olds,146.8
Welsh providers,2018,"Placed June deadline applicants per 10,000 population",Men,18 year olds,116.6
Welsh providers,2018,"Placed June deadline applicants per 10,000 population",Women,18 year olds,151.8
Welsh providers,2019,"Placed June deadline applicants per 10,000 population",Total,18 year olds,128.8
Welsh providers,2019,"Placed June deadline applicants per 10,000 population",White ethnic group,18 year olds,146.6
Welsh providers,2019,"Placed June deadline applicants per 10,000 population",Black ethnic group,18 year olds,45.5
Welsh providers,2019,"Placed June deadline applicants per 10,000 population",Asian ethnic group,18 year olds,60.5
Welsh providers,2019,"Placed June deadline applicants per 10,000 population",Mixed ethnic group,18 year olds,88.5
Welsh providers,2019,"Placed June deadline applicants per 10,000 population",Other ethnic group,18 year olds,67.7
Welsh providers,2019,"Placed June deadline applicants per 10,000 population",POLAR4 Q1,18 year olds,95.7
Welsh providers,2019,"Placed June deadline applicants per 10,000 population",POLAR4 Q2,18 year olds,139.8
Welsh providers,2019,"Placed June deadline applicants per 10,000 population",POLAR4 Q3,18 year olds,137.7
Welsh providers,2019,"Placed June deadline applicants per 10,000 population",POLAR4 Q4,18 year olds,127.1
Welsh providers,2019,"Placed June deadline applicants per 10,000 population",POLAR4 Q5,18 year olds,138.8
Welsh providers,2019,"Placed June deadline applicants per 10,000 population",Men,18 year olds,110.9
Welsh providers,2019,"Placed June deadline applicants per 10,000 population",Women,18 year olds,147.7
Welsh providers,2020,"Placed June deadline applicants per 10,000 population",Total,18 year olds,137.6
Welsh providers,2020,"Placed June deadline applicants per 10,000 population",White ethnic group,18 year olds,157.9
Welsh providers,2020,"Placed June deadline applicants per 10,000 population",Black ethnic group,18 year olds,52.7
Welsh providers,2020,"Placed June deadline applicants per 10,000 population",Asian ethnic group,18 year olds,63.9
Welsh providers,2020,"Placed June deadline applicants per 10,000 population",Mixed ethnic group,18 year olds,85
Welsh providers,2020,"Placed June deadline applicants per 10,000 population",Other ethnic group,18 year olds,70
Welsh providers,2020,"Placed June deadline applicants per 10,000 population",POLAR4 Q1,18 year olds,103.7
Welsh providers,2020,"Placed June deadline applicants per 10,000 population",POLAR4 Q2,18 year olds,139
Welsh providers,2020,"Placed June deadline applicants per 10,000 population",POLAR4 Q3,18 year olds,150
Welsh providers,2020,"Placed June deadline applicants per 10,000 population",POLAR4 Q4,18 year olds,138.6
Welsh providers,2020,"Placed June deadline applicants per 10,000 population",POLAR4 Q5,18 year olds,150.6
Welsh providers,2020,"Placed June deadline applicants per 10,000 population",Men,18 year olds,118.9
Welsh providers,2020,"Placed June deadline applicants per 10,000 population",Women,18 year olds,157.4
Welsh providers,2021,"Placed June deadline applicants per 10,000 population",Total,18 year olds,163.2
Welsh providers,2021,"Placed June deadline applicants per 10,000 population",White ethnic group,18 year olds,186.2
Welsh providers,2021,"Placed June deadline applicants per 10,000 population",Black ethnic group,18 year olds,49.3
Welsh providers,2021,"Placed June deadline applicants per 10,000 population",Asian ethnic group,18 year olds,82.1
Welsh providers,2021,"Placed June deadline applicants per 10,000 population",Mixed ethnic group,18 year olds,122.1
Welsh providers,2021,"Placed June deadline applicants per 10,000 population",Other ethnic group,18 year olds,92.8
Welsh providers,2021,"Placed June deadline applicants per 10,000 population",POLAR4 Q1,18 year olds,116.9
Welsh providers,2021,"Placed June deadline applicants per 10,000 population",POLAR4 Q2,18 year olds,164
Welsh providers,2021,"Placed June deadline applicants per 10,000 population",POLAR4 Q3,18 year olds,177
Welsh providers,2021,"Placed June deadline applicants per 10,000 population",POLAR4 Q4,18 year olds,164
Welsh providers,2021,"Placed June deadline applicants per 10,000 population",POLAR4 Q5,18 year olds,184.6
Welsh providers,2021,"Placed June deadline applicants per 10,000 population",Men,18 year olds,140.9
Welsh providers,2021,"Placed June deadline applicants per 10,000 population",Women,18 year olds,186.7
Welsh providers,2010,"All placed applicants per 10,000 population",Total,18 year olds,158.2
Welsh providers,2010,"All placed applicants per 10,000 population",White ethnic group,18 year olds,175.6
Welsh providers,2010,"All placed applicants per 10,000 population",Black ethnic group,18 year olds,32.9
Welsh providers,2010,"All placed applicants per 10,000 population",Asian ethnic group,18 year olds,46.4
Welsh providers,2010,"All placed applicants per 10,000 population",Mixed ethnic group,18 year olds,95.4
Welsh providers,2010,"All placed applicants per 10,000 population",Other ethnic group,18 year olds,46.8
Welsh providers,2010,"All placed applicants per 10,000 population",POLAR4 Q1,18 year olds,96.1
Welsh providers,2010,"All placed applicants per 10,000 population",POLAR4 Q2,18 year olds,154.4
Welsh providers,2010,"All placed applicants per 10,000 population",POLAR4 Q3,18 year olds,180.9
Welsh providers,2010,"All placed applicants per 10,000 population",POLAR4 Q4,18 year olds,170.9
Welsh providers,2010,"All placed applicants per 10,000 population",POLAR4 Q5,18 year olds,181.2
Welsh providers,2010,"All placed applicants per 10,000 population",Men,18 year olds,138.7
Welsh providers,2010,"All placed applicants per 10,000 population",Women,18 year olds,178.3
Welsh providers,2011,"All placed applicants per 10,000 population",Total,18 year olds,172
Welsh providers,2011,"All placed applicants per 10,000 population",White ethnic group,18 year olds,190.4
Welsh providers,2011,"All placed applicants per 10,000 population",Black ethnic group,18 year olds,52.7
Welsh providers,2011,"All placed applicants per 10,000 population",Asian ethnic group,18 year olds,60.3
Welsh providers,2011,"All placed applicants per 10,000 population",Mixed ethnic group,18 year olds,113.5
Welsh providers,2011,"All placed applicants per 10,000 population",Other ethnic group,18 year olds,58
Welsh providers,2011,"All placed applicants per 10,000 population",POLAR4 Q1,18 year olds,101.5
Welsh providers,2011,"All placed applicants per 10,000 population",POLAR4 Q2,18 year olds,161.3
Welsh providers,2011,"All placed applicants per 10,000 population",POLAR4 Q3,18 year olds,185.6
Welsh providers,2011,"All placed applicants per 10,000 population",POLAR4 Q4,18 year olds,191.5
Welsh providers,2011,"All placed applicants per 10,000 population",POLAR4 Q5,18 year olds,210.5
Welsh providers,2011,"All placed applicants per 10,000 population",Men,18 year olds,155.8
Welsh providers,2011,"All placed applicants per 10,000 population",Women,18 year olds,188.9
Welsh providers,2012,"All placed applicants per 10,000 population",Total,18 year olds,153.7
Welsh providers,2012,"All placed applicants per 10,000 population",White ethnic group,18 year olds,170.5
Welsh providers,2012,"All placed applicants per 10,000 population",Black ethnic group,18 year olds,53.3
Welsh providers,2012,"All placed applicants per 10,000 population",Asian ethnic group,18 year olds,58.1
Welsh providers,2012,"All placed applicants per 10,000 population",Mixed ethnic group,18 year olds,90.2
Welsh providers,2012,"All placed applicants per 10,000 population",Other ethnic group,18 year olds,50.9
Welsh providers,2012,"All placed applicants per 10,000 population",POLAR4 Q1,18 year olds,94.1
Welsh providers,2012,"All placed applicants per 10,000 population",POLAR4 Q2,18 year olds,149.3
Welsh providers,2012,"All placed applicants per 10,000 population",POLAR4 Q3,18 year olds,172.2
Welsh providers,2012,"All placed applicants per 10,000 population",POLAR4 Q4,18 year olds,159.4
Welsh providers,2012,"All placed applicants per 10,000 population",POLAR4 Q5,18 year olds,184.7
Welsh providers,2012,"All placed applicants per 10,000 population",Men,18 year olds,136.7
Welsh providers,2012,"All placed applicants per 10,000 population",Women,18 year olds,171.6
Welsh providers,2013,"All placed applicants per 10,000 population",Total,18 year olds,158.3
Welsh providers,2013,"All placed applicants per 10,000 population",White ethnic group,18 year olds,175.8
Welsh providers,2013,"All placed applicants per 10,000 population",Black ethnic group,18 year olds,54.6
Welsh providers,2013,"All placed applicants per 10,000 population",Asian ethnic group,18 year olds,65.3
Welsh providers,2013,"All placed applicants per 10,000 population",Mixed ethnic group,18 year olds,104.7
Welsh providers,2013,"All placed applicants per 10,000 population",Other ethnic group,18 year olds,56.2
Welsh providers,2013,"All placed applicants per 10,000 population",POLAR4 Q1,18 year olds,102.5
Welsh providers,2013,"All placed applicants per 10,000 population",POLAR4 Q2,18 year olds,154.2
Welsh providers,2013,"All placed applicants per 10,000 population",POLAR4 Q3,18 year olds,174
Welsh providers,2013,"All placed applicants per 10,000 population",POLAR4 Q4,18 year olds,164.8
Welsh providers,2013,"All placed applicants per 10,000 population",POLAR4 Q5,18 year olds,187.1
Welsh providers,2013,"All placed applicants per 10,000 population",Men,18 year olds,142.6
Welsh providers,2013,"All placed applicants per 10,000 population",Women,18 year olds,174.9
Welsh providers,2014,"All placed applicants per 10,000 population",Total,18 year olds,161.2
Welsh providers,2014,"All placed applicants per 10,000 population",White ethnic group,18 year olds,179.3
Welsh providers,2014,"All placed applicants per 10,000 population",Black ethnic group,18 year olds,62
Welsh providers,2014,"All placed applicants per 10,000 population",Asian ethnic group,18 year olds,73.7
Welsh providers,2014,"All placed applicants per 10,000 population",Mixed ethnic group,18 year olds,99.4
Welsh providers,2014,"All placed applicants per 10,000 population",Other ethnic group,18 year olds,63.4
Welsh providers,2014,"All placed applicants per 10,000 population",POLAR4 Q1,18 year olds,111.3
Welsh providers,2014,"All placed applicants per 10,000 population",POLAR4 Q2,18 year olds,163.9
Welsh providers,2014,"All placed applicants per 10,000 population",POLAR4 Q3,18 year olds,184
Welsh providers,2014,"All placed applicants per 10,000 population",POLAR4 Q4,18 year olds,160.4
Welsh providers,2014,"All placed applicants per 10,000 population",POLAR4 Q5,18 year olds,180.4
Welsh providers,2014,"All placed applicants per 10,000 population",Men,18 year olds,147.2
Welsh providers,2014,"All placed applicants per 10,000 population",Women,18 year olds,176.1
Welsh providers,2015,"All placed applicants per 10,000 population",Total,18 year olds,157
Welsh providers,2015,"All placed applicants per 10,000 population",White ethnic group,18 year olds,174.7
Welsh providers,2015,"All placed applicants per 10,000 population",Black ethnic group,18 year olds,56.5
Welsh providers,2015,"All placed applicants per 10,000 population",Asian ethnic group,18 year olds,70.6
Welsh providers,2015,"All placed applicants per 10,000 population",Mixed ethnic group,18 year olds,112.2
Welsh providers,2015,"All placed applicants per 10,000 population",Other ethnic group,18 year olds,70.5
Welsh providers,2015,"All placed applicants per 10,000 population",POLAR4 Q1,18 year olds,112.7
Welsh providers,2015,"All placed applicants per 10,000 population",POLAR4 Q2,18 year olds,160.3
Welsh providers,2015,"All placed applicants per 10,000 population",POLAR4 Q3,18 year olds,176
Welsh providers,2015,"All placed applicants per 10,000 population",POLAR4 Q4,18 year olds,157.8
Welsh providers,2015,"All placed applicants per 10,000 population",POLAR4 Q5,18 year olds,172.4
Welsh providers,2015,"All placed applicants per 10,000 population",Men,18 year olds,140.7
Welsh providers,2015,"All placed applicants per 10,000 population",Women,18 year olds,174
Welsh providers,2016,"All placed applicants per 10,000 population",Total,18 year olds,168
Welsh providers,2016,"All placed applicants per 10,000 population",White ethnic group,18 year olds,187.3
Welsh providers,2016,"All placed applicants per 10,000 population",Black ethnic group,18 year olds,63.6
Welsh providers,2016,"All placed applicants per 10,000 population",Asian ethnic group,18 year olds,76
Welsh providers,2016,"All placed applicants per 10,000 population",Mixed ethnic group,18 year olds,116.6
Welsh providers,2016,"All placed applicants per 10,000 population",Other ethnic group,18 year olds,91.4
Welsh providers,2016,"All placed applicants per 10,000 population",POLAR4 Q1,18 year olds,113.1
Welsh providers,2016,"All placed applicants per 10,000 population",POLAR4 Q2,18 year olds,171.6
Welsh providers,2016,"All placed applicants per 10,000 population",POLAR4 Q3,18 year olds,183.3
Welsh providers,2016,"All placed applicants per 10,000 population",POLAR4 Q4,18 year olds,169.8
Welsh providers,2016,"All placed applicants per 10,000 population",POLAR4 Q5,18 year olds,193.1
Welsh providers,2016,"All placed applicants per 10,000 population",Men,18 year olds,149.2
Welsh providers,2016,"All placed applicants per 10,000 population",Women,18 year olds,187.8
Welsh providers,2017,"All placed applicants per 10,000 population",Total,18 year olds,167.4
Welsh providers,2017,"All placed applicants per 10,000 population",White ethnic group,18 year olds,186.3
Welsh providers,2017,"All placed applicants per 10,000 population",Black ethnic group,18 year olds,59.4
Welsh providers,2017,"All placed applicants per 10,000 population",Asian ethnic group,18 year olds,84
Welsh providers,2017,"All placed applicants per 10,000 population",Mixed ethnic group,18 year olds,119.9
Welsh providers,2017,"All placed applicants per 10,000 population",Other ethnic group,18 year olds,88.3
Welsh providers,2017,"All placed applicants per 10,000 population",POLAR4 Q1,18 year olds,113.9
Welsh providers,2017,"All placed applicants per 10,000 population",POLAR4 Q2,18 year olds,170.9
Welsh providers,2017,"All placed applicants per 10,000 population",POLAR4 Q3,18 year olds,182.1
Welsh providers,2017,"All placed applicants per 10,000 population",POLAR4 Q4,18 year olds,170.2
Welsh providers,2017,"All placed applicants per 10,000 population",POLAR4 Q5,18 year olds,190.4
Welsh providers,2017,"All placed applicants per 10,000 population",Men,18 year olds,151
Welsh providers,2017,"All placed applicants per 10,000 population",Women,18 year olds,184.6
Welsh providers,2018,"All placed applicants per 10,000 population",Total,18 year olds,163.8
Welsh providers,2018,"All placed applicants per 10,000 population",White ethnic group,18 year olds,179.8
Welsh providers,2018,"All placed applicants per 10,000 population",Black ethnic group,18 year olds,64.4
Welsh providers,2018,"All placed applicants per 10,000 population",Asian ethnic group,18 year olds,96.5
Welsh providers,2018,"All placed applicants per 10,000 population",Mixed ethnic group,18 year olds,127.4
Welsh providers,2018,"All placed applicants per 10,000 population",Other ethnic group,18 year olds,106.3
Welsh providers,2018,"All placed applicants per 10,000 population",POLAR4 Q1,18 year olds,111.9
Welsh providers,2018,"All placed applicants per 10,000 population",POLAR4 Q2,18 year olds,164.5
Welsh providers,2018,"All placed applicants per 10,000 population",POLAR4 Q3,18 year olds,179.2
Welsh providers,2018,"All placed applicants per 10,000 population",POLAR4 Q4,18 year olds,164.2
Welsh providers,2018,"All placed applicants per 10,000 population",POLAR4 Q5,18 year olds,189.2
Welsh providers,2018,"All placed applicants per 10,000 population",Men,18 year olds,145.8
Welsh providers,2018,"All placed applicants per 10,000 population",Women,18 year olds,182.7
Welsh providers,2019,"All placed applicants per 10,000 population",Total,18 year olds,164.2
Welsh providers,2019,"All placed applicants per 10,000 population",White ethnic group,18 year olds,181.4
Welsh providers,2019,"All placed applicants per 10,000 population",Black ethnic group,18 year olds,76.7
Welsh providers,2019,"All placed applicants per 10,000 population",Asian ethnic group,18 year olds,95
Welsh providers,2019,"All placed applicants per 10,000 population",Mixed ethnic group,18 year olds,126.4
Welsh providers,2019,"All placed applicants per 10,000 population",Other ethnic group,18 year olds,102.4
Welsh providers,2019,"All placed applicants per 10,000 population",POLAR4 Q1,18 year olds,116.4
Welsh providers,2019,"All placed applicants per 10,000 population",POLAR4 Q2,18 year olds,167.5
Welsh providers,2019,"All placed applicants per 10,000 population",POLAR4 Q3,18 year olds,172.1
Welsh providers,2019,"All placed applicants per 10,000 population",POLAR4 Q4,18 year olds,160.9
Welsh providers,2019,"All placed applicants per 10,000 population",POLAR4 Q5,18 year olds,193.4
Welsh providers,2019,"All placed applicants per 10,000 population",Men,18 year olds,145.3
Welsh providers,2019,"All placed applicants per 10,000 population",Women,18 year olds,184
Welsh providers,2020,"All placed applicants per 10,000 population",Total,18 year olds,173.3
Welsh providers,2020,"All placed applicants per 10,000 population",White ethnic group,18 year olds,192.6
Welsh providers,2020,"All placed applicants per 10,000 population",Black ethnic group,18 year olds,83.5
Welsh providers,2020,"All placed applicants per 10,000 population",Asian ethnic group,18 year olds,100.1
Welsh providers,2020,"All placed applicants per 10,000 population",Mixed ethnic group,18 year olds,124.4
Welsh providers,2020,"All placed applicants per 10,000 population",Other ethnic group,18 year olds,114
Welsh providers,2020,"All placed applicants per 10,000 population",POLAR4 Q1,18 year olds,123.4
Welsh providers,2020,"All placed applicants per 10,000 population",POLAR4 Q2,18 year olds,170.4
Welsh providers,2020,"All placed applicants per 10,000 population",POLAR4 Q3,18 year olds,183
Welsh providers,2020,"All placed applicants per 10,000 population",POLAR4 Q4,18 year olds,174.8
Welsh providers,2020,"All placed applicants per 10,000 population",POLAR4 Q5,18 year olds,203.2
Welsh providers,2020,"All placed applicants per 10,000 population",Men,18 year olds,155.3
Welsh providers,2020,"All placed applicants per 10,000 population",Women,18 year olds,192.2
Welsh providers,2021,"All placed applicants per 10,000 population",Total,18 year olds,189.9
Welsh providers,2021,"All placed applicants per 10,000 population",White ethnic group,18 year olds,212.3
Welsh providers,2021,"All placed applicants per 10,000 population",Black ethnic group,18 year olds,78
Welsh providers,2021,"All placed applicants per 10,000 population",Asian ethnic group,18 year olds,106.1
Welsh providers,2021,"All placed applicants per 10,000 population",Mixed ethnic group,18 year olds,150.6
Welsh providers,2021,"All placed applicants per 10,000 population",Other ethnic group,18 year olds,128.4
Welsh providers,2021,"All placed applicants per 10,000 population",POLAR4 Q1,18 year olds,134.5
Welsh providers,2021,"All placed applicants per 10,000 population",POLAR4 Q2,18 year olds,186
Welsh providers,2021,"All placed applicants per 10,000 population",POLAR4 Q3,18 year olds,203
Welsh providers,2021,"All placed applicants per 10,000 population",POLAR4 Q4,18 year olds,191.3
Welsh providers,2021,"All placed applicants per 10,000 population",POLAR4 Q5,18 year olds,221.9
Welsh providers,2021,"All placed applicants per 10,000 population",Men,18 year olds,167.2
Welsh providers,2021,"All placed applicants per 10,000 population",Women,18 year olds,213.9
Welsh providers,2010,June deadline applications,Total,18 year olds,56675
Welsh providers,2010,June deadline applications,White ethnic group,18 year olds,52980
Welsh providers,2010,June deadline applications,Black ethnic group,18 year olds,425
Welsh providers,2010,June deadline applications,Asian ethnic group,18 year olds,1740
Welsh providers,2010,June deadline applications,Mixed ethnic group,18 year olds,1135
Welsh providers,2010,June deadline applications,Other ethnic group,18 year olds,195
Welsh providers,2010,June deadline applications,POLAR4 Q1,18 year olds,6775
Welsh providers,2010,June deadline applications,POLAR4 Q2,18 year olds,10670
Welsh providers,2010,June deadline applications,POLAR4 Q3,18 year olds,12470
Welsh providers,2010,June deadline applications,POLAR4 Q4,18 year olds,11870
Welsh providers,2010,June deadline applications,POLAR4 Q5,18 year olds,14800
Welsh providers,2010,June deadline applications,Men,18 year olds,25110
Welsh providers,2010,June deadline applications,Women,18 year olds,31570
Welsh providers,2011,June deadline applications,Total,18 year olds,56400
Welsh providers,2011,June deadline applications,White ethnic group,18 year olds,52565
Welsh providers,2011,June deadline applications,Black ethnic group,18 year olds,430
Welsh providers,2011,June deadline applications,Asian ethnic group,18 year olds,1805
Welsh providers,2011,June deadline applications,Mixed ethnic group,18 year olds,1205
Welsh providers,2011,June deadline applications,Other ethnic group,18 year olds,160
Welsh providers,2011,June deadline applications,POLAR4 Q1,18 year olds,6720
Welsh providers,2011,June deadline applications,POLAR4 Q2,18 year olds,10615
Welsh providers,2011,June deadline applications,POLAR4 Q3,18 year olds,12190
Welsh providers,2011,June deadline applications,POLAR4 Q4,18 year olds,12060
Welsh providers,2011,June deadline applications,POLAR4 Q5,18 year olds,14755
Welsh providers,2011,June deadline applications,Men,18 year olds,24985
Welsh providers,2011,June deadline applications,Women,18 year olds,31415
Welsh providers,2012,June deadline applications,Total,18 year olds,50910
Welsh providers,2012,June deadline applications,White ethnic group,18 year olds,47205
Welsh providers,2012,June deadline applications,Black ethnic group,18 year olds,535
Welsh providers,2012,June deadline applications,Asian ethnic group,18 year olds,1785
Welsh providers,2012,June deadline applications,Mixed ethnic group,18 year olds,1020
Welsh providers,2012,June deadline applications,Other ethnic group,18 year olds,205
Welsh providers,2012,June deadline applications,POLAR4 Q1,18 year olds,6140
Welsh providers,2012,June deadline applications,POLAR4 Q2,18 year olds,9655
Welsh providers,2012,June deadline applications,POLAR4 Q3,18 year olds,11065
Welsh providers,2012,June deadline applications,POLAR4 Q4,18 year olds,10530
Welsh providers,2012,June deadline applications,POLAR4 Q5,18 year olds,13450
Welsh providers,2012,June deadline applications,Men,18 year olds,22055
Welsh providers,2012,June deadline applications,Women,18 year olds,28855
Welsh providers,2013,June deadline applications,Total,18 year olds,52485
Welsh providers,2013,June deadline applications,White ethnic group,18 year olds,48040
Welsh providers,2013,June deadline applications,Black ethnic group,18 year olds,680
Welsh providers,2013,June deadline applications,Asian ethnic group,18 year olds,2160
Welsh providers,2013,June deadline applications,Mixed ethnic group,18 year olds,1220
Welsh providers,2013,June deadline applications,Other ethnic group,18 year olds,225
Welsh providers,2013,June deadline applications,POLAR4 Q1,18 year olds,6160
Welsh providers,2013,June deadline applications,POLAR4 Q2,18 year olds,9660
Welsh providers,2013,June deadline applications,POLAR4 Q3,18 year olds,11050
Welsh providers,2013,June deadline applications,POLAR4 Q4,18 year olds,11210
Welsh providers,2013,June deadline applications,POLAR4 Q5,18 year olds,14340
Welsh providers,2013,June deadline applications,Men,18 year olds,23385
Welsh providers,2013,June deadline applications,Women,18 year olds,29100
Welsh providers,2014,June deadline applications,Total,18 year olds,53430
Welsh providers,2014,June deadline applications,White ethnic group,18 year olds,47790
Welsh providers,2014,June deadline applications,Black ethnic group,18 year olds,890
Welsh providers,2014,June deadline applications,Asian ethnic group,18 year olds,2790
Welsh providers,2014,June deadline applications,Mixed ethnic group,18 year olds,1410
Welsh providers,2014,June deadline applications,Other ethnic group,18 year olds,375
Welsh providers,2014,June deadline applications,POLAR4 Q1,18 year olds,6695
Welsh providers,2014,June deadline applications,POLAR4 Q2,18 year olds,10020
Welsh providers,2014,June deadline applications,POLAR4 Q3,18 year olds,11290
Welsh providers,2014,June deadline applications,POLAR4 Q4,18 year olds,10870
Welsh providers,2014,June deadline applications,POLAR4 Q5,18 year olds,14500
Welsh providers,2014,June deadline applications,Men,18 year olds,24305
Welsh providers,2014,June deadline applications,Women,18 year olds,29125
Welsh providers,2015,June deadline applications,Total,18 year olds,53340
Welsh providers,2015,June deadline applications,White ethnic group,18 year olds,47440
Welsh providers,2015,June deadline applications,Black ethnic group,18 year olds,925
Welsh providers,2015,June deadline applications,Asian ethnic group,18 year olds,2830
Welsh providers,2015,June deadline applications,Mixed ethnic group,18 year olds,1560
Welsh providers,2015,June deadline applications,Other ethnic group,18 year olds,365
Welsh providers,2015,June deadline applications,POLAR4 Q1,18 year olds,6865
Welsh providers,2015,June deadline applications,POLAR4 Q2,18 year olds,9865
