"------------------------------------------------------------------"
"Sex, area background and ethnic group			"
"------------------------------------------------------------------"
"This file contains data used reported in the Sex, area background and ethnic group reports, covering all providers for whom reports have been published on the UCAS website."
"Cycle years: 2010 - 2021"
"Cycle reference point: End of Cycle"
"Applicant coverage: UK domiciled"
"Equality dimensions: Sex, POLAR4, SIMD 2016, ethnic group"
"Statistics reported:"
"June deadline applicants, placed June deadline applicants, all placed applicants, June deadline applicants per 10,000 population, placed June deadline applicants per 10,000 population,"
"all placed applicants per 10,000 population"
"June deadline applications, offers, offer rate, average offer rate, percentage point difference between offer rate and average offer rate, contribution of group to the average offer rate"
"Non-disclosure controls: To avoid the disclosure of information about any individual the following measures are taken"
"Applicants, placed applicants, applications and offers are rounded to the nearest 5."
"Applicants/placed applicants per 10,000 population figures are reported as 0 if the applicant/placed applicant figures are rounded to 0."
"All statistics related to the offer rate are not reported when the number of applications for a group is less than 10. The percentage point difference between the offer rate and"
"the average offer rate is not reported when the number of applications for a group is less than 50."
"Offer rates are reported as 0% if there are fewer than 5 offers, and 100% if the number of offers is within 5 of the number of applications. When the offer rate is reported as 0% or 100%,"
"it is reported in italics."
"------------------------------------------------------------------"
Please refer to the Sex, area background and ethnic group reports specified above for technical notes and definitions.
Data lines are comma delimited.
Data follows - 12312 lines in total
------------------------------------------------------------------
inst_cntry_2021_map,Cycle,statistic,equality_dimension,agegroup,value
English providers,2021,June deadline applicants,POLAR4 Q1,18 year olds,32950
English providers,2021,June deadline applicants,POLAR4 Q2,18 year olds,43540
English providers,2021,June deadline applicants,POLAR4 Q3,18 year olds,53105
English providers,2021,June deadline applicants,POLAR4 Q4,18 year olds,64565
English providers,2021,June deadline applicants,POLAR4 Q5,18 year olds,91940
English providers,2021,June deadline applicants,Men,18 year olds,124385
English providers,2021,June deadline applicants,Women,18 year olds,162000
English providers,2010,Placed June deadline applicants,Total,18 year olds,156715
English providers,2010,Placed June deadline applicants,White ethnic group,18 year olds,129500
English providers,2010,Placed June deadline applicants,Black ethnic group,18 year olds,5320
English providers,2010,Placed June deadline applicants,Asian ethnic group,18 year olds,14550
English providers,2010,Placed June deadline applicants,Mixed ethnic group,18 year olds,5110
English providers,2010,Placed June deadline applicants,Other ethnic group,18 year olds,1285
English providers,2010,Placed June deadline applicants,POLAR4 Q1,18 year olds,15280
English providers,2010,Placed June deadline applicants,POLAR4 Q2,18 year olds,23250
English providers,2010,Placed June deadline applicants,POLAR4 Q3,18 year olds,29290
English providers,2010,Placed June deadline applicants,POLAR4 Q4,18 year olds,36230
English providers,2010,Placed June deadline applicants,POLAR4 Q5,18 year olds,52415
English providers,2010,Placed June deadline applicants,Men,18 year olds,70380
English providers,2010,Placed June deadline applicants,Women,18 year olds,86335
English providers,2011,Placed June deadline applicants,Total,18 year olds,158530
English providers,2011,Placed June deadline applicants,White ethnic group,18 year olds,129845
English providers,2011,Placed June deadline applicants,Black ethnic group,18 year olds,5850
English providers,2011,Placed June deadline applicants,Asian ethnic group,18 year olds,14950
English providers,2011,Placed June deadline applicants,Mixed ethnic group,18 year olds,5625
English providers,2011,Placed June deadline applicants,Other ethnic group,18 year olds,1390
English providers,2011,Placed June deadline applicants,POLAR4 Q1,18 year olds,15570
English providers,2011,Placed June deadline applicants,POLAR4 Q2,18 year olds,23290
English providers,2011,Placed June deadline applicants,POLAR4 Q3,18 year olds,29265
English providers,2011,Placed June deadline applicants,POLAR4 Q4,18 year olds,36805
English providers,2011,Placed June deadline applicants,POLAR4 Q5,18 year olds,53375
English providers,2011,Placed June deadline applicants,Men,18 year olds,71500
English providers,2011,Placed June deadline applicants,Women,18 year olds,87030
English providers,2012,Placed June deadline applicants,Total,18 year olds,152875
English providers,2012,Placed June deadline applicants,White ethnic group,18 year olds,124215
English providers,2012,Placed June deadline applicants,Black ethnic group,18 year olds,6035
English providers,2012,Placed June deadline applicants,Asian ethnic group,18 year olds,14730
English providers,2012,Placed June deadline applicants,Mixed ethnic group,18 year olds,5585
English providers,2012,Placed June deadline applicants,Other ethnic group,18 year olds,1570
English providers,2012,Placed June deadline applicants,POLAR4 Q1,18 year olds,15440
English providers,2012,Placed June deadline applicants,POLAR4 Q2,18 year olds,23015
English providers,2012,Placed June deadline applicants,POLAR4 Q3,18 year olds,28280
English providers,2012,Placed June deadline applicants,POLAR4 Q4,18 year olds,34850
English providers,2012,Placed June deadline applicants,POLAR4 Q5,18 year olds,51085
English providers,2012,Placed June deadline applicants,Men,18 year olds,67935
English providers,2012,Placed June deadline applicants,Women,18 year olds,84935
English providers,2013,Placed June deadline applicants,Total,18 year olds,159895
English providers,2013,Placed June deadline applicants,White ethnic group,18 year olds,127935
English providers,2013,Placed June deadline applicants,Black ethnic group,18 year olds,7175
